##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;? = 0,64,0;;;;;;;;;;X
##;? = 0,0,192;;;;;;;;;;X
##;? = 128,0,0;;;;;;;;;;X
##;? = 255,255,0;;;;;;;;;;X
##;? = 255,0,255;;;;;;;;;;X
##;? = 255,128,0;;;;;;;;;;X
##;? = 0,100,0;;;;;;;;;;X
##;? = 128,128, 128;;;;;;;;;;X
##;? = 0,0,255;;;;;;;;;;X
##;? = 0,192,0;;;;;;;;;;X
##;? = 100,255,100;;;;;;;;;;X
##;? = 255,100,100;;;;;;;;;;X
##;? = 240,0,0;;;;;;;;;;X
##;? = 255,255,255;;;;;;;;;;X
##;? = 208,232,248;;;;;;;;;;X
##;? = 0,0,0;;;;;;;;;;X
##;Ё - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_Coprosperity;大东亚共荣圈 ;;;;;;;;;;X
ALLIANCE_China;中华民国 ;;;;;;;;;;X
ALLIANCE_Commonwealth;英联邦 ;;;;;;;;;;X
ALLIANCE_ENTENTE;协约国 ;;;;;;;;;;X
ALLIANCE_EMPTY;;;;;;;;;;;X
GAME_END_ENTENTE_VICTORY;比赛结束，协约国获得胜利。 ;;;;;;;;;;X
GAME_END_ENTENTE_TOTAL;比赛结束，协约国获得全面胜利。 ;;;;;;;;;;X
GAME_END_Coprosperity_VICTORY;比赛结束，大东亚共荣圈获得胜利。 ;;;;;;;;;;X
GAME_END_Coprosperity_TOTAL;比赛结束，大东亚共荣圈获得全面胜利。 ;;;;;;;;;;X
GAME_END_China_VICTORY;比赛结束，中华民国获得胜利。 ;;;;;;;;;;X
GAME_END_China_TOTAL;比赛结束，中华民国获得全面胜利。 ;;;;;;;;;;X
GAME_END_Commonwealth_VICTORY;比赛结束，英联邦获得胜利。 ;;;;;;;;;;X
GAME_END_Commonwealth_TOTAL;比赛结束，英联邦获得全面胜利。 ;;;;;;;;;;X
##;;;;;;;;;;;X
PROV_PETROGRAD;圣彼得堡（列宁格勒） ;;;;;;;;;;X
PROV_TSARITSYN;伏尔加格勒（斯大林格勒） ;;;;;;;;;;X
PROV_POKROVSK;波克罗夫斯克 ;;;;;;;;;;X
##;;;;;;;;;;;X
SPA14;西班牙王国 ;;;;;;;;;;X
LBY14;赛努西教团 ;;;;;;;;;;X
SAU14;内志王国 ;;;;;;;;;;X
PER14;波斯王国 ;;;;;;;;;;X
SER1919;塞尔维亚人·克罗地亚人·斯洛文尼亚人王国 ;;;;;;;;;;X
UTC_SOUTHERN_RUSSIA;俄罗斯南方政权 ;;;;;;;;;;X
UGS_NORTHERN_RUSSIA;俄罗斯北方政权 ;;;;;;;;;;X
MAN_QING_NAME;大清帝国 ;;;;;;;;;;X
##;;;;;;;;;;;X
## Minister Personalities;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_BIASED_INTELLECTUAL;偏执知识份子 ;;;;;;;;;;X
NPERSONALITY_IDEOLOGICAL_CRUSADER;思想改革家 ;;;;;;;;;;X
NPERSONALITY_APOLOGETIC_CLERK;道歉的职员 ;;;;;;;;;;X
NPERSONALITY_IRON_FISTED_BRUTE;铁腕专制 ;;;;;;;;;;X
NPERSONALITY_GREAT_COMPROMISER;妥协者 ;;;;;;;;;;X
NPERSONALITY_GENERAL_STAFFER;普通职员 ;;;;;;;;;;X
NPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;阴谋家 ;;;;;;;;;;X
NPERSONALITY_ADMINISTRATIVE_GENIUS;行政天才 ;;;;;;;;;;X
NPERSONALITY_RESOURCE_INDUSTRIALIST;资源工业家 ;;;;;;;;;;X
NPERSONALITY_LAISSEZ_FAIRES_CAPITALIST;放任主义资本家 ;;;;;;;;;;X
NPERSONALITY_THEORETICAL_SCIENTIST;理论科学家 ;;;;;;;;;;X
NPERSONALITY_MILITARY_ENTREPRENEUR;军工企业家 ;;;;;;;;;;X
NPERSONALITY_BATTLE_FLEET_PROPONENT;战舰支持者 ;;;;;;;;;;X
NPERSONALITY_SUBMARINE_PROPONENT;潜艇支持者 ;;;;;;;;;;X
NPERSONALITY_TANK_PROPONENT;坦克支持者 ;;;;;;;;;;X
NPERSONALITY_INFANTRY_PROPONENT;步兵支持者 ;;;;;;;;;;X
NPERSONALITY_AIR_TO_GROUND_PROPONENT;空对地支持者 ;;;;;;;;;;X
NPERSONALITY_AIR_TO_SEA_PROPONENT;空对舰支持者 ;;;;;;;;;;X
NPERSONALITY_STRATEGIC_AIR_PROPONENT;战略空军支持者 ;;;;;;;;;;X
