Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
“现在我们都是狗娘养的了” ;肯尼斯·托普金斯·斑布里奇 1945年7月16日首枚核弹"瘦子"试爆后 （被认为源于罗伯特·奥本海默）;;;;;;;;;;;;;;X
“从未有如此之少的人，在如此之短的时间内，为如此之多的人，作出如此之大的牺牲” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“从现在起的20年，柏林会翻天覆地” ;阿道夫·希特勒 1933 ;;;;;;;;;;;;;;X
“对第三帝国企图并吞奥地利联邦的指控是荒谬的” ;阿道夫·希特勒 1934年1月 ;;;;;;;;;;;;;;X
““我的德国空军是无敌的。我们现在把矛头指向英伦三岛，这回英国能够支撑多久？两个？还是三个星期？” ;赫曼·戈林 1940年6月 ;;;;;;;;;;;;;;X
“保守就是一个人有两条健全的双腿却从未学习如何向前行走。” ;富兰克林·D·罗斯福 ;;;;;;;;;;;;;;X
“谁掌控了历史谁就掌控了将来，谁掌控了现在谁就掌控了历史” ;乔治·奥威尔 ;;;;;;;;;;;;;;X
“这场战争不是一场普通的战争，这是全体苏联人民的战争” ;约瑟夫·斯大林 ;;;;;;;;;;;;;;X
“在我们解决小日本之前，日语只会在地狱里面使用” ;海军上将哈尔西 ;;;;;;;;;;;;;;X
“我们已经在18层地狱” ;重光葵 1944年6月 ;;;;;;;;;;;;;;X
“守住巴黎直至焦土。破坏塞纳河上所有的桥梁，摧毁整个城市。” ;阿道夫·希特勒 ;;;;;;;;;;;;;;X
“我在慕尼黑看到了我的敌人，但他们只是蝼蚁” ;阿道夫·希特勒 ;;;;;;;;;;;;;;X
“为什么西线的战争是为了波兰的复国而战？华沙条约条款中的波兰不会再有了” ;阿道夫·希特勒 ;;;;;;;;;;;;;;X
“要么德意志成为世界霸主，要么德意志不复存在” ;阿道夫·希特勒 ;;;;;;;;;;;;;;X
“你的人民会选择什么，困苦还是死亡？” ;埃德温·隆美尔 ;;;;;;;;;;;;;;X
“我看见了战争，我憎恨战争” ;富兰克林·D·罗斯福 ;;;;;;;;;;;;;;X
“正义的力量是他们唯一能理解的语言，就像犯罪分子那样” ;富兰克林·D·罗斯福 ;;;;;;;;;;;;;;X
“如果我们有权力，我们不会放弃它，除非我们的尸体被抬出办公室” ;约瑟夫·戈培尔 ;;;;;;;;;;;;;;X
“你想要一场全面战争么？” ;约瑟夫·戈培尔 ;;;;;;;;;;;;;;X
“这些邪恶的事物:穷兵黩武、畸形的信仰、不公平、压迫和迫害是我们应该倾力一战的” ;内维尔·张伯伦 ;;;;;;;;;;;;;;X
“没有海军，我们没有活路” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“这是没有胜利的和平。这意味着和平被强加在失败者身上。胜利者的意志强加于那些被征服的人身上。” ;伍德罗·威尔逊 ;;;;;;;;;;;;;;X
“战争时代，法律无言” ;西塞罗 ;;;;;;;;;;;;;;X
“后勤补给是装甲战争的桎梏” ;海因策·古德里安 ;;;;;;;;;;;;;;X
“如果你祈求和平，你必须理解战争” ;巴塞尔·李德哈特 ;;;;;;;;;;;;;;X
“你也许对战争不感兴趣，但是战争对你感兴趣” ;莱昂·特罗斯基 ;;;;;;;;;;;;;;X
“在战争中，真相就是第一个伤员” ;埃叙黎 ;;;;;;;;;;;;;;X
“所有的战争都由海军决定胜负” ;埃里克·雷德尔 ;;;;;;;;;;;;;;X
“没有必胜的决心而参战是致命的” ;道格拉斯·麦克阿瑟 ;;;;;;;;;;;;;;X
“战争不会使人类变得崇高，相反，它使人类倒退” ;罗伯特·尼古拉斯 ;;;;;;;;;;;;;;X
“和平不是来自武力，而是来自理解” ;阿尔伯特·爱因斯坦 ;;;;;;;;;;;;;;X
“我的座右铭就是“彻头彻尾的摧毁他”，我是战争的发起者” ;阿道夫·希特勒 ;;;;;;;;;;;;;;X
“有4样东西比其他事物都要伟大，他们是女人、马匹、力量和战争。” ;鲁迪亚德·凯普林 ;;;;;;;;;;;;;;X
“因为有人为它而死，一件事情不会是完全的真实。” ;奥斯卡·维尔德 ;;;;;;;;;;;;;;X
“兵者，诡道也” ;孙子 ;;;;;;;;;;;;;;X
“在帝国铸造者的眼里，人不再是人，而是工具。” ;拿破仑·波拿巴 ;;;;;;;;;;;;;;X
“创敌必重” ;尼古拉·马奇亚威利 ;;;;;;;;;;;;;;X
“战争才能带来和平” ;亚里士多德 ;;;;;;;;;;;;;;X
“不战而屈人之兵，善之善者也” ;孙子 ;;;;;;;;;;;;;;X
“真正持久的胜利属于和平，而非战争” ;拉尔夫·瓦尔德·埃莫森 ;;;;;;;;;;;;;;X
“所有的战争都是为了金钱” ;苏格拉底 ;;;;;;;;;;;;;;X
“被击倒的敌人终究会再起，而和解了的敌人不会再现” ;约翰·克里斯多夫·斯蒂勒 ;;;;;;;;;;;;;;X
“我和世界上还幸存者的一小部分人一样了解战争，但战争留给我的印象只有肮脏” ;欧内斯特·海明威 ;;;;;;;;;;;;;;X
“在共和的坟墓里面没有阶级之分，没有地位之分，没有特权” ;约翰·詹姆斯·英格斯 ;;;;;;;;;;;;;;X
“向战争狂热屈服的政治家，不再是政策的主宰，而是无法预计和控制的事件的奴隶。” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“战争不会让男孩变成男人，它只会让男人变成死人” ;肯·盖兹比 ;;;;;;;;;;;;;;X
“战争中不会有不受伤的战士” ;约瑟·纳罗斯基 ;;;;;;;;;;;;;;X
“战争教会我们不要去爱我们的敌人，而是恨自己的盟友。” ;W.L.乔治 ;;;;;;;;;;;;;;X
“除了无尽的战争，战争还能产生什么？” ;约翰·弥尔顿 ;;;;;;;;;;;;;;X
“政治是战争滋生的温床” ;卡尔·冯·克劳塞维茨 ;;;;;;;;;;;;;;X
“武力战无不胜，但它的胜利很短暂” ;亚伯拉罕·林肯 ;;;;;;;;;;;;;;X
“国家像个人一样，必须为自己的过错赎罪” ;尤利西斯·S·格兰特 ;;;;;;;;;;;;;;X
“没有什么比整装待敌更能带来和平的。” ;乔治·华盛顿 ;;;;;;;;;;;;;;X
“地球是个危险的地方，不是因为那些作恶的人，而是因为那些袖手旁观的人。” ;阿尔伯特·爱因斯坦 ;;;;;;;;;;;;;;X
“战争和人类都是冷漠的” ;R·伯明斯特·福勒 ;;;;;;;;;;;;;;X
“战争中获得的任何荣耀都不能等价于为止付出的鲜血” ;怀特·艾森奥威尔 ;;;;;;;;;;;;;;X
“和平年代，儿子送走父亲；战争年代，父亲埋葬儿子” ;克拉苏 ;;;;;;;;;;;;;;X
“最能评价一个人的不是他在顺境中的表现，而是他身处于逆境中的作为” ;马丁·路德·金 ;;;;;;;;;;;;;;X
“所有的国家都渴望和平，但他们仅仅想要符合他们利益的和平” ;海军上将约翰·费舍尔 ;;;;;;;;;;;;;;X
“战争是将能够填满一生梦想和梦魇的永恒塞到混乱的几分钟里” ;约翰·克里 ;;;;;;;;;;;;;;X
“对于一战兴邦可能的信仰是人类最古老也是最危险的幻想” ;罗伯特·林德 ;;;;;;;;;;;;;;X
“自由之树须由爱国者和暴君的鲜血浇灌时时焕发新生” ;托马斯·杰佛逊 ;;;;;;;;;;;;;;X
“人会死，国家会兴亡，但精神永存。” ;约翰·F·肯尼迪 ;;;;;;;;;;;;;;X
“我们能安逸的睡在自己的床上因为坚毅的人们在晚上整装以待来犯之敌。” ;乔治·奥威尔 ;;;;;;;;;;;;;;X
“先之以身，后之以人，则士无不勇矣” ;孙子 ;;;;;;;;;;;;;;X
“难知如阴，动如雷震” ;孙子 ;;;;;;;;;;;;;;X
“每个下定决心参加战争的人从来没打过仗” ;拉瑞·卢夫斯 ;;;;;;;;;;;;;;X
“人类必须消灭战争，否则战争会令人类消亡” ;约翰·F·肯尼迪 ;;;;;;;;;;;;;;X
“有人的地方就有战争” ;阿尔伯特·爱因斯坦 ;;;;;;;;;;;;;;X
“你可以用武力登基，但你坐不长久” ;保鲁斯·叶利钦 ;;;;;;;;;;;;;;X
“战争就是用武力支持你的政府的决定” ;罗伯特·海因莱因 ;;;;;;;;;;;;;;X
