#  STRING NAME (do not change!)English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
#  SCENARIO DESCRIPTIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
1914_SCENARIO;世界大战 (1914) ;;;;;;;;;;X
1933_SCENARIO;决择 (1933) ;;;;;;;;;;X
1936_SCENARIO;战争之路 (1936) ;;;;;;;;;;X
1939_SCENARIO;闪电战 (1939)) ;;;;;;;;;;X
1940_SCENARIO;燃烧的欧洲 (1940) ;;;;;;;;;;X
1941_SCENARIO;战火中的世界 (1941) ;;;;;;;;;;X
1942_11_SCENARIO;兵临城下 (1942) ;;;;;;;;;;X
1943_07_SCENARIO;转折潮 (1943);;;;;;;;;;X
1944_06_SCENARIO;诸神的黄昏 (1944);;;;;;;;;;X
1944_12_SCENARIO;最后的胜利 (1945);;;;;;;;;;X
fallweiss_name;白色方案：入侵波兰  ;;;;;;;;;;X
##;;;;;;;;;;;X
#  COUNTRY DESCRIPTIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
AFG_1914_DESC;对于试图控制它的英国，阿富汗一直是个麻烦。在１９世纪大英帝国和 沙皇俄国为了争夺对这片土地的单独控制权，双方的冲突导致了剧烈的 对抗。然而，１８８０年，在第二次英——阿战争后，阿富汗埃米尔最 终同意由英国来控制这个国家的外交事务。   ;;;;;;;;;;X
AFG_39_DESC;对于试图控制它的英国，阿富汗一直是个麻烦。在１９世纪大英帝国和 沙皇俄国为了争夺对这片土地的单独控制权，双方的冲突导致了剧烈的 对抗。然而，１８８０年，在第二次英——阿战争后，阿富汗埃米尔最 终同意由英国来控制这个国家的外交事务。但一战之后，阿富汗埃米尔 被刺杀，他的儿子再次发起了对英战争，由于对战争的厌倦，英国最终 同意阿富汗全面独立。１９２３年，组建了最初的国会，开始长期的现 代化进程……也许有点太快了。由于阿富汗部落对于他试图取消长期形 成的传统十分愤怒，新加盟的国王被废黜，并在２０年代后期强迫放逐 了他。他被纳迪尔沙赫国王替代，他以可以接受的方式继续了改革。迄 今为止，战争的爆发对于阿富汗影响甚少。如果国家的领导继续以这种 方式前进，似乎这个国家不存在什么危险。   ;;;;;;;;;;X
