country;main color;leader language;ArmyNationalitySprite;END;;;
AFG;White;ENG;ARA;;;;X
ALB;DarkOrange;ENG;MIN;;;;X
ALG;LightYellow;FRA;ARA;;;;X
ANG;LightGreen;POR;MIN;;;;X
ARA;Brown;TUR;ARA;;;;X
ARG;LightBlue;SPA;GER;;;;X
ARM;Brown;SOV;SOV;;;;X
AST;LightGray;AST;ENG;;;;X
AUS;Brown;AUS;GER;;;;X
AZB;LightBrown;SOV;SOV;;;;X
BEL;DarkBrown;BEL;MIN;;;;X
BEN;LightBlue;ENG;MIN;;;;X
BHU;DarkOrange;ENG;MIN;;;;X
BLR;LightBrown;SOV;SOV;;;;X
BOL;LightGray;SPA;MIN;;;;X
BOS;DarkGreen;YUG;MIN;;;;X
BRA;LightBrown;POR;MIN;;;;X
BRU;Red;ENG;MIN;;;;X
BUL;LightBrown;BUL;GER;;;;X
BUR;DarkGreen;ENG;MIN;;;;X
CAL;Green;USA;USA;;;;X
CAM;Brown;FRA;ENG;;;;X
CAN;Red;ENG;ENG;;;;X
CGX;LightBrown;CHI;CHI;;;;X
CHC;LightYellow;CHI;CHI;;;;X
CHI;Yellow;CHI;CHI;;;;X
CHL;DarkGreen;SPA;MIN;;;;X
CMB;Brown;ENG;MIN;;;;X
COL;DarkYellow;SPA;MIN;;;;X
CON;Yellow;ENG;MIN;;;;X
COS;LightYellow;SPA;MIN;;;;X
CRO;DarkGray;YUG;GER;;;;X
CSA;LightGray;USA;MIN;;;;X
CSX;Green;CHI;CHI;;;;X
CUB;LightGray;CUB;MIN;;;;X
CXB;Blue;CHI;CHI;;;;X
CYN;DarkBrown;CHI;CHI;;;;X
CYP;Yellow;ENG;MIN;;;;X
CZE;DarkGreen;ENG;MIN;;;;X
DDR;LightGreen;GER;SOV;;;;X
DEN;DarkOrange;DEN;MIN;;;;X
DFR;Gray;GER;GER;;;;X
DOM;DarkGray;SPA;MIN;;;;X
EAF;LightGray;ENG;MIN;;;;X
ECU;Brown;SPA;MIN;;;;X
EGY;Red;ENG;ARA;;;;X
ENG;LightRed;ENG;ENG;;;;X
EQA;DarkBlue;FRA;MIN;;;;X
EST;White;EST;MIN;;;;X
ETH;Brown;ENG;ARA;;;;X
EUS;LightBrown;SPA;MIN;;;;X
FIN;LightGray;FIN;GER;;;;X
FLA;Yellow;BEL;GER;;;;X
FRA;Blue;FRA;FRA;;;;X
GAB;Red;FRA;MIN;;;;X
GEO;DarkGreen;ENG;SOV;;;;X
GER;Gray;GER;GER;;;;X
GLD;Brown;ENG;MIN;;;;X
GRE;LightBlue;ENG;MIN;;;;X
GUA;LightGray;SPA;MIN;;;;X
GUI;Green;FRA;MIN;;;;X
GUY;Brown;ENG;MIN;;;;X
HAI;LightBlue;ENG;MIN;;;;X
HOL;LightYellow;HOL;MIN;;;;X
HON;LightGreen;SPA;MIN;;;;X
HUN;DarkYellow;HUN;GER;;;;X
ICL;LightGray;ENG;MIN;;;;X
IDC;LightBlue;ENG;MIN;;;;X
IND;DarkYellow;ENG;ENG;;;;X
INO;LightBrown;ENG;MIN;;;;X
IRE;LightGreen;IRE;ENG;;;;X
IRQ;Red;TUR;ARA;;;;X
ISR;LightBrown;ENG;MIN;;;;X
ITA;Green;ITA;GER;;;;X
JAP;DarkGreen;JAP;JAP;;;;X
JOR;DarkGreen;ENG;ARA;;;;X
KAZ;LightBrown;SOV;SOV;;;;X
KOR;LightGreen;ENG;JAP;;;;X
KUR;DarkOrange;TUR;MIN;;;;X
KYG;DarkGreen;SOV;SOV;;;;X
LAO;DarkBrown;ENG;MIN;;;;X
LAT;DarkBrown;LAT;MIN;;;;X
LBY;LightGreen;ENG;ARA;;;;X
LEB;LightGray;ENG;ARA;;;;X
LIB;LightGray;ENG;MIN;;;;X
LIT;DarkYellow;LIT;MIN;;;;X
LUX;LightBrown;ENG;MIN;;;;X
MAD;DarkOrange;FRA;MIN;;;;X
MAL;LightOrange;FRA;MIN;;;;X
MAN;DarkGray;CHI;JAP;;;;X
MEN;DarkBlue;CHI;JAP;;;;X
MEX;DarkGreen;SPA;MIN;;;;X
MIN;Brown;ENG;MIN;;;;X
MLY;Brown;ENG;MIN;;;;X
MON;DarkYellow;CHI;SOV;;;;X
MOR;DarkOrange;ENG;ARA;;;;X
MOZ;Red;POR;MIN;;;;X
MTN;LightGreen;ENG;MIN;;;;X
NAM;LightYellow;ENG;MIN;;;;X
NEP;LightBrown;ENG;MIN;;;;X
NIC;DarkBrown;SPA;MIN;;;;X
NIG;Red;ENG;MIN;;;;X
NOR;LightBrown;NOR;FIN;;;;X
NZL;DarkYellow;NZL;ENG;;;;X
OMN;LightBrown;ENG;ARA;;;;X
OTT;LightGreen;TUR;ARA;;;;X
PAK;DarkBrown;ENG;ARA;;;;X
PAL;LightOrange;ENG;MIN;;;;X
PAN;LightGray;SPA;MIN;;;;X
PAR;LightYellow;SPA;MIN;;;;X
PER;DarkGray;ENG;ARA;;;;X
PHI;DarkBrown;SPA;MIN;;;;X
POL;DarkGray;POL;MIN;;;;X
POR;DarkGreen;POR;MIN;;;;X
PRI;LightBlue;SOV;SOV;;;;X
PRK;Red;CHI;SOV;;;;X
PRU;DarkOrange;SPA;MIN;;;;X
QUE;LightBlue;FRA;FRA;;;;X
REB;Black;ENG;REB;;;;X
RHO;Brown;ENG;MIN;;;;X
ROM;DarkOrange;ROM;GER;;;;X
RSI;LightBlue;ITA;ITA;;;;X
RUS;Blue;SOV;SOV;;;;X
SAF;Red;ENG;ENG;;;;X
SAL;DarkGray;ENG;MIN;;;;X
SAR;DarkOrange;ENG;MIN;;;;X
SAU;DarkOrange;ENG;ARA;;;;X
SCA;LightGreen;SWE;GER;;;;X
SCH;Red;GER;MIN;;;;X
SCO;LightBrown;ENG;ENG;;;;X
SER;LightGray;ENG;MIN;;;;X
SIA;LightGreen;ENG;JAP;;;;X
SIB;LightGray;SOV;SOV;;;;X
SIE;LightYellow;ENG;MIN;;;;X
SIK;Brown;CHI;CHI;;;;X
SLO;LightGreen;ENG;GER;;;;X
SLV;LightBrown;ENG;MIN;;;;X
SOM;LightYellow;ENG;MIN;;;;X
SOV;DarkRed;SOV;SOV;;;;X
SPA;DarkGray;SPA;GER;;;;X
SPR;DarkYellow;SPA;SOV;;;;X
SUD;DarkYellow;ENG;MIN;;;;X
SWE;LightBlue;SWE;FIN;;;;X
SYR;LightYellow;ENG;ARA;;;;X
TAJ;LightBlue;SOV;SOV;;;;X
TAN;DarkBrown;CHI;SOV;;;;X
TEX;Yellow;USA;USA;;;;X
TIB;LightGray;ENG;MIN;;;;X
TRA;LightOrange;SOV;SOV;;;;X
TRK;DarkBrown;SOV;MIN;;;;X
TUN;Brown;FRA;ARA;;;;X
TUR;LightGreen;TUR;ARA;;;;X
UKR;DarkGreen;SOV;SOV;;;;X
URU;DarkGray;SPA;MIN;;;;X
USA;DarkBlue;USA;USA;;;;X
UZB;LightGreen;SOV;SOV;;;;X
VEN;LightGreen;SPA;MIN;;;;X
VIC;White;FRA;FRA;;;;X
VIE;DarkBlue;CHI;MIN;;;;X
WLL;LightBrown;FRA;MIN;;;;X
YEM;LightGray;TUR;ARA;;;;X
YUG;LightYellow;YUG;MIN;;;;X
ALS;DarkGreen;ENG;MIN;;;;X
AXI;Gray;GER;MIN;;;;X
ALI;White;ALI;MIN;;;;X
U00;White;GER;MIN;;;;X
U01;RED;CHI;CHI;;;;X
U02;DarkYellow;CHI;CHI;;;;X
U03;LightYellow;CHI;CHI;;;;X
U04;Brown;ENG;MIN;;;;X
U05;White;ENG;MIN;;;;X
U06;Red;ENG;MIN;;;;X
U07;LightYellow;ENG;MIN;;;;X
U08;LightBrown;ENG;MIN;;;;X
U09;LightGray;ENG;MIN;;;;X
U10;LightGreen;ENG;MIN;;;;X
U11;LightBlue;ENG;MIN;;;;X
U12;Blue;ENG;MIN;;;;X
U13;DarkBlue;ENG;MIN;;;;X
U14;DarkRed;ENG;MIN;;;;X
U15;Gray;ENG;MIN;;;;X
U16;Green;ENG;MIN;;;;X
U17;LightRed;ENG;MIN;;;;X
U20;DarkGray;ENG;MIN;;;;X
U21;DarkOrange;ENG;MIN;;;;X
U22;DarkYellow;ENG;MIN;;;;X
U23;DarkGreen;ENG;MIN;;;;X
U24;Brown;ENG;MIN;;;;X
U25;White;ENG;MIN;;;;X
U26;Red;ENG;MIN;;;;X
U27;LightYellow;ENG;MIN;;;;X
U28;LightBrown;ENG;MIN;;;;X
U29;LightGray;ENG;MIN;;;;X
U30;LightGreen;ENG;MIN;;;;X
U31;LightBlue;ENG;MIN;;;;X
U32;Blue;ENG;MIN;;;;X
U33;DarkBlue;ENG;MIN;;;;X
U34;DarkRed;ENG;MIN;;;;X
U35;Gray;ENG;MIN;;;;X
U36;Green;ENG;MIN;;;;X
U37;LightRed;ENG;MIN;;;;X
U38;LightOrange;ENG;MIN;;;;X
U39;Yellow;ENG;MIN;;;;X
U40;DarkGray;ENG;MIN;;;;X
U41;DarkOrange;ENG;MIN;;;;X
U42;DarkYellow;ENG;MIN;;;;X
U43;DarkGreen;ENG;MIN;;;;X
U44;Brown;ENG;MIN;;;;X
U45;White;ENG;MIN;;;;X
U46;Red;ENG;MIN;;;;X
U47;LightYellow;ENG;MIN;;;;X
U48;LightBrown;ENG;MIN;;;;X
U49;LightGray;ENG;MIN;;;;X
U50;LightGreen;ENG;MIN;;;;X
U51;LightBlue;ENG;MIN;;;;X
U52;Blue;ENG;MIN;;;;X
U53;DarkBlue;ENG;MIN;;;;X
U54;DarkRed;ENG;MIN;;;;X
U55;Gray;ENG;MIN;;;;X
U56;Green;ENG;MIN;;;;X
U57;LightRed;ENG;MIN;;;;X
U58;LightOrange;ENG;MIN;;;;X
U59;Yellow;ENG;MIN;;;;X
U60;DarkGray;ENG;MIN;;;;X
U61;DarkOrange;ENG;MIN;;;;X
U62;DarkYellow;ENG;MIN;;;;X
U63;DarkGreen;ENG;MIN;;;;X
U64;Brown;ENG;MIN;;;;X
U65;White;ENG;MIN;;;;X
U66;Red;ENG;MIN;;;;X
U67;LightYellow;ENG;MIN;;;;X
U68;LightBrown;ENG;MIN;;;;X
U69;LightGray;ENG;MIN;;;;X
U70;DarkGreen;ENG;MIN;;;;X
U71;LightBlue;ENG;MIN;;;;X
U72;DarkRed;CHI;MIN;;;;X
U73;DarkBlue;ENG;MIN;;;;X
U74;LightGreen;CHI;CHI;;;;X
U75;Gray;ENG;MIN;;;;X
U76;Green;ENG;MIN;;;;X
U77;LightRed;ENG;MIN;;;;X
U78;LightOrange;ENG;MIN;;;;X
U79;Yellow;ENG;MIN;;;;X
U80;Yellow;ENG;MIN;;;;X
U81;Gray;FRA;MIN;;;;X
U82;Green;FRA;MIN;;;;X
U83;Orange;ENG;MIN;;;;X
U84;Brown;FRA;MIN;;;;X
U85;LightYellow;FRA;MIN;;;;X
U86;LightBlue;ENG;MIN;;;;X
U87;LightBlue;CHI;CHI;;;;X
U88;LightOrange;FRA;MIN;;;;X
U89;Green;ENG;MIN;;;;X
U90;LightBrown;ENG;MIN;;;;X
U91;DarkGreen;TUR;MIN;;;;X
U92;White;ITA;MIN;;;;X
U93;LightGreen;SPA;MIN;;;;X
U94;Orange;FRA;MIN;;;;X
U95;Gray;FRA;MIN;;;;X
U96;LightYellow;ENG;MIN;;;;X
U97;DarkGreen;ENG;MIN;;;;X
U98;DarkRed;ENG;MIN;;;;X
U99;Yellow;ENG;MIN;;;;X
USN;DarkBlue;USA;MIN;;;;X
UAU;LightGray;AST;MIN;;;;X
UCH;DarkBrown;CHI;MIN;;;;X
UBO;Blue;FRA;MIN;;;;X
UTC;DarkOrange;ROM;MIN;;;;X
UGS;LightBlue;SWE;MIN;;;;X
UCS;DarkGray;USA;MIN;;;;X
UIC;LightGreen;ENG;MIN;;;;X
UPR;Gray;GER;MIN;;;;X
UER;Red;SOV;MIN;;;;X
UTO;Green;TUR;MIN;;;;X
UIR;DarkYellow;ENG;MIN;;;;X
UTL;LightBrown;POR;MIN;;;;X
UPS;LightOrange;JAP;MIN;;;;X
UES;LightRed;ENG;MIN;;;;X
URO;DarkGreen;ITA;MIN;;;;X
UAP;LightYellow;ENG;MIN;;;;X
UPE;DarkRed;ENG;MIN;;;;X
END;DarkRed;ENG;MIN;;;;X
