CATEGORY;VERYEASY;EASY;NORMAL;HARD;VERYHARD;BLANK;X
HUMAN;;;;;;;X
INDUSTRY;50;10;0;0;0;;X
RESOURCES;50;10;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;50;10;0;0;0;;X
ORGANISATION;20;10;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;20;10;0;0;0;;X
DISSENT;50;25;0;-25;-50;;X
DIPLOMACY;0;0;0;-25;-50;;X
INTELLIGENCE;50;25;0;-25;-50;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
AI;;;;;;;X
INDUSTRY;0;10;20;30;40;;X
RESOURCES;0;10;20;30;40;;X
MANPOWER;0;10;20;30;40;;X
RESEARCH;0;10;20;30;40;;X
ORGANISATION;0;10;20;30;40;;X
COMBAT;0;10;20;30;40;;X
MOVE_SPEED;0;10;20;30;40;;X
DISSENT;0;20;40;60;80;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;20;40;60;80;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
AXIS;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
ALLIES;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
COMINTERN;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
NEUTRAL;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
EOF;;;;;;;X
