Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
阿塔纳索夫 ;34000;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34000;1944;1999;1999;x
巴克德基耶夫 ;34001;BUL;1930;1930;1930;1990;1;7;513;1;0;5;0;L34001;1930;1938;1999;x
博拉采夫 ;34002;BUL;1944;1946;1990;1990;3;5;0;1;0;5;0;L34002;1944;1999;1999;x
鲍里斯三世 ;34003;BUL;1930;1930;1930;1930;0;4;2;0;0;5;0;L34003;1930;1943;1999;x
博伊戴夫 ;34004;BUL;1940;1942;1943;1990;2;4;1;2;0;3;0;L34004;1940;1999;1999;x
比尔加拉诺夫 ;34005;BUL;1944;1945;1990;1990;3;5;256;1;0;5;0;L34005;1944;1999;1999;x
达斯卡洛夫 ;34006;BUL;1930;1939;1942;1990;2;5;0;2;0;3;0;L34006;1930;1999;1999;x
迪尔科夫斯基 ;34007;BUL;1944;1990;1990;1990;3;4;0;0;0;2;0;L34007;1944;1999;1999;x
多采夫 ;34008;BUL;1942;1946;1990;1990;3;5;0;1;0;3;0;L34008;1942;1999;1999;x
加涅夫·S. ;34009;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34009;1944;1999;1999;x
加涅夫·T. ;34010;BUL;1942;1945;1990;1990;3;5;0;1;0;4;0;L34010;1942;1999;1999;x
根采夫 ;34011;BUL;1942;1944;1990;1990;2;5;0;1;0;2;0;L34011;1942;1999;1999;x
格奥尔基耶夫·T. ;34012;BUL;1930;1930;1990;1990;2;4;0;0;0;4;0;L34012;1930;1939;1999;x
格奥尔基耶夫·Z. ;34013;BUL;1944;1990;1990;1990;3;4;0;0;0;5;0;L34013;1944;1999;1999;x
格列科夫 ;34014;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34014;1944;1999;1999;x
哈齐瓦诺夫 ;34015;BUL;1942;1944;1990;1990;2;4;0;1;0;4;0;L34015;1942;1999;1999;x
哈齐佩科夫 ;34016;BUL;1937;1940;1990;1990;2;5;0;1;0;2;0;L34016;1937;1942;1999;x
伊利耶夫 ;34017;BUL;1943;1990;1990;1990;3;4;0;0;0;4;0;L34017;1943;1999;1999;x
约沃夫 ;34018;BUL;1930;1990;1990;1990;3;4;513;1;0;3;0;L34018;1930;1940;1999;x
伊万诺夫 ;34019;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34019;1944;1999;1999;x
基诺夫 ;34020;BUL;1944;1945;1946;1990;2;6;0;2;0;3;0;L34020;1944;1999;1999;x
基里尔·普雷斯拉夫斯基 ;34021;BUL;1930;1940;1990;1990;2;4;2;1;0;5;0;L34021;1930;1999;1999;x
基希奥夫 ;34022;BUL;1930;1930;1930;1990;1;5;576;1;0;3;0;L34022;1930;1938;1999;x
科普采夫 ;34023;BUL;1944;1945;1990;1990;2;4;0;1;0;5;0;L34023;1944;1999;1999;x
科佐夫斯基 ;34024;BUL;1944;1945;1990;1990;2;5;256;1;0;5;0;L34024;1944;1999;1999;x
克里斯捷夫 ;34025;BUL;1943;1990;1990;1990;3;4;0;0;0;2;0;L34025;1943;1999;1999;x
卢卡什 ;34026;BUL;1930;1940;1990;1990;2;4;0;1;0;1;0;L34026;1930;1999;1999;x
卢科夫 ;34027;BUL;1930;1938;1940;1990;2;6;4;2;0;3;0;L34027;1930;1943;1999;x
马林科夫 ;34028;BUL;1930;1930;1990;1990;2;4;513;1;0;5;0;L34028;1930;1941;1999;x
马里诺夫·伊利. ;34029;BUL;1944;1990;1990;1990;3;4;0;0;0;2;0;L34029;1944;1999;1999;x
马里诺夫·I·V. ;34030;BUL;1941;1944;1990;1990;2;5;0;1;0;5;0;L34030;1941;1999;1999;x
马尔科夫 ;34031;BUL;1937;1940;1990;1990;2;4;0;1;0;3;0;L34031;1937;1943;1999;x
马尔采夫 ;34032;BUL;1945;1990;1990;1990;3;4;0;0;0;3;0;L34032;1945;1999;1999;x
米迪列夫 ;34033;BUL;1930;1990;1990;1990;3;6;576;1;0;5;0;L34033;1930;1939;1999;x
米霍夫 ;34034;BUL;1938;1942;1990;1990;2;4;0;1;0;1;0;L34034;1938;1999;1999;x
明采夫 ;34035;BUL;1942;1990;1990;1990;3;4;0;0;0;2;0;L34035;1942;1999;1999;x
穆尔诺夫 ;34036;BUL;1930;1938;1940;1990;1;5;0;2;0;5;0;L34036;1930;1999;1999;x
尼科洛夫·A. ;34037;BUL;1939;1942;1990;1990;2;5;0;1;0;5;0;L34037;1939;1999;1999;x
尼科洛夫·G. ;34038;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34038;1944;1999;1999;x
诺瓦科夫 ;34039;BUL;1943;1990;1990;1990;3;4;0;0;0;3;0;L34039;1943;1999;1999;x
佩耶夫 ;34040;BUL;1930;1990;1990;1990;3;4;0;0;0;4;0;L34040;1930;1939;1999;x
皮龙科夫 ;34041;BUL;1942;1944;1990;1990;2;5;0;1;0;3;0;L34041;1942;1999;1999;x
波波夫·D. ;34042;BUL;1944;1947;1990;1990;3;4;32;1;0;4;0;L34042;1944;1999;1999;x
波波夫·G. ;34043;BUL;1930;1938;1941;1990;1;5;128;2;0;4;0;L34043;1930;1943;1999;x
拉德夫 ;34044;BUL;1930;1990;1990;1990;3;5;513;1;0;4;0;L34044;1930;1940;1999;x
拉多伊诺夫 ;34045;BUL;1943;1990;1990;1990;3;4;4;0;0;1;0;L34045;1943;1999;1999;x
罗格扎尔斯基 ;34046;BUL;1941;1990;1990;1990;3;4;0;0;0;5;0;L34046;1941;1999;1999;x
鲁塞夫 ;34047;BUL;1930;1940;1943;1990;2;5;0;1;0;3;0;L34047;1930;1999;1999;x
萨波夫 ;34048;BUL;1930;1990;1990;1990;3;4;0;0;0;1;0;L34048;1930;1938;1999;x
西莫夫 ;34049;BUL;1943;1990;1990;1990;3;4;0;0;0;5;0;L34049;1943;1999;1999;x
西拉科夫 ;34050;BUL;1942;1990;1990;1990;3;6;0;0;0;3;0;L34050;1942;1999;1999;x
斯拉夫科夫 ;34051;BUL;1944;1990;1990;1990;3;4;0;0;0;4;0;L34051;1944;1999;1999;x
斯帕索夫 ;34052;BUL;1943;1990;1990;1990;3;4;0;0;0;2;0;L34052;1943;1999;1999;x
斯坦切夫 ;34053;BUL;1943;1944;1990;1990;2;6;0;1;0;2;0;L34053;1943;1999;1999;x
斯托伊切夫 ;34054;BUL;1944;1945;1946;1990;2;7;4;2;0;2;0;L34054;1944;1999;1999;x
塔拉莱科夫 ;34055;BUL;1944;1990;1990;1990;3;5;0;0;0;3;0;L34055;1944;1999;1999;x
捷尔齐耶夫 ;34056;BUL;1941;1990;1990;1990;3;4;0;0;0;2;0;L34056;1941;1999;1999;x
托舍夫 ;34057;BUL;1943;1946;1990;1990;2;6;0;1;0;4;0;L34057;1943;1999;1999;x
特伦达菲洛夫 ;34058;BUL;1943;1946;1990;1990;3;5;128;1;0;4;0;L34058;1943;1999;1999;x
特里福诺夫 ;34059;BUL;1941;1990;1990;1990;3;4;0;0;0;2;0;L34059;1941;1999;1999;x
特伦斯基 ;34060;BUL;1944;1990;1990;1990;2;6;16;0;0;5;0;L34060;1944;1999;1999;x
查内夫 ;34061;BUL;1930;1930;1990;1990;2;4;0;0;0;5;0;L34061;1930;1940;1999;x
乌鲁莫夫 ;34062;BUL;1939;1990;1990;1990;3;4;0;0;0;3;0;L34062;1939;1999;1999;x
瓦季耶夫 ;34063;BUL;1930;1990;1990;1990;3;4;514;1;0;5;0;L34063;1930;1939;1999;x
沃尔科夫 ;34064;BUL;1930;1930;1938;1990;1;6;514;2;0;1;0;L34064;1930;1942;1999;x
扬丘列夫 ;34065;BUL;1942;1990;1990;1990;3;4;0;0;0;4;0;L34065;1942;1999;1999;x
扎伊莫夫 ;34066;BUL;1930;1990;1990;1990;3;6;64;0;0;2;0;L34066;1930;1942;1999;x
扎哈里耶夫 ;34067;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34067;1944;1999;1999;x
兹洛泰夫 ;34068;BUL;1930;1930;1990;1990;2;6;516;1;0;4;0;L34068;1930;1939;1999;x
阿塔纳索夫 ;34069;BUL;1941;1990;1990;1990;3;4;0;0;0;4;1;L34069;1941;1999;1999;x
格雷戈列夫 ;34070;BUL;1943;1990;1990;1990;3;4;0;0;0;3;1;L34070;1943;1999;1999;x
伊万诺夫 ;34071;BUL;1930;1938;1990;1990;2;5;512;1;0;4;1;L34071;1930;1940;1999;x
哈拉采夫 ;34072;BUL;1944;1990;1990;1990;3;4;0;0;0;3;1;L34072;1944;1999;1999;x
佩佐夫 ;34073;BUL;1930;1990;1990;1990;3;5;0;0;0;4;1;L34073;1930;1999;1999;x
沙拉帕托夫 ;34074;BUL;1943;1990;1990;1990;3;4;1024;0;0;4;1;L34074;1943;1999;1999;x
托舍夫 ;34075;BUL;1938;1940;1990;1990;2;4;0;1;0;4;1;L34075;1938;1999;1999;x
查涅夫 ;34076;BUL;1944;1990;1990;1990;3;5;4096;0;0;5;1;L34076;1944;1999;1999;x
瓦里克列什科夫 ;34077;BUL;1930;1937;1990;1990;2;4;2560;1;0;4;1;L34077;1930;1942;1999;x
齐格拉菲耶夫 ;34078;BUL;1945;1990;1990;1990;3;4;0;0;0;5;1;L34078;1945;1999;1999;x
阿塔纳索夫 ;34079;BUL;1940;1990;1990;1990;3;4;0;0;0;5;2;L34079;1940;1999;1999;x
艾尔亚诺夫 ;34080;BUL;1930;1939;1990;1990;2;4;0;1;0;4;2;L34080;1930;1999;1999;x
巴塔诺夫 ;34081;BUL;1942;1990;1990;1990;3;4;0;0;0;3;2;L34081;1942;1999;1999;x
博伊戴夫 ;34082;BUL;1940;1942;1990;1990;2;4;0;1;0;3;2;L34082;1940;1999;1999;x
德雷尼科夫 ;34083;BUL;1944;1946;1990;1990;2;4;0;1;0;4;2;L34083;1944;1999;1999;x
斯托亚诺夫 ;34084;BUL;1943;1990;1990;1990;3;6;4096;2;0;5;2;L34084;1943;1999;1999;x
斯托伊科夫 ;34085;BUL;1941;1990;1990;1990;3;4;0;0;0;4;2;L34085;1941;1999;1999;x
托普洛多尔斯基 ;34086;BUL;1941;1990;1990;1990;3;6;0;0;0;5;2;L34086;1941;1999;1999;x
维尔科夫 ;34087;BUL;1938;1941;1990;1990;2;4;33280;1;0;5;2;L34087;1938;1999;1999;x
扎哈里耶夫 ;34088;BUL;1944;1944;1990;1990;2;6;16384;2;0;3;2;L34088;1944;1999;1999;x
