Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
杜平 ;579000;PRK;1943;1990;1990;1990;3;6;256;0;0;5;0;L579000;1943;1999;1999;x
甘泗淇 ;579001;PRK;1938;1944;1990;1990;2;4;2;1;0;5;0;L579001;1938;1999;1999;x
韩先楚 ;579002;PRK;1930;1940;1944;1990;1;4;0;3;0;5;0;L579002;1930;1999;1999;x
洪学智 ;579003;PRK;1942;1990;1990;1990;3;3;1;0;0;5;0;L579003;1942;1999;1999;x
金日成 ;579004;PRK;1930;1930;1930;1930;0;3;1;1;0;5;0;L579004;1930;1999;1999;x
赖传珠 ;579005;PRK;1944;1990;1990;1990;3;2;0;0;0;5;0;L579005;1944;1999;1999;x
李聚奎 ;579006;PRK;1941;1990;1990;1990;3;4;128;0;0;5;0;L579006;1941;1999;1999;x
刘飞 ;579007;PRK;1940;1990;1990;1990;3;3;0;0;0;5;0;L579007;1940;1999;1999;x
聂凤智 ;579008;PRK;1937;1942;1943;1990;1;5;128;2;0;5;0;L579008;1937;1999;1999;x
秦基伟 ;579009;PRK;1940;1943;1990;1990;2;4;64;1;0;5;0;L579009;1940;1999;1999;x
罗毕完 ;579010;PRK;1945;1990;1990;1990;3;2;0;0;0;5;0;L579010;1945;1999;1999;x
宋时轮 ;579011;PRK;1930;1940;1990;1990;2;4;64;1;0;5;0;M579011;1930;1999;1999;x
粟裕 ;579012;PRK;1930;1930;1942;1943;0;5;9;3;0;5;0;L579012;1930;1999;1999;x
陶勇 ;579013;PRK;1939;1942;1990;1990;2;4;0;1;0;5;0;L579013;1939;1999;1999;x
吴瑞林 ;579014;PRK;1945;1990;1990;1990;3;3;32;0;0;5;0;L579014;1945;1999;1999;x
肖劲光 ;579015;PRK;1930;1990;1990;1990;3;4;1;0;0;5;0;M579015;1930;1999;1999;x
徐斌州 ;579016;PRK;1938;1942;1990;1990;2;5;16;1;0;5;0;L579016;1938;1999;1999;x
杨得志 ;579017;PRK;1942;1990;1990;1990;3;2;0;0;0;5;0;L579017;1942;1999;1999;x
张仁初 ;579018;PRK;1941;1990;1990;1990;3;4;8;0;0;5;0;L579018;1941;1999;1999;x
郑维山 ;579019;PRK;1939;1941;1990;1990;2;3;256;1;0;5;0;L579019;1939;1999;1999;x
周彪 ;579020;PRK;1930;1939;1942;1990;1;5;4;2;0;5;0;L579020;1930;1999;1999;x
陈锡联 ;579021;PRK;1938;1942;1990;1990;2;3;2048;1;0;5;1;L579021;1938;1999;1999;x
成钧 ;579022;PRK;1930;1990;1990;1990;3;3;0;0;0;5;1;L579022;1930;1999;1999;x
邓华 ;579023;PRK;1944;1990;1990;1990;3;4;4096;0;0;5;1;L579023;1944;1999;1999;x
姜健 ;579024;PRK;1942;1990;1990;1990;3;3;0;0;0;5;1;L579024;1942;1999;1999;x
刘西元 ;579025;PRK;1930;1940;1945;1990;1;3;1024;2;0;5;1;M579025;1930;1999;1999;x
陈赓 ;579026;PRK;1940;1990;1990;1990;3;4;131072;0;0;5;2;L579026;1940;1999;1999;x
李克农 ;579027;PRK;1930;1930;1943;1990;1;4;32768;2;0;5;2;M579027;1930;1999;1999;x
李志民 ;579028;PRK;1940;1943;1990;1990;2;3;0;2;0;5;2;L579028;1940;1999;1999;x
梁兴初 ;579029;PRK;1944;1990;1990;1990;3;3;65536;1;0;5;2;L579029;1944;1999;1999;x
刘亚楼 ;579030;PRK;1940;1943;1990;1990;2;4;0;1;0;5;2;L579030;1940;1999;1999;x
王道邦 ;579031;PRK;1944;1990;1990;1990;3;3;4096;0;0;5;2;L579031;1944;1999;1999;x
王近山 ;579032;PRK;1942;1990;1990;1990;3;4;8192;0;0;5;2;L579032;1942;1999;1999;x
吴信泉 ;579033;PRK;1938;1942;1990;1990;2;3;0;1;0;5;2;L579033;1938;1999;1999;x
袁升平 ;579034;PRK;1945;1990;1990;1990;3;3;0;0;0;5;2;L579034;1945;1999;1999;x
