Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
贝吉克 ;44600;CRO;1930;1941;1945;1990;2;5;128;2;0;4;0;L44600;1930;1999;1999;x
博班 ;44601;CRO;1930;1943;1990;1990;3;6;0;1;0;4;0;L44601;1930;1999;1999;x
布达克 ;44602;CRO;1941;1990;1990;1990;3;4;64;0;0;5;0;L44602;1941;1999;1999;x
德拉吉切维奇 ;44603;CRO;1930;1930;1990;1990;2;4;516;1;0;5;0;L44603;1930;1999;1999;x
德拉戈伊洛夫 ;44604;CRO;1930;1942;1990;1990;2;4;4;1;0;5;0;L44604;1930;1999;1999;x
弗兰采蒂奇 ;44605;CRO;1941;1990;1990;1990;3;4;256;0;0;5;0;L44605;1941;1942;1999;x
哈拉 ;44606;CRO;1941;1990;1990;1990;3;4;0;0;0;5;0;L44606;1941;1999;1999;x
克瓦泰尔尼克·E. ;44607;CRO;1930;1941;1990;1990;2;4;0;1;0;5;0;L44607;1930;1999;1999;x
克瓦泰尔尼克·S. ;44608;CRO;1930;1930;1930;1930;0;6;514;2;0;4;0;L44608;1930;1999;1999;x
拉克萨 ;44609;CRO;1930;1930;1941;1990;1;6;513;1;0;4;0;L44609;1930;1999;1999;x
洛尔科维奇 ;44610;CRO;1942;1990;1990;1990;3;4;16;0;0;5;0;L44610;1942;1999;1999;x
卢布里奇 ;44611;CRO;1941;1990;1990;1990;3;5;0;0;0;3;0;L44611;1941;1999;1999;x
卢基奇 ;44612;CRO;1930;1930;1940;1990;1;6;0;1;0;3;0;L44612;1930;1942;1999;x
马耶蒂克 ;44613;CRO;1941;1990;1990;1990;3;4;256;0;0;2;0;L44613;1941;1999;1999;x
马库利 ;44614;CRO;1941;1990;1990;1990;3;4;0;0;0;3;0;L44614;1941;1999;1999;x
梅西奇 ;44615;CRO;1930;1930;1990;1990;2;4;64;0;0;4;0;L44615;1930;1999;1999;x
莫斯科夫 ;44616;CRO;1942;1990;1990;1990;3;4;0;0;0;3;0;L44616;1942;1999;1999;x
纳夫拉蒂尔 ;44617;CRO;1930;1930;1942;1990;1;5;0;1;0;4;0;L44617;1930;1999;1999;x
奥帕契奇 ;44618;CRO;1941;1990;1990;1990;3;4;8;0;0;4;0;L44618;1941;1999;1999;x
斯坦塞 ;44619;CRO;1930;1930;1941;1990;1;4;0;1;0;5;0;L44619;1930;1999;1999;x
沃基奇 ;44620;CRO;1930;1941;1990;1990;3;4;1;1;0;4;0;L44620;1930;1999;1999;x
冯·佩尔切维奇 ;44621;CRO;1930;1941;1943;1990;2;7;4;2;0;5;0;L44621;1930;1999;1999;x
亚克辛 ;44622;CRO;1930;1941;1990;1990;2;4;0;1;0;5;1;L44622;1930;1999;1999;x
安杰利 ;44623;CRO;1941;1990;1990;1990;3;4;0;0;0;4;1;L44623;1941;1999;1999;x
施泰因富勒 ;44624;CRO;1941;1990;1990;1990;3;5;1024;0;0;0;1;L44624;1941;1999;1999;x
杜科瓦 ;44625;CRO;1941;1990;1990;1990;3;6;4096;0;0;5;2;L44625;1941;1999;1999;x
加利奇 ;44626;CRO;1941;1990;1990;1990;3;6;4096;0;0;5;2;L44626;1941;1999;1999;x
哈拉 ;44627;CRO;1941;1990;1990;1990;3;4;0;0;0;5;2;L44627;1941;1999;1999;x
克伦 ;44628;CRO;1930;1941;1990;1990;2;4;0;1;0;5;2;L44628;1930;1999;1999;x
罗古利亚 ;44629;CRO;1930;1941;1990;1990;2;4;0;1;0;4;2;L44629;1930;1999;1999;x
沃基奇 ;44630;CRO;1930;1941;1990;1990;3;4;0;1;0;4;2;L44630;1930;1999;1999;x
