Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
埃罗 ;9700;FIN;1930;1944;1990;1990;3;6;0;2;0;4;0;L9700;1930;1999;1999;x
阿尔弗坦 ;9701;FIN;1941;1990;1990;1990;3;5;10;1;0;4;0;L9701;1941;1999;1999;x
阿拉尤里 ;9702;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9702;1930;1999;1999;x
奥提 ;9703;FIN;1940;1943;1990;1990;3;6;7;2;0;4;0;L9703;1940;1999;1999;x
布利克 ;9704;FIN;1930;1939;1990;1990;2;6;12;2;0;4;0;L9704;1930;1999;1999;x
伊卡博格 ;9705;FIN;1939;1990;1990;1990;3;4;0;1;0;5;0;L9705;1939;1999;1999;x
法格内恩 ;9706;FIN;1940;1990;1990;1990;3;6;8;1;0;4;0;L9706;1940;1999;1999;x
戈兰德尔 ;9707;FIN;1930;1938;1990;1990;2;4;1;2;0;5;0;L9707;1930;1999;1999;x
哈内尔 ;9708;FIN;1930;1939;1990;1990;2;6;2;2;0;4;0;L9708;1930;1999;1999;x
汉纳克希拉 ;9709;FIN;1938;1990;1990;1990;3;8;76;3;0;4;0;L9709;1938;1942;1999;x
海因里希斯 ;9710;FIN;1930;1930;1940;1990;1;7;9;3;0;4;0;L9710;1930;1999;1999;x
海斯卡宁·J·H. ;9711;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;L9711;1939;1999;1999;x
海斯卡宁·K·A. ;9712;FIN;1940;1941;1946;1990;2;6;12;3;0;4;0;L9712;1940;1999;1999;x
赫萨罗 ;9713;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9713;1938;1999;1999;x
赫格棱德 ;9714;FIN;1930;1930;1990;1990;2;5;10;1;0;4;0;L9714;1930;1999;1999;x
伊格内修斯 ;9715;FIN;1930;1930;1990;1990;2;7;10;2;0;5;0;L9715;1930;1941;1999;x
伊斯卡森 ;9716;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9716;1938;1999;1999;x
加维内恩 ;9717;FIN;1940;1944;1990;1990;3;6;8;2;0;4;0;L9717;1940;1999;1999;x
卡拉 ;9718;FIN;1930;1990;1990;1990;3;6;520;1;0;5;0;L9718;1930;1939;1999;x
科利内恩 ;9719;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9719;1939;1999;1999;x
拉提卡内恩 ;9720;FIN;1930;1930;1941;1990;1;8;15;3;0;4;0;L9720;1930;1999;1999;x
拉格斯 ;9721;FIN;1940;1990;1990;1990;3;8;137;2;0;4;0;L9721;1940;1999;1999;x
林德 ;9722;FIN;1930;1930;1940;1990;1;7;3;2;0;5;0;L9722;1930;1943;1999;x
马恩伯格 ;9723;FIN;1930;1930;1946;1990;1;5;0;2;0;5;0;L9723;1930;1999;1999;x
马丁·韦泽尔 ;9724;FIN;1930;1930;1930;1990;1;7;514;2;0;5;0;L9724;1930;1999;1999;x
马托拉 ;9725;FIN;1930;1940;1944;1990;2;6;15;3;0;4;0;L9725;1930;1999;1999;x
梅兰德 ;9726;FIN;1942;1990;1990;1990;3;4;5;1;0;4;0;L9726;1942;1999;1999;x
梅恩 ;9727;FIN;1938;1941;1990;1990;3;6;8;2;0;4;0;L9727;1938;1999;1999;x
内诺恩 ;9728;FIN;1930;1930;1930;1990;1;6;64;2;0;5;0;L9728;1930;1999;1999;x
奥斯克 ;9729;FIN;1930;1940;1990;1990;2;6;2;1;0;4;0;L9729;1930;1999;1999;x
奥诺恩 ;9730;FIN;1930;1990;1990;1990;3;6;43;1;0;4;0;L9730;1930;1999;1999;x
帕鲁 ;9731;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;L9731;1939;1999;1999;x
帕亚里 ;9732;FIN;1938;1990;1990;1990;3;8;25;2;0;4;0;L9732;1938;1999;1999;x
帕尔莫斯 ;9733;FIN;1930;1990;1990;1990;3;6;520;1;0;4;0;L9733;1930;1941;1999;x
帕罗加维 ;9734;FIN;1941;1990;1990;1990;3;5;8;1;0;4;0;L9734;1941;1999;1999;x
拉帕纳 ;9735;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9735;1938;1999;1999;x
鲁斯 ;9736;FIN;1938;1990;1990;1990;3;5;1;1;0;5;0;L9736;1938;1999;1999;x
西沃·A. ;9737;FIN;1930;1930;1941;1990;1;6;2;2;0;4;0;L9737;1930;1999;1999;x
西沃·J. ;9738;FIN;1940;1947;1990;1990;2;6;8;2;0;4;0;L9738;1940;1999;1999;x
西拉斯沃 ;9739;FIN;1930;1930;1990;1990;2;9;267;4;0;4;0;L9739;1930;1999;1999;x
斯内尔曼 ;9740;FIN;1930;1990;1990;1990;3;4;72;1;0;4;0;L9740;1930;1942;1999;x
萨德曼 ;9741;FIN;1930;1940;1944;1990;2;4;1;3;0;4;0;L9741;1930;1999;1999;x
斯万希特尔 ;9742;FIN;1930;1990;1990;1990;3;4;64;1;0;5;0;L9742;1930;1942;1999;x
斯文森 ;9743;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9743;1939;1999;1999;x
塔尔韦拉 ;9744;FIN;1930;1939;1941;1990;1;7;4;3;0;4;0;L9744;1930;1999;1999;x
塔帕拉 ;9745;FIN;1930;1930;1941;1990;3;5;10;3;0;4;0;L9745;1930;1999;1999;x
图姆珀 ;9746;FIN;1939;1941;1990;1990;2;6;4;2;0;4;0;L9746;1939;1999;1999;x
瓦维 ;9747;FIN;1930;1941;1990;1990;2;6;0;2;0;5;0;L9747;1930;1999;1999;x
维赫玛 ;9748;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9748;1930;1939;1999;x
维尔加宁 ;9749;FIN;1940;1990;1990;1990;3;5;0;1;0;4;0;L9749;1940;1942;1999;x
冯·曼纳海姆 ;9750;FIN;1930;1930;1930;1930;0;9;27;5;0;4;0;L9750;1930;1999;1999;x
瓦尔登 ;9751;FIN;1930;1930;1930;1990;1;5;0;2;0;5;0;L9751;1930;1999;1999;x
瓦勒尼斯 ;9752;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9752;1930;1941;1999;x
维卡马 ;9753;FIN;1930;1930;1930;1990;1;5;514;2;0;5;0;L9753;1930;1999;1999;x
温内尔 ;9754;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9754;1939;1943;1999;x
阿奎斯特 ;9755;FIN;1930;1930;1990;1990;2;6;12;1;0;4;0;L9755;1930;1999;1999;x
乌特曼 ;9756;FIN;1930;1930;1990;1990;2;6;2;1;0;4;0;L9756;1930;1999;1999;x
阿尔霍 ;9757;FIN;1943;1948;1990;1990;2;5;0;2;0;5;1;L9757;1943;1999;1999;x
埃罗 ;9758;FIN;1938;1942;1990;1990;3;4;8192;2;0;5;1;L9758;1938;1999;1999;x
哈库拉 ;9759;FIN;1939;1944;1990;1990;3;5;0;2;0;5;1;L9759;1939;1999;1999;x
哈罗拉 ;9760;FIN;1930;1930;1990;1990;2;5;8192;2;0;5;1;L9760;1930;1941;1999;x
加普瓦 ;9761;FIN;1930;1990;1990;1990;3;4;1024;1;0;5;1;L9761;1930;1943;1999;x
吉维梅尔 ;9762;FIN;1930;1930;1942;1990;2;5;0;2;0;5;1;L9762;1930;1999;1999;x
科伊维斯托 ;9763;FIN;1939;1990;1990;1990;3;4;8192;1;0;5;1;L9763;1939;1999;1999;x
帕卡拉 ;9764;FIN;1943;1990;1990;1990;3;5;1024;2;0;5;1;L9764;1943;1999;1999;x
