Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
亚伯拉罕 ;1;GER;1943;1944;1990;1990;3;5;0;2;0;5;0;L1;1943;1999;x
阿尔门丁格 ;2;GER;1940;1943;1990;1990;3;6;0;2;0;5;0;L2;1940;1999;x
安德森 ;3;GER;1945;1990;1990;1990;3;5;32;1;0;5;0;L3;1945;1999;x
安东 ;4;GER;1942;1944;1990;1990;3;6;2;2;0;5;0;L4;1942;1999;x
阿恩特 ;5;GER;1942;1943;1990;1990;2;6;4;2;0;5;0;L5;1942;1999;x
奥莱布 ;6;GER;1939;1943;1990;1990;2;8;0;2;0;5;0;L6;1939;1999;x
巴德 ;7;GER;1943;1944;1990;1990;3;6;3;2;0;5;0;L7;1943;1999;x
巴德尔 ;8;GER;1930;1939;1990;1990;2;7;577;2;0;5;0;L8;1930;1999;x
巴尔克 ;9;GER;1942;1943;1990;1990;3;9;128;6;0;5;0;L9;1942;1999;x
巴拉 ;10;GER;1942;1990;1990;1990;3;5;4;1;0;5;0;L10;1942;1999;x
巴伦泰因 ;11;GER;1943;1990;1990;1990;3;6;256;1;0;5;0;L11;1943;1999;x
拜尔莱因 ;12;GER;1943;1944;1990;1990;2;8;128;4;0;5;0;L12;1943;1999;x
贝伦多夫 ;13;GER;1938;1940;1941;1990;2;6;32;3;0;5;0;L13;1938;1999;x
贝伦德 ;14;GER;1940;1990;1990;1990;3;5;0;1;0;5;0;L14;1940;1999;x
贝尔根 ;15;GER;1941;1943;1990;1990;2;5;2;2;0;5;0;L15;1941;1999;x
伯格曼 ;16;GER;1930;1938;1990;1990;2;6;4;2;0;5;0;L16;1930;1941;x
贝尔林 ;17;GER;1940;1943;1990;1990;3;5;0;2;0;5;0;L17;1940;1999;x
贝茨 ;18;GER;1942;1990;1990;1990;3;6;32;1;0;5;0;L18;1942;1999;x
比勒尔 ;19;GER;1938;1941;1990;1990;2;5;0;2;0;5;0;L19;1938;1999;x
布拉斯科维兹 ;20;GER;1930;1930;1939;1990;1;9;4;6;0;5;0;L20;1930;1999;x
布鲁门提特 ;21;GER;1942;1944;1990;1990;3;7;4;2;0;3;0;L21;1942;1999;x
博克 ;22;GER;1930;1938;1990;1990;2;5;0;2;0;5;0;L22;1930;1999;x
博克·贝伦兹 ;23;GER;1942;1943;1990;1990;2;6;32;2;0;5;0;L23;1942;1999;x
伯格 ;24;GER;1942;1944;1990;1990;3;6;0;2;0;5;0;L24;1942;1999;x
伯尔克 ;25;GER;1944;1945;1990;1990;3;5;0;2;0;5;0;L25;1944;1999;x
伯姆·泰特尔巴赫 ;26;GER;1930;1930;1990;1990;2;5;512;1;0;5;0;L26;1930;1943;x
勃兰登贝格 ;27;GER;1940;1942;1944;1990;3;7;128;3;0;5;0;L27;1940;1999;x
布雷特 ;28;GER;1942;1943;1990;1990;3;6;128;2;0;5;0;L28;1942;1999;x
布罗伊尔 ;29;GER;1940;1941;1944;1990;2;8;256;4;0;5;0;L29;1940;1999;x
巴克 ;30;GER;1940;1990;1990;1990;3;6;4;1;0;5;0;L30;1940;1942;x
布法 ;31;GER;1940;1943;1990;1990;3;5;2;2;0;5;0;L31;1940;1999;x
伯格多夫 ;32;GER;1942;1943;1944;1990;2;6;0;3;0;5;0;L32;1942;1999;x
恩斯特·布施 ;33;GER;1930;1938;1940;1943;2;8;15;5;0;5;0;L33;1930;1999;x
布塞 ;34;GER;1942;1943;1945;1990;2;7;3;3;0;5;0;L34;1942;1999;x
贝伦费恩格 ;35;GER;1943;1990;1990;1990;3;9;12;6;0;5;0;L35;1943;1999;x
伯梅 ;36;GER;1930;1939;1940;1990;2;6;256;3;0;5;0;L36;1930;1999;x
布切·F. ;37;GER;1940;1990;1990;1990;3;6;128;1;0;5;0;L37;1940;1999;x
克洛斯纳尔 ;38;GER;1937;1939;1942;1990;2;6;256;3;0;5;0;L38;1937;1999;x
康拉迪 ;39;GER;1942;1990;1990;1990;3;5;0;1;0;5;0;L39;1942;1999;x
康拉特 ;40;GER;1942;1943;1945;1990;2;6;384;3;0;5;0;L40;1942;1999;x
