Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
安德拉斯 ;31100;HUN;1944;1990;1990;1990;3;4;256;0;0;5;0;L31100;1944;1999;1999;x
阿尔焦·帕普 ;31101;HUN;1938;1942;1990;1990;2;5;4;1;0;3;0;L31101;1938;1999;1999;x
鲍比奇 ;31102;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;L31102;1940;1999;1999;x
鲍伊诺奇 ;31103;HUN;1930;1930;1943;1990;1;5;64;1;0;5;0;L31103;1930;1999;1999;x
巴卡伊 ;31104;HUN;1930;1943;1990;1990;3;5;0;1;0;2;0;L31104;1930;1999;1999;x
鲍龙考伊 ;31105;HUN;1930;1990;1990;1990;3;5;0;0;0;3;0;L31105;1930;1942;1999;x
鲍尔陶·冯·道尔诺法尔瓦 ;31106;HUN;1930;1930;1930;1990;1;4;544;1;0;5;0;L31106;1930;1942;1999;x
鲍曼 ;31107;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;L31107;1944;1999;1999;x
贝尔迪 ;31108;HUN;1937;1943;1990;1990;3;5;0;1;0;5;0;L31108;1937;1999;1999;x
拜赖格菲 ;31109;HUN;1930;1937;1941;1990;1;5;0;2;0;5;0;L31109;1930;1999;1999;x
伯津 ;31110;HUN;1945;1947;1990;1990;3;6;4;1;0;5;0;L31110;1945;1999;1999;x
比利尼泽 ;31111;HUN;1930;1930;1990;1990;2;5;513;1;0;4;0;L31111;1930;1940;1999;x
博尔 ;31112;HUN;1942;1944;1990;1990;2;4;0;1;0;5;0;L31112;1942;1999;1999;x
布伦瑞克 ;31113;HUN;1941;1946;1990;1990;3;5;4;1;0;5;0;L31113;1941;1999;1999;x
乔陶伊·冯·乔陶伊 ;31114;HUN;1930;1930;1941;1990;1;6;576;1;0;5;0;L31114;1930;1999;1999;x
奇切里克斯·冯·鲍恰尼 ;31115;HUN;1930;1930;1990;1990;2;5;514;1;0;4;0;L31115;1930;1939;1999;x
道洛什 ;31116;HUN;1942;1990;1990;1990;3;6;0;0;0;4;0;L31116;1942;1999;1999;x
戴阿克 ;31117;HUN;1944;1990;1990;1990;3;6;128;1;0;2;0;L31117;1944;1999;1999;x
德克莱瓦 ;31118;HUN;1938;1940;1942;1990;2;6;1;2;0;5;0;L31118;1938;1999;1999;x
登克 ;31119;HUN;1930;1930;1938;1990;2;6;516;1;0;5;0;L31119;1930;1999;1999;x
多马尼茨基 ;31120;HUN;1938;1941;1990;1990;2;6;516;2;0;3;0;L31120;1938;1999;1999;x
德莫特尔 ;31121;HUN;1939;1942;1990;1990;2;6;2;2;0;4;0;L31121;1939;1999;1999;x
杜斯克 ;31122;HUN;1944;1990;1990;1990;3;7;16;0;0;2;0;L31122;1944;1999;1999;x
法布里 ;31123;HUN;1938;1940;1990;1990;2;6;513;1;0;4;0;L31123;1938;1999;1999;x
法拉戈 ;31124;HUN;1940;1943;1990;1990;2;5;2;1;0;5;0;L31124;1940;1999;1999;x
法尔卡斯 ;31125;HUN;1941;1943;1945;1990;2;5;0;2;0;5;0;L31125;1941;1999;1999;x
费克特哈米·采伊德纳 ;31126;HUN;1939;1941;1944;1990;2;6;32;2;0;3;0;L31126;1939;1999;1999;x
费尔延奇克 ;31127;HUN;1930;1930;1990;1990;2;4;512;1;0;5;0;L31127;1930;1939;1999;x
弗里德里克 ;31128;HUN;1938;1990;1990;1990;3;4;0;0;0;5;0;L31128;1938;1939;1999;x
加洛奇 ;31129;HUN;1944;1990;1990;1990;3;5;32;2;0;3;0;L31129;1944;1999;1999;x
加特梅泽伊 ;31130;HUN;1944;1990;1990;1990;3;6;256;0;0;5;0;L31130;1944;1999;1999;x
戈龙迪·诺瓦克 ;31131;HUN;1930;1938;1941;1990;1;7;516;3;0;4;0;L31131;1930;1999;1999;x
格拉西 ;31132;HUN;1942;1990;1990;1990;3;7;128;2;0;5;0;L31132;1942;1999;1999;x
根伯什 ;31133;HUN;1930;1990;1990;1990;3;6;2;0;0;5;0;L31133;1930;1940;1999;x
哈迪 ;31134;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;L31134;1942;1999;1999;x
亨涅伊 ;31135;HUN;1930;1941;1944;1990;2;7;2;3;0;5;0;L31135;1930;1999;1999;x
黑兹勒尼 ;31136;HUN;1939;1942;1944;1990;2;6;1;3;0;5;0;L31136;1939;1999;1999;x
霍洛希·库蒂 ;31137;HUN;1942;1944;1990;1990;2;6;32;2;0;5;0;L31137;1942;1999;1999;x
洪蒂 ;31138;HUN;1939;1990;1990;1990;3;4;0;0;0;2;0;L31138;1939;1943;1999;x
霍瓦特·F ;31139;HUN;1943;1944;1990;1990;1;6;256;2;0;5;0;L31139;1943;1999;1999;x
霍瓦特·S ;31140;HUN;1940;1990;1990;1990;3;6;128;1;0;5;0;L31140;1942;1999;1999;x
伊布拉尼 ;31141;HUN;1942;1944;1990;1990;2;6;4;2;0;5;0;L31141;1942;1999;1999;x
亚尼 ;31142;HUN;1930;1937;1941;1990;3;7;2;3;0;5;0;L31142;1930;1999;1999;x
基尔 ;31143;HUN;1945;1947;1990;1990;2;4;0;1;0;5;0;L31143;1945;1999;1999;x
科洛什瓦里 ;31144;HUN;1941;1990;1990;1990;3;5;1;1;0;5;0;L31144;1941;1942;1999;x
科尔泰 ;31145;HUN;1940;1942;1990;1990;2;6;64;2;0;5;0;L31145;1940;1999;1999;x
科扎尔德 ;31146;HUN;1930;1930;1990;1990;2;5;528;1;0;5;0;L31146;1930;1939;1999;x
拉卡托斯 ;31147;HUN;1938;1940;1943;1990;2;7;0;3;0;4;0;L31147;1938;1999;1999;x
拉斯洛 ;31148;HUN;1941;1943;1944;1990;2;6;0;2;0;4;0;L31148;1941;1999;1999;x
拉扎尔 ;31149;HUN;1942;1944;1990;1990;3;4;2;1;0;4;0;L31149;1942;1999;1999;x
卢考契奇 ;31150;HUN;1930;1930;1990;1990;2;4;514;1;0;4;0;L31150;1930;1943;1999;x
毛焦罗希 ;31151;HUN;1940;1942;1944;1990;2;6;4;2;0;5;0;L31151;1940;1999;1999;x
毛沙尼 ;31152;HUN;1945;1990;1990;1990;3;6;2;0;0;3;0;L31152;1945;1999;1999;x
梅列茨 ;31153;HUN;1944;1990;1990;1990;3;5;4;0;0;5;0;L31153;1944;1999;1999;x
迈泽 ;31154;HUN;1941;1990;1990;1990;3;5;0;1;0;5;0;L31154;1941;1999;1999;x
米克洛什 ;31155;HUN;1938;1940;1943;1990;2;6;0;3;0;4;0;L31155;1938;1999;1999;x
纳道伊 ;31156;HUN;1937;1940;1942;1990;1;7;0;3;0;3;0;L31156;1937;1999;1999;x
纳吉·V ;31157;HUN;1930;1937;1940;1990;2;6;2;2;0;5;0;L31157;1930;1999;1999;x
欧斯拉尼 ;31158;HUN;1942;1990;1990;1990;3;7;0;1;0;4;0;L31158;1942;1999;1999;x
欧斯托维奇 ;31159;HUN;1944;1990;1990;1990;3;6;128;0;0;4;0;L31159;1944;1999;1999;x
保陶基 ;31160;HUN;1942;1990;1990;1990;3;6;0;0;0;3;0;L31160;1942;1999;1999;x
波科尔尼 ;31161;HUN;1930;1990;1990;1990;3;6;513;1;0;5;0;L31161;1930;1941;1999;x
勒维 ;31162;HUN;1930;1939;1990;1990;2;4;513;1;0;3;0;L31162;1930;1940;1999;x
鲁斯基曹伊·吕迪格 ;31163;HUN;1930;1941;1943;1990;2;6;1;2;0;5;0;L31163;1930;1999;1999;x
勒德尔 ;31164;HUN;1939;1945;1990;1990;3;6;0;2;0;4;0;L31164;1939;1999;1999;x
沙什卡 ;31165;HUN;1942;1990;1990;1990;3;6;128;1;0;5;0;L31165;1942;1999;1999;x
塞尔基 ;31166;HUN;1943;1990;1990;1990;3;4;64;0;0;5;0;L31166;1943;1999;1999;x
什沃伊 ;31167;HUN;1930;1930;1935;1990;3;6;514;3;0;4;0;L31167;1939;1942;1999;x
西波斯 ;31168;HUN;1930;1930;1990;1990;2;4;514;1;0;3;0;L31168;1930;1938;1999;x
西普拉克 ;31169;HUN;1948;1990;1990;1990;3;5;128;0;0;4;0;L31169;1948;1999;1999;x
绍尼 ;31170;HUN;1930;1930;1930;1990;1;6;513;2;0;3;0;L31170;1930;1999;1999;x
塞凯伊 ;31171;HUN;1938;1945;1990;1990;3;6;1;2;0;3;0;L31171;1938;1999;1999;x
松鲍特海伊 ;31172;HUN;1930;1938;1941;1943;0;7;0;3;0;4;0;L31172;1930;1999;1999;x
斯托尧伊 ;31173;HUN;1930;1939;1944;1990;2;3;0;2;0;5;0;L31173;1930;1999;1999;x
叙吉 ;31174;HUN;1944;1990;1990;1990;3;7;256;1;0;5;0;L31174;1944;1999;1999;x
苏尔毛伊 ;31175;HUN;1941;1990;1990;1990;3;6;2;2;0;3;0;L31175;1941;1999;1999;x
