Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
安桑坎 ;543000;IDC;1930;1990;1990;1990;3;2;1;0;0;5;0;L541000;1930;1999;1999;x
阿派 ;543001;IDC;1938;1943;1990;1990;2;3;4;1;0;5;0;M540034;1938;1999;1999;x
包岱 ;543002;IDC;1930;1930;1930;1930;0;1;0;0;0;5;0;L542002;1930;1999;1999;x
奔 ;543003;IDC;1930;1930;1990;1990;2;2;0;0;0;5;0;M540010;1930;1999;1999;x
春林 ;543004;IDC;1930;1945;1990;1990;2;2;64;1;0;5;0;M541045;1930;1999;1999;x
达克·达特 ;543005;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542009;1944;1999;1999;x
东范明 ;543006;IDC;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1999;1999;x
赫蒙 ;543007;IDC;1944;1990;1990;1990;3;6;16;1;0;5;0;L540007;1944;1999;1999;x
黄明昭 ;543008;IDC;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1999;1999;x
胡志明 ;543009;IDC;1930;1930;1930;1990;1;5;3;3;0;5;0;M542047;1930;1999;1999;x
孔 ;543010;IDC;1943;1990;1990;1990;3;3;256;0;0;5;0;L540008;1943;1999;1999;x
金旺 ;543011;IDC;1930;1945;1990;1990;2;3;1;1;0;5;0;M541047;1930;1999;1999;x
克里桑·车达 ;543012;IDC;1938;1990;1990;1990;3;2;0;0;0;5;0;M541026;1938;1999;1999;x
黎笋 ;543013;IDC;1930;1940;1945;1990;1;6;1;3;0;5;0;L542021;1930;1999;1999;x
黎文金 ;543014;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1999;1999;x
朗诺 ;543015;IDC;1941;1946;1990;1990;2;3;4;1;0;5;0;M541035;1941;1999;1999;x
倪文正 ;543016;IDC;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1999;1999;x
阮高世 ;543017;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1999;1999;x
阮谷孝 ;543018;IDC;1945;1990;1990;1990;3;3;4;0;0;5;0;L542027;1945;1999;1999;x
阮友谷 ;543019;IDC;1942;1947;1990;1990;3;3;2;1;0;5;0;M542043;1942;1999;1999;x
阮庆 ;543020;IDC;1945;1990;1990;1990;3;2;256;0;0;5;0;L542029;1945;1999;1999;x
保 ;543021;IDC;1941;1944;1990;1990;2;4;17;1;0;5;0;M540038;1941;1999;1999;x
潘蒙 ;543022;IDC;1940;1990;1990;1990;3;3;17;0;0;5;0;L540013;1940;1999;1999;x
佩萨拉特 ;543023;IDC;1938;1941;1990;1990;2;3;2;1;0;5;0;M540008;1938;1999;1999;x
披七 ;543024;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;M540035;1945;1999;1999;x
丰威汉 ;543025;IDC;1943;1946;1990;1990;2;3;1;1;0;5;0;M540029;1943;1999;1999;x
富桑纳尼 ;543026;IDC;1939;1943;1990;1990;2;2;0;1;0;5;0;M540031;1939;1999;1999;x
萨希阿潘 ;543027;IDC;1930;1990;1990;1990;3;3;16;0;0;5;0;L540019;1930;1999;1999;x
萨基瓦特·披伦 ;543028;IDC;1939;1990;1990;1990;3;2;0;0;0;5;0;M541037;1939;1999;1999;x
萨西亚翁 ;543029;IDC;1930;1930;1930;1930;0;2;0;0;0;5;0;M540001;1930;1999;1999;x
萨索里 ;543030;IDC;1942;1945;1990;1990;2;2;0;1;0;5;0;L540021;1942;1999;1999;x
萨旺·瓦. ;543031;IDC;1930;1930;1930;1990;1;2;1;1;0;5;0;M540011;1930;1999;1999;x
萨旺·沃. ;543032;IDC;1939;1943;1990;1990;2;2;128;1;0;5;0;M540037;1939;1999;1999;x
西哈努克·诺罗敦 ;543033;IDC;1930;1930;1930;1990;1;2;0;0;0;5;0;M541044;1941;1999;1999;x
西索瓦·莫尼勒 ;543034;IDC;1930;1940;1990;1990;2;2;1;1;0;5;0;M541046;1930;1999;1999;x
西索瓦·莫尼旺 ;543035;IDC;1930;1930;1930;1990;1;2;0;0;0;5;0;L541017;1930;1941;1999;x
西索瓦·沃察雅旺 ;543036;IDC;1930;1943;1990;1990;2;2;0;1;0;5;0;M541049;1930;1999;1999;x
