Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿道尔贝托·杜卡·迪·贝尔加莫 ;6000;ITA;1930;1930;1930;1990;1;4;0;1;0;2;0;L6000;1930;1999;x
阿尔伯特 ;6001;ITA;1944;1946;1990;1990;2;5;64;2;0;3;0;L6001;1944;1999;x
阿戈 ;6002;ITA;1930;1930;1941;1990;1;3;0;1;0;4;0;L6002;1930;1999;x
安布罗西奥 ;6003;ITA;1930;1930;1938;1990;1;6;5;2;0;4;0;L6003;1930;1999;x
阿梅迪奥·杜卡·德利·阿布鲁兹 ;6004;ITA;1930;1930;1930;1990;1;4;1;2;0;4;0;L6004;1930;1942;x
阿米科 ;6005;ITA;1937;1990;1990;1990;3;4;64;2;0;2;0;L6005;1937;1943;x
安东内利 ;6006;ITA;1938;1990;1990;1990;3;2;0;0;0;5;0;L6006;1938;1941;x
阿蒂托 ;6007;ITA;1946;1990;1990;1990;3;3;0;1;0;3;0;L6007;1946;1999;x
阿雷纳 ;6008;ITA;1939;1990;1990;1990;3;4;128;0;0;4;0;L6008;1939;1942;x
阿尔梅利尼·Q. ;6009;ITA;1930;1942;1990;1990;2;4;256;1;0;4;0;L6009;1930;1999;x
阿希纳利·迪·贝尔内泽 ;6010;ITA;1930;1990;1990;1990;3;3;514;1;0;4;0;L6010;1930;1943;x
巴比尼 ;6011;ITA;1930;1939;1990;1990;3;3;1;1;0;3;0;L6011;1930;1941;x
布尔扎利 ;6012;ITA;1941;1946;1990;1990;3;4;256;2;0;4;0;L6012;1941;1999;x
巴多格里奥 ;6013;ITA;1930;1930;1930;1930;0;5;515;2;0;5;0;L6013;1930;1999;x
巴伊斯特罗基 ;6014;ITA;1930;1930;1930;1990;1;3;513;1;0;4;0;L6014;1930;1940;x
巴尔博 ;6015;ITA;1930;1930;1930;1940;0;7;7;4;0;5;0;L6015;1930;1999;x
巴利斯蒂 ;6016;ITA;1939;1944;1990;1990;3;5;517;2;0;5;0;L6016;1939;1999;x
巴洛科 ;6017;ITA;1939;1940;1990;1990;2;3;0;1;0;3;0;L6017;1939;1999;x
巴尔巴塞蒂·迪·普兰 ;6018;ITA;1930;1940;1990;1990;2;5;129;2;0;3;0;L6018;1930;1999;x
巴比里 ;6019;ITA;1937;1939;1990;1990;2;5;129;2;0;4;0;L6019;1937;1999;x
巴索 ;6020;ITA;1940;1943;1990;1990;2;4;0;2;0;3;0;L6020;1940;1999;x
巴斯蒂科 ;6021;ITA;1930;1930;1930;1942;1;6;517;3;0;4;0;L6021;1930;1999;x
巴蒂斯蒂 ;6022;ITA;1938;1942;1946;1990;2;5;264;2;0;3;0;L6022;1938;1999;x
贝尔奥多·迪·普拉罗莫 ;6023;ITA;1930;1941;1990;1990;2;4;1;1;0;3;0;L6023;1930;1999;x
贝尔贡佐利 ;6024;ITA;1937;1940;1990;1990;2;6;517;2;0;3;0;L6024;1937;1999;x
贝尔蒂 ;6025;ITA;1930;1930;1938;1990;1;3;32;1;0;4;0;L6025;1930;1941;x
贝托尼 ;6026;ITA;1941;1990;1990;1990;3;3;8;1;0;3;0;L6026;1941;1999;x
比安奇 ;6027;ITA;1938;1990;1990;1990;3;3;32;1;0;4;0;L6027;1938;1999;x
比格纳尼 ;6028;ITA;1941;1990;1990;1990;3;3;256;1;0;3;0;L6028;1941;1999;x
博尔盖塞 ;6029;ITA;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1999;x
布鲁内蒂 ;6030;ITA;1930;1990;1990;1990;3;4;64;1;0;4;0;L6030;1930;1999;x
布鲁诺 ;6031;ITA;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1999;x
卡多尔纳 ;6032;ITA;1941;1944;1990;1990;3;5;4;2;0;4;0;L6032;1941;1999;x
卡尔维·迪·贝尔格罗 ;6033;ITA;1930;1990;1990;1990;3;5;132;3;0;4;0;L6033;1930;1999;x
卡纳莱 ;6034;ITA;1930;1939;1941;1990;2;5;768;2;0;3;0;L6034;1930;1941;x
卡拉乔洛·迪·费罗莱托 ;6035;ITA;1930;1937;1940;1990;3;4;4;2;0;3;0;L6035;1930;1943;x
卡尔博尼 ;6036;ITA;1930;1942;1990;1990;2;4;388;2;0;5;0;L6036;1930;1999;x
卡尔塔 ;6037;ITA;1939;1943;1990;1990;3;4;0;1;0;5;0;L6037;1939;1999;x
卡鲁索 ;6038;ITA;1938;1941;1945;1990;2;4;0;2;0;5;0;L6038;1938;1999;x
卡西诺 ;6039;ITA;1945;1990;1990;1990;3;4;0;1;0;4;0;L6039;1945;1999;x
卡斯特拉诺 ;6040;ITA;1930;1990;1990;1990;3;3;0;0;0;4;0;L6040;1930;1999;x
卡瓦莱罗 ;6041;ITA;1937;1938;1940;1942;1;5;517;2;0;5;0;L6041;1937;1943;x
卡维格利亚 ;6042;ITA;1930;1930;1930;1940;0;2;513;0;0;3;0;L6042;1930;1999;x
