Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿部 信行 ;101000;JAP;1930;1930;1933;1990;1;4;4;2;0;5;0;L101000;1930;1999;x
安达 二十三 ;101001;JAP;1938;1940;1990;1990;2;6;20;3;0;5;0;L101001;1938;1999;x
相田 俊二 ;101002;JAP;1943;1990;1990;1990;3;4;1;2;0;5;0;L101002;1943;1999;x
赤鹿 理 ;101003;JAP;1941;1990;1990;1990;3;4;0;1;0;5;0;L101003;1941;1999;x
吉田 峰太郎 ;101004;JAP;1939;1943;1990;1990;2;4;0;2;0;5;0;L101004;1939;1999;x
天野 正一 ;101005;JAP;1945;1947;1990;1990;3;5;0;2;0;5;0;L101005;1945;1999;x
雨宫 巽 ;101006;JAP;1930;1938;1990;1990;2;4;0;3;0;5;0;L101006;1930;1999;x
阿南 惟几 ;101007;JAP;1930;1938;1943;1990;1;6;4;3;0;5;0;L101007;1930;1999;x
安藤 利吉 ;101008;JAP;1930;1936;1938;1990;1;7;100;4;0;5;0;L101008;1930;1999;x
安藤 三郎 ;101009;JAP;1930;1942;1990;1990;2;4;576;2;0;5;0;L101009;1930;1999;x
青木 成一 ;101010;JAP;1941;1944;1990;1990;3;5;2;2;0;5;0;L101010;1941;1999;x
青津 喜久太郎 ;101011;JAP;1944;1990;1990;1990;3;4;2;1;0;5;0;L101011;1944;1999;x
荒木 贞夫 ;101012;JAP;1930;1930;1933;1990;1;5;1;2;0;5;0;L101012;1930;1999;x
有川 圭一 ;101013;JAP;1944;1990;1990;1990;3;4;2;2;0;5;0;L101013;1944;1999;x
朝香宫鸠彦王 ;101014;JAP;1930;1930;1936;1990;1;5;68;3;0;5;0;L101014;1930;1999;x
昂山 ;101015;JAP;1942;1990;1990;1990;3;5;16;2;0;5;0;L101015;1942;1999;x
绫部 橘树 ;101016;JAP;1938;1940;1990;1990;2;6;20;3;0;5;0;L101016;1938;1999;x
马场 正郎 ;101017;JAP;1940;1943;1990;1990;3;5;4;2;0;5;0;L101017;1940;1999;x
坂西 一良 ;101018;JAP;1944;1990;1990;1990;3;5;256;2;0;5;0;L101018;1944;1999;x
钱德拉·鲍斯 ;101019;JAP;1943;1990;1990;1990;3;4;16;2;0;5;0;L101019;1943;1999;x
长 勇 ;101020;JAP;1930;1930;1990;1990;2;5;0;2;0;5;0;L101020;1930;1999;x
土肥原 贤二 ;101021;JAP;1930;1937;1941;1990;1;7;17;4;0;5;0;Doihara_1940;1930;1999;x
远藤 三郎 ;101022;JAP;1938;1941;1990;1990;2;5;4;2;0;5;0;L101022;1939;1999;x
藤江 惠辅 ;101023;JAP;1930;1930;1943;1990;1;7;68;4;0;5;0;L101023;1930;1999;x
藤井 洋治 ;101024;JAP;1938;1941;1990;1990;3;4;0;1;0;5;0;L101024;1938;1999;x
藤冈 武雄 ;101025;JAP;1943;1944;1990;1990;2;4;0;2;0;5;0;L101025;1943;1999;x
福井 浩太郎 ;101026;JAP;1930;1930;1990;1990;2;6;514;2;0;5;0;L101026;1930;1999;x
船引 正之 ;101027;JAP;1938;1943;1990;1990;3;5;0;2;0;5;0;L101027;1938;1999;x
花田 洋治 ;101028;JAP;1942;1990;1990;1990;3;4;16;2;0;3;0;L101028;1942;1999;x
花田 仲之助 ;101029;JAP;1930;1930;1990;1990;1;5;516;2;0;5;0;L101029;1930;1999;x
花谷 正 ;101030;JAP;1938;1943;1990;1990;2;5;16;2;0;5;0;L101030;1938;1999;x
原田 贞三郎 ;101031;JAP;1939;1943;1990;1990;2;4;16;2;0;5;0;L101031;1939;1999;x
原田 栋 ;101032;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101032;1943;1999;x
桥本 博光 ;101033;JAP;1942;1990;1990;1990;3;6;80;2;0;5;0;L101033;1942;1999;x
畑 俊六 ;101034;JAP;1930;1930;1937;1944;0;8;23;6;0;5;0;L101034;1930;1999;x
服部 卓四郎 ;101035;JAP;1945;1990;1990;1990;3;5;4;2;0;5;0;L101035;1945;1999;x
林 义秀 ;101036;JAP;1943;1944;1990;1990;3;5;1;2;0;5;0;L101036;1943;1999;x
林田 金城 ;101037;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101037;1944;1999;x
东久迩宫稔彦王 ;101038;JAP;1930;1930;1939;1990;0;7;21;4;0;5;0;L101038;1930;1999;x
樋口 季一郎 ;101039;JAP;1938;1942;1990;1990;2;6;20;3;0;5;0;L101039;1938;1999;x
平田 正判 ;101040;JAP;1945;1990;1990;1990;3;5;0;2;0;5;0;L101040;1945;1999;x
大野 広一 ;101041;JAP;1941;1943;1990;1990;2;5;20;3;0;5;0;L101041;1941;1999;x
人见 秀三 ;101042;JAP;1941;1943;1990;1990;2;4;16;2;0;5;0;L101042;1941;1999;x
本多 政材 ;101043;JAP;1938;1940;1990;1990;2;6;19;3;0;5;0;L101043;1938;1999;x
洪 ;101044;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101044;1943;1999;x
洪 思翊 ;101045;JAP;1941;1944;1990;1990;3;4;4;2;0;5;0;L101045;1941;1999;x
本间 雅晴 ;101046;JAP;1930;1938;1990;1990;2;7;23;4;0;5;0;L101046;1930;1999;x
北马 ;101047;JAP;1930;1941;1990;1990;2;6;1;2;0;5;0;L101047;1930;1999;x
堀井 富太郎 ;101048;JAP;1930;1940;1990;1990;3;6;272;2;0;5;0;L101048;1930;1999;x
堀内 丰秋 ;101049;JAP;1930;1990;1990;1990;3;5;256;2;0;5;0;L101049;1930;1999;x
星野 利元 ;101050;JAP;1942;1944;1990;1990;2;5;128;2;0;5;0;L101050;1942;1999;x
百武 晴吉 ;101051;JAP;1930;1938;1990;1990;2;8;86;5;0;5;0;L101051;1930;1999;x
一木 清直 ;101052;JAP;1938;1990;1990;1990;3;5;256;2;0;5;0;L101052;1938;1999;x
井出 宣時 ;101053;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101053;1943;1999;x
井出 铁藏 ;101054;JAP;1941;1990;1990;1990;3;5;1;2;0;5;0;L101054;1941;1999;x
饭田 祥二郎 ;101055;JAP;1930;1938;1990;1990;2;8;23;5;0;5;0;L101055;1938;1999;x
饭村 穰 ;101056;JAP;1939;1941;1990;1990;2;6;16;3;0;5;0;L101056;1939;1999;x
伊集院 谦信 ;101057;JAP;1944;1990;1990;1990;3;5;8;2;0;5;0;L101057;1944;1999;x
今井 武夫 ;101058;JAP;1941;1944;1990;1990;3;5;16;2;0;5;0;L101058;1941;1999;x
今村 均 ;101059;JAP;1930;1938;1943;1990;1;8;29;6;0;5;0;L101059;1930;1999;x
今村 钦一 ;101060;JAP;1930;1939;1990;1990;2;5;16;2;0;5;0;L101060;1930;1999;x
稻叶 四郎 ;101061;JAP;1930;1939;1990;1990;2;4;64;2;0;5;0;L101061;1930;1999;x
石黑 贞藏 ;101062;JAP;1941;1945;1990;1990;2;5;16;2;0;5;0;L101062;1941;1999;x
西原 贯治 ;101065;JAP;1930;1930;1990;1990;2;6;20;3;0;5;0;L101063;1930;1999;x
石原 莞尔 ;101066;JAP;1930;1930;1990;1990;1;7;31;5;0;5;0;L101064;1930;1999;x
矶谷 廉介 ;101067;JAP;1937;1942;1990;1990;2;4;0;2;0;5;0;L101067;1937;1999;x
板花 义一 ;101068;JAP;1939;1942;1990;1990;2;5;4;2;0;5;0;L101068;1939;1999;x
板垣 征四郎 ;101070;JAP;1930;1936;1941;1990;1;8;87;6;0;5;0;L101070;1930;1999;x
