Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
蔡秉德 ;578000;KOR;1930;1939;1944;1990;1;3;2;2;0;5;0;M578007;1930;1999;1999;x
崔纯永 ;578001;KOR;1930;1930;1942;1990;1;5;0;2;0;5;0;M578017;1930;1999;1999;x
崔泓熙 ;578002;KOR;1941;1943;1990;1990;2;4;256;1;0;5;0;L578002;1941;1999;1999;x
古应太 ;578003;KOR;1945;1990;1990;1990;3;4;64;0;0;5;0;L578003;1945;1999;1999;x
金善元 ;578004;KOR;1945;1990;1990;1990;3;3;4;0;0;5;0;L578004;1945;1999;1999;x
金王波 ;578005;KOR;1930;1930;1930;1941;0;6;17;2;0;5;0;M578018;1930;1999;1999;x
崔汗允 ;578006;KOR;1944;1990;1990;1990;3;4;32;0;0;5;0;L578006;1944;1999;1999;x
李尚春 ;578007;KOR;1930;1938;1944;1990;1;5;3;3;0;5;0;M578008;1930;1999;1999;x
李胡军 ;578008;KOR;1939;1942;1990;1990;2;4;16;1;0;5;0;L578008;1939;1999;1999;x
莫长西 ;578009;KOR;1945;1990;1990;1990;3;3;0;0;0;5;0;L578009;1945;1999;1999;x
朴孙宇 ;578010;KOR;1944;1990;1990;1990;3;4;9;0;0;5;0;L578010;1944;1999;1999;x
朴正熙 ;578011;KOR;1943;1945;1990;1990;2;5;4;1;0;5;0;L578011;1943;1999;1999;x
王泰雷 ;578012;KOR;1945;1990;1990;1990;3;3;256;0;0;5;0;L578012;1945;1999;1999;x
于宏催 ;578013;KOR;1944;1990;1990;1990;3;4;128;0;0;5;0;L578013;1944;1999;1999;x
韩吉洙 ;578014;KOR;1944;1990;1990;1990;3;3;1024;0;0;5;1;L578014;1944;1999;1999;x
金镀熏 ;578015;KOR;1930;1941;1990;1990;2;4;2048;1;0;5;1;M578019;1930;1999;1999;x
康均善 ;578016;KOR;1942;1990;1990;1990;3;3;0;0;0;5;1;L578016;1942;1999;1999;x
夏臣水 ;578017;KOR;1945;1990;1990;1990;3;3;0;0;0;5;1;L578017;1945;1999;1999;x
孙万伊 ;578018;KOR;1930;1940;1943;1990;1;4;4096;3;0;5;1;M578009;1930;1999;1999;x
崔纯熙 ;578019;KOR;1941;1943;1990;1990;2;3;0;1;0;5;2;L578002;1941;1999;1999;x
康善濮 ;578020;KOR;1943;1990;1990;1990;3;3;131072;0;0;5;2;L578020;1943;1999;1999;x
金泰瑞 ;578021;KOR;1945;1990;1990;1990;3;3;4096;0;0;5;2;L578021;1945;1999;1999;x
李范奭 ;578022;KOR;1930;1930;1943;1990;1;4;16384;2;0;5;2;M578010;1930;1999;1999;x
李家军 ;578023;KOR;1930;1941;1990;1990;2;4;131072;1;0;5;2;M578020;1930;1999;1999;x
韩东永 ;578024;KOR;1939;1943;1990;1990;2;3;0;1;0;5;2;L578024;1939;1999;1999;x
