Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
°¢²¼¼ÖÂÞ·ò ;521000;KYG;1930;1990;1990;1990;3;2;1;0;0;5;0;M521044;1930;1999;1999;x
°¢¶ûëø±´¿Ë ;521001;KYG;1930;1930;1990;1990;2;3;128;1;0;5;0;L521001;1930;1999;1999;x
°ÍÀ­Åµ·ò ;521002;KYG;1930;1939;1990;1990;2;3;4;1;0;5;0;M521046;1930;1999;1999;x
±È¶ûÂü ;521003;KYG;1930;1990;1990;1990;3;3;1;0;0;5;0;L521003;1930;1999;1999;x
Ð¤¶ûÅí±´ ;521004;KYG;1930;1939;1990;1990;2;4;24;1;0;5;0;M521039;1930;1999;1999;x
¿ËÂÞÄáË¹ ;521005;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521005;1930;1999;1999;x
¶ÅÉá°ÍÒ®·ò ;521006;KYG;1930;1941;1990;1990;2;3;0;1;0;5;0;M521007;1930;1999;1999;x
Õ¼¶àË÷·ò ;521007;KYG;1930;1930;1990;1990;2;4;16;1;0;5;0;M521051;1930;1999;1999;x
¶÷Ë¹ÌØ ;521008;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521008;1930;1999;1999;x
·üÁúÖ¥ ;521009;KYG;1930;1930;1930;1940;1;7;5;4;0;5;0;M521008;1930;1999;1999;x
¸êÀïÑÇÉê¿Æ ;521010;KYG;1930;1940;1990;1990;2;3;128;1;0;5;0;M521049;1930;1999;1999;x
Ï£Ò®¶û ;521011;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521011;1930;1999;1999;x
»ôÆÕ·ò ;521012;KYG;1930;1990;1990;1990;3;3;514;1;0;5;0;L521012;1930;1999;1999;x
ÒÁÊ²Äª·ò¡¤B. ;521013;KYG;1930;1943;1990;1990;3;3;64;1;0;5;0;L521013;1930;1999;1999;x
