Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
汪精卫 ;610000;U74;1930;1990;1990;1990;3;6;4;3;0;5;0;L50315;1930;1999;1999;x
松井石根 ;610001;U74;1930;1990;1990;1990;1;5;516;3;0;5;0;L101116;1930;1999;1999;x
畑俊六 ;610002;U74;1930;1990;1990;1990;0;7;4;4;0;5;0;M5189;1930;1999;1999;x
山田乙三 ;610003;U74;1930;1990;1990;1990;1;7;4;3;0;5;0;L101200;1930;1999;1999;x
后宫淳 ;610004;U74;1930;1990;1990;1990;3;5;8704;4;0;5;2;L101340;1930;1999;1999;x
寺内寿一 ;610005;U74;1930;1990;1990;1990;1;7;4;4;0;5;0;L101179;1930;1999;1999;x
杉山元 ;610006;U74;1930;1990;1990;1990;1;7;2;3;0;5;0;L101163;1930;1999;1999;x
齐燮元 ;502301;U74;1930;1930;1930;1930;0;2;512;1;0;4;0;M52017;1930;1960;1999;x
鲍文樾 ;502302;U74;1930;1930;1930;1990;1;2;512;1;0;2;0;M52018;1930;1960;1999;x
刘郁芬 ;502303;U74;1930;1930;1930;1990;1;2;4;1;0;2;0;L502210;1930;1960;1999;x
郑大章 ;502304;U74;1930;1930;1990;1990;2;2;16;1;0;2;0;L502212;1930;1960;1999;x
门致中 ;502305;U74;1930;1930;1990;1990;2;4;0;2;0;2;0;L502216;1930;1960;1999;x
孙良诚 ;502306;U74;1938;1939;1990;1990;2;2;512;1;0;2;0;L502217;1942;1960;1999;x
富双英 ;502307;U74;1938;1939;1943;1990;1;4;0;2;0;2;0;L502226;1930;1960;1999;x
张维玺 ;502308;U74;1938;1939;1943;1990;1;4;0;2;0;2;0;L502227;1930;1960;1999;x
孙殿英 ;502309;U74;1941;1943;1990;1990;2;3;512;1;0;2;0;L502234;1942;1960;1999;x
凌霄 ;502310;U74;1938;1939;1943;1990;2;4;0;2;0;1;1;L502236;1930;1960;1999;x
姚锡九 ;502311;U74;1938;1939;1990;1990;2;5;0;1;0;4;2;L1510706;1930;1960;1999;x
殷汝耕 ;502312;U74;1930;1930;1990;1990;2;1;512;1;0;4;0;M503101;1930;1960;1999;x
缪斌 ;502313;U74;1938;1939;1940;1990;3;5;1;2;0;1;0;L502251;1930;1960;1999;x
张岚峰 ;502314;U74;1938;1939;1941;1990;1;2;512;1;0;1;0;L502200;1930;1960;1999;x
吴化文 ;502315;U74;1940;1942;1944;1990;2;3;4;1;0;1;0;L502201;1930;1960;1999;x
刘培绪 ;502316;U74;1938;1939;1990;1990;2;4;0;2;0;1;0;L502228;1930;1960;1999;x
庞炳勋 ;502317;U74;1930;1930;1930;1990;1;5;3;2;0;0;0;L50250;1943;1960;1999;x
王克敏 ;502318;U74;1930;1930;1930;1990;1;1;0;1;0;4;0;M52012;1930;1960;1999;x
石友三 ;502319;U74;1930;1930;1990;1990;2;5;528;1;0;1;0;L50260;1941;1960;1999;x
