Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
比耶尔戈 ;250000;MAN;1939;1990;1990;1990;3;5;48;1;0;4;0;L250000;1939;1999;x
张景惠 ;250001;MAN;1930;1930;1930;1990;1;3;513;1;0;4;0;L250001;1930;1942;x
张海鹏 ;250002;MAN;1930;1930;1930;1930;0;3;2;1;0;4;0;张海鹏;1930;1999;x
张文铸 ;250003;MAN;1943;1990;1990;1990;3;3;8;0;0;4;0;L250003;1943;1999;x
张一山 ;250004;MAN;1938;1942;1990;1990;2;4;64;1;0;4;0;L250004;1938;1999;x
赵秋航 ;250005;MAN;1944;1946;1990;1990;3;4;0;1;0;4;0;L250005;1944;1999;x
切尔诺科夫 ;250006;MAN;1938;1943;1990;1990;3;4;24;2;0;3;0;L250006;1938;1999;x
吉兴;250007;MAN;1930;1930;1942;1990;1;6;513;1;0;4;0;L250007;1930;1999;x
林义秀 ;250008;MAN;1943;1944;1990;1990;3;4;1;2;0;5;0;L250008;1943;1999;x
邢士廉 ;250009;MAN;1938;1940;1944;1990;2;7;20;3;0;4;0;邢士廉;1938;1999;x
甘珠尔札布 ;250011;MAN;1930;1941;1990;1990;2;4;256;1;0;4;0;L250011;1930;1999;x
川岛 芳子 ;250012;MAN;1940;1990;1990;1990;3;2;16;1;0;4;0;L250012;1940;1999;x
基利岑 ;250013;MAN;1930;1930;1930;1990;1;5;12;1;0;2;0;L250013;1930;1999;x
基洛比尔 ;250014;MAN;1930;1941;1990;1990;2;5;2;2;0;4;0;L250014;1930;1943;x
库利金 ;250015;MAN;1939;1990;1990;1990;3;3;128;0;0;4;0;L250015;1939;1999;x
郭恩霖 ;250016;MAN;1938;1941;1942;1990;1;4;32;2;0;4;0;L250016;1938;1999;x
李恒 ;250017;MAN;1942;1990;1990;1990;3;3;0;0;0;4;0;L250017;1942;1999;x
中岛 吉三郎 ;250018;MAN;1930;1930;1990;1990;2;3;514;1;0;5;0;L250018;1930;1939;x
谢苗诺夫 ;250019;MAN;1930;1930;1990;1990;2;8;21;3;0;2;0;L250019;1930;1943;x
冯·切尔韦林 ;250020;MAN;1938;1990;1990;1990;3;6;132;1;0;4;0;L250020;1938;1999;x
王之佑 ;250021;MAN;1943;1990;1990;1990;2;3;0;0;0;4;0;L250021;1943;1999;x
王典忠 ;250022;MAN;1930;1930;1990;1990;2;3;0;0;0;4;0;L250022;1930;1941;x
吴元敏 ;250023;MAN;1941;1990;1990;1990;3;3;0;0;0;4;0;L250023;1941;1999;x
于琛澂 ;250024;MAN;1938;1940;1941;1990;1;4;2;2;0;4;0;L250024;1938;1999;x
于芷山;250041;MAN;1938;1940;1941;1990;2;5;17;2;0;4;0;于芷山;1936;1969;x
于治功 ;250025;MAN;1940;1990;1990;1990;3;3;0;0;0;4;0;L250025;1940;1943;x
细谷 资芳 ;250026;MAN;1930;1990;1990;1990;3;3;4096;1;0;5;1;L250026;1930;1999;x
郭文林 ;250027;MAN;1938;1990;1990;1990;3;3;0;0;0;4;1;L250027;1938;1999;x
李文龙 ;250028;MAN;1930;1990;1990;1990;3;3;0;0;0;4;1;L250028;1930;1999;x
冈山 ;250029;MAN;1930;1940;1990;1990;2;3;9216;2;0;5;1;L250029;1930;1999;x
拉米尔切夫 ;250030;MAN;1930;1930;1990;1990;2;3;8192;1;0;4;1;L250030;1930;1999;x
斯特里伊诺夫 ;250031;MAN;1930;1990;1990;1990;3;3;0;0;0;3;1;L250031;1930;1942;x
尹祚乾 ;250032;MAN;1930;1930;1930;1990;1;3;512;1;0;4;1;L250032;1930;1999;x
阿基巴拉哲 ;250033;MAN;1930;1930;1990;1990;2;3;512;1;0;3;2;L250033;1930;1943;x
川原 利明 ;250034;MAN;1938;1941;1990;1990;2;5;131072;1;0;5;2;L250034;1938;1999;x
帕克 ;250035;MAN;1942;1990;1990;1990;3;3;4096;1;0;5;2;L250035;1942;1999;x
谢苗诺夫斯基 ;250036;MAN;1930;1990;1990;1990;3;3;8192;0;0;3;2;L250036;1930;1941;x
舍霍瓦拉泽 ;250037;MAN;1938;1941;1990;1990;3;3;4096;1;0;4;2;L250037;1938;1999;x
谷川 ;250038;MAN;1939;1990;1990;1990;3;4;0;1;0;5;2;L250038;1939;1999;x
曹秉森 ;250039;MAN;1939;1943;1990;1990;3;4;16384;1;0;4;2;L250039;1939;1999;x
绫部 ;250040;MAN;1938;1942;1990;1990;2;5;0;3;0;5;0;L101016;1938;1999;x
