Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
雨宫 巽 ;513000;MEN;1930;1938;1945;1990;2;4;0;3;0;5;0;L101006;1930;1999;1999;x
包 ;513002;MEN;1930;1990;1990;1990;3;4;128;0;0;5;0;L513002;1930;1999;1999;x
藤井 洋治 ;513003;MEN;1938;1941;1990;1990;3;4;0;1;0;5;0;L101024;1938;1999;1999;x
船引 正之 ;513004;MEN;1938;1943;1990;1990;3;5;8;2;0;5;0;L101027;1938;1999;1999;x
服部 卓四郎 ;513005;MEN;1945;1990;1990;1990;3;5;4;1;0;5;0;L101035;1945;1999;1999;x
林义秀 ;513006;MEN;1943;1944;1990;1990;3;5;4;2;0;5;0;L101036;1943;1999;1999;x
赫德里希 ;513007;MEN;1930;1990;1990;1990;3;4;516;1;0;5;0;L513007;1930;1999;1999;x
北马 ;513008;MEN;1930;1941;1990;1990;2;4;1;1;0;5;0;L101047;1930;1999;1999;x
井出 铁藏 ;513009;MEN;1937;1990;1990;1990;3;5;1;1;0;5;0;L101054;1937;1999;1999;x
河鹿 ;513010;MEN;1942;1946;1990;1990;3;5;1;2;0;5;0;L101074;1942;1999;1999;x
金冈 山乔 ;513011;MEN;1930;1990;1990;1990;3;6;64;1;0;5;0;L101076;1930;1999;1999;x
笠原 幸雄 ;513012;MEN;1941;1945;1990;1990;2;5;16;2;0;5;0;L101079;1941;1999;1999;x
木下 容市 ;513013;MEN;1941;1944;1990;1990;2;5;0;2;0;5;0;L101096;1941;1999;1999;x
宫崎 繁三郎 ;513015;MEN;1943;1990;1990;1990;3;6;1;1;0;5;0;L101120;1943;1999;1999;x
冈田 梅吉  ;513016;MEN;1945;1990;1990;1990;3;4;2;1;0;5;0;L101140;1945;1999;1999;x
真田 穰一郎 ;513017;MEN;1930;1990;1990;1990;3;4;128;1;0;5;0;L101151;1930;1999;1999;x
德王 ;513018;MEN;1930;1930;1930;1990;1;3;1;1;0;5;0;M513001;1930;1999;1999;x
矢野 志加三 ;513019;MEN;1941;1990;1990;1990;3;4;0;1;0;5;0;L101210;1941;1999;1999;x
杭克 ;513020;MEN;1930;1930;1990;1990;2;4;0;1;0;5;1;M513009;1930;1999;1999;x
马尔霍尔茨 ;513021;MEN;1930;1990;1990;1990;3;4;8192;0;0;5;1;L513021;1930;1999;1999;x
左近司 政三 ;513022;MEN;1930;1930;1990;1990;2;4;0;0;0;5;1;L101274;1930;1999;1999;x
末国 正雄 ;513023;MEN;1939;1990;1990;1990;3;4;0;1;0;5;1;L101281;1939;1999;1999;x
韦尔 ;513024;MEN;1930;1990;1990;1990;3;4;1024;0;0;5;1;L513024;1930;1999;1999;x
卡尔加尼科 ;513025;MEN;1930;1990;1990;1990;3;3;0;0;0;5;2;L513025;1930;1999;1999;x
戈尔茨 ;513026;MEN;1930;1939;1990;1990;2;4;4096;1;0;5;2;L513026;1930;1999;1999;x
海林 ;513027;MEN;1930;1990;1990;1990;3;4;8192;0;0;5;2;L513027;1930;1999;1999;x
德王 ;513028;MEN;1930;1930;1930;1990;1;2;0;0;0;5;2;M513001;1930;1999;1999;x
富永 恭次 ;513029;MEN;1939;1943;1990;1990;2;5;0;2;0;3;2;L101336;1939;1999;1999;x
上月 良夫 ;513030;MEN;1937;1942;1946;1990;2;6;0;3;0;5;0;L101106;1937;1999;1999;x
田中 新一 ;513033;MEN;1930;1939;1990;1990;2;7;6;2;0;5;0;L101174;1930;1999;1999;x
