Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
4 ÐìÓÀ²ý(99) ;503000;CSX;1930;1930;1935;1990;1;4;514;3;0;3;0;L50296;1930;1999;1999;x
 ¡ï8 ¸µ×÷Òå(99) ;503001;CSX;1930;1930;1938;1942;0;8;145;4;0;3;0;L50085;1930;1999;1999;x
5 Ñî°®Ô´(99) ;503002;CSX;1930;1930;1935;1990;1;5;516;2;0;3;0;L50337;1930;1999;1999;x
3 Àî·þâß(99) ;503003;CSX;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1999;1999;x
3 Åí×Ó½÷(99) ;503004;CSX;1930;1990;1990;1990;3;3;8;1;0;5;0;L503004;1930;1999;1999;x
3 Ëï³þ(43) ;503005;CSX;1930;1930;1990;1990;2;3;0;1;0;4;0;L50264;1930;1943;1999;x
5 ³Â³¤½Ý(99) ;503006;CSX;1935;1940;1990;1990;2;5;35;2;0;4;0;L50029;1935;1999;1999;x
3 ÉÌÕð(99) ;503007;CSX;1930;1930;1935;1990;1;3;512;1;0;5;0;L503007;1930;1999;1999;x
3 Ê¯ÖÁ±¦(99) ;503008;CSX;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1999;1999;x
2 ¶­ÆäÎä(99) ;503009;CSX;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1938;1999;1999;x
2 Íõ¾¸¹ú(43) ;503010;CSX;1930;1930;1990;1990;2;2;2;1;0;3;0;L50314;1930;1943;1999;x
5 ÑÖÎýÉ½(99) ;503011;CSX;1930;1930;1930;1935;0;5;515;4;0;2;0;L50348;1930;1999;1999;x
3 ¹ù×Ú·Ú(99) ;503012;CSX;1939;1990;1990;1990;3;3;0;1;0;4;0;L50164;1937;1999;1999;x
3 ¹ù¾°ÔÆ(45) ;503013;CSX;1939;1990;1990;1990;3;3;1;1;0;4;0;L50160;1937;1945;1999;x
3 ½ªÓñÕê(99) ;503014;CSX;1930;1990;1990;1990;3;3;0;1;0;4;0;L50051;1930;1999;1999;x
2 ÕÅÒñÎò(99) ;503016;CSX;1930;1990;1990;1990;3;2;512;1;0;5;0;ÕÅÒñÎò;1930;1999;1999;x
5 ÖÜçé(99) ;503018;CSX;1930;1930;1990;1990;2;5;36;1;0;5;0;L503018;1930;1999;1999;x
5 ³þÏª´º(99) ;503019;CSX;1930;1930;1946;1990;2;5;11;2;0;5;0;L503019;1930;1999;1999;x
4 ÕÔ³Ðç·(45) ;503020;CSX;1930;1930;1990;1990;2;4;0;1;0;4;0;L50021;1930;1945;1999;x
4 Ñî³ÎÔ´(45) ;503021;CSX;1930;1930;1946;1990;2;4;1;1;0;4;0;Ñî³ÎÔ´;1930;1945;1999;x
