Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
阿派旺 ;100000;SIA;1930;1990;1990;1990;3;4;1;0;0;3;0;L100000;1930;1942;1999;x
銮巴立 ;100001;SIA;1939;1990;1990;1990;3;4;128;0;0;4;0;L100001;1939;1999;1999;x
汶耶吉 ;100002;SIA;1944;1990;1990;1990;3;5;16;0;0;2;0;L100002;1944;1999;1999;x
宋卡 ;100003;SIA;1930;1938;1990;1990;2;4;0;1;0;4;0;L100003;1930;1999;1999;x
亨特拉库尔 ;100004;SIA;1943;1990;1990;1990;3;4;256;0;0;5;0;L100004;1943;1999;1999;x
甘拉纳文 ;100005;SIA;1937;1940;1990;1990;2;4;0;1;0;4;0;L100005;1937;1999;1999;x
康菲亚龙 ;100006;SIA;1930;1990;1990;1990;3;5;514;1;0;4;0;L100006;1930;1940;1999;x
马加维胡拉雅 ;100007;SIA;1930;1930;1990;1990;2;4;0;0;0;4;0;L100007;1930;1942;1999;x
蒙西尔帕·西纳迪奥哈拉克萨 ;100008;SIA;1945;1990;1990;1990;3;4;1;0;0;3;0;L100008;1945;1999;1999;x
纳洛 ;100009;SIA;1930;1990;1990;1990;3;5;128;0;0;5;0;L100009;1930;1999;1999;x
拍凤冯法育哈塞纳 ;100010;SIA;1938;1943;1990;1990;2;4;2;1;0;4;0;L100010;1938;1999;1999;x
帕蒙蒙特里 ;100011;SIA;1937;1941;1990;1990;3;5;256;1;0;5;0;L100011;1937;1999;1999;x
帕侬荣 ;100012;SIA;1942;1944;1946;1990;2;5;2;2;0;4;0;L100012;1942;1999;1999;x
披汶颂堪 ;100013;SIA;1930;1930;1930;1930;0;5;0;1;0;4;0;L100013;1930;1999;1999;x
彭约蒂 ;100014;SIA;1944;1945;1946;1990;1;5;32;2;0;4;0;L100014;1944;1999;1999;x
普罗纳拉纳泰 ;100015;SIA;1940;1990;1990;1990;3;4;1;0;0;4;0;L100015;1940;1999;1999;x
佩尼亚克图 ;100016;SIA;1941;1943;1990;1990;2;4;2;1;0;3;0;L100016;1941;1999;1999;x
拉玛·普里楚朗科恩 ;100017;SIA;1943;1945;1946;1990;3;5;2;2;0;4;0;L100017;1943;1999;1999;x
拉玛八世 ;100018;SIA;1930;1930;1930;1990;1;3;0;0;0;5;0;L100018;1930;1942;1999;x
兰西特 ;100019;SIA;1930;1930;1990;1990;2;3;0;0;0;5;0;L100019;1930;1999;1999;x
桑帕蒂西里 ;100020;SIA;1930;1990;1990;1990;3;4;64;0;0;4;0;L100020;1930;1943;1999;x
沙瓦隆那猜·沙瓦蒂杰 ;100021;SIA;1940;1944;1990;1990;3;5;16;1;0;4;0;L100021;1940;1999;1999;x
希拉隆科恩 ;100022;SIA;1930;1990;1990;1990;3;5;513;1;0;4;0;L100022;1930;1939;1999;x
速邦 ;100023;SIA;1945;1990;1990;1990;3;4;4;0;0;4;0;L100023;1945;1999;1999;x
