Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
郝鹏举;1250001;U87;1941;1943;1990;1990;2;3;1;1;0;1;0;L502204;1942;1960;x
任援道;1250002;U87;1938;1939;1940;1990;1;2;0;1;0;1;0;M52019;1930;1960;x
鲍文樾;1250003;U87;1938;1939;1940;1990;1;2;512;1;0;1;0;M52018;1940;1960;x
刘玉峰;1250004;U87;1938;1939;1940;1990;1;2;4;1;0;1;0;L502210;1940;1960;x
郑大章;1250005;U87;1938;1939;1990;1990;2;2;16;1;0;1;0;L502212;1940;1960;x
黄大伟;1250006;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502218;1939;1960;x
申振纲;1250007;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502221;1930;1960;x
马晓天;1250008;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502222;1930;1960;x
唐生明;1250009;U87;1938;1939;1940;1990;1;4;0;2;0;0;0;L502223;1940;1960;x
周佛海;1250010;U87;1938;1939;1941;1990;1;1;3;0;1;0;0;L502225;1940;1960;x
富双英;1250011;U87;1938;1939;1943;1990;1;4;0;2;0;1;0;L502226;1940;1960;x
张维玺;1250012;U87;1938;1939;1943;1990;1;4;0;2;0;1;0;L502227;1940;1960;x
刘培绪;1250013;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502228;1940;1960;x
臧卓;1250014;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502229;1930;1960;x
汪精卫;1250015;U87;1940;1940;1940;1940;1;1;0;0;0;1;1;L502235;1940;1960;x
凌霄;1250016;U87;1938;1939;1943;1990;2;4;0;2;0;1;1;L502236;1940;1960;x
陈昌祖;1250017;U87;1938;1990;1990;1990;3;4;0;2;0;1;2;M52020;1930;1960;x
姚锡九;1250018;U87;1938;1939;1990;1990;2;5;0;1;0;4;2;L1510706;1940;1960;x
吕春荣;1250019;U87;1938;1990;1990;1990;3;4;0;2;0;1;0;L502239;1930;1960;x
刘夷;1250020;U87;1938;1990;1990;1990;3;4;0;2;0;1;0;L502240;1930;1960;x
崔培德;1250021;U87;1938;1990;1990;1990;3;4;0;2;0;1;0;L502241;1930;1960;x
任援道;1250022;U87;1938;1939;1940;1990;1;2;0;1;0;1;1;M52019;1930;1960;x
汪精卫;1250023;U87;1940;1940;1940;1940;1;6;4;2;0;1;0;L502235;1940;1960;x
姜西圆;1250024;U87;1938;1939;1990;1990;2;4;0;2;0;1;1;L502246;1942;1960;x
缪斌;1250025;U87;1938;1939;1940;1990;3;5;1;2;0;1;0;L502251;1930;1960;x
冯节;1250026;U87;1938;1940;1945;1990;3;5;0;2;0;1;0;L502252;1930;1960;x
罗君强;1250027;U87;1938;1940;1945;1990;3;5;1;2;0;1;0;L502253;1930;1960;x
陈群;1250028;U87;1930;1930;1945;1990;2;3;1;2;0;1;0;M52013;1930;1960;x
安达 二十三;1250029;U87;1938;1940;1990;1990;2;6;16;2;0;5;0;L101001;1938;1947;x
雨宫 巽;1250030;U87;1930;1938;1945;1990;2;4;0;3;0;5;0;L101006;1930;1990;x
阿南惟几;1250031;U87;1930;1938;1943;1990;1;6;4;2;0;5;0;L101007;1930;1990;x
安藤利吉;1250032;U87;1930;1930;1930;1990;1;7;4;3;0;5;0;L101008;1930;1990;x
