Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
阿派旺 ;101700;UIC;1936;1936;1936;1936;3;7;0;2;0;5;2;L100000;1936;1999;1999;x
銮巴立 ;101701;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100001;1936;1999;1999;x
汶耶吉 ;101702;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100002;1936;1999;1999;x
宋卡 ;101703;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100003;1936;1999;1999;x
亨特拉库尔 ;101704;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100004;1936;1999;1999;x
甘拉纳文 ;101705;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100005;1936;1999;1999;x
康菲亚龙 ;101706;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L100006;1936;1999;1999;x
马加维胡拉雅 ;101707;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100007;1936;1999;1999;x
蒙西尔帕·西纳迪奥哈拉克萨 ;101708;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100008;1936;1999;1999;x
纳洛 ;101709;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100009;1936;1999;1999;x
拍凤冯法育哈塞纳 ;101710;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100010;1936;1999;1999;x
帕蒙蒙特里 ;101711;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100011;1936;1999;1999;x
帕侬荣 ;101712;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100012;1936;1999;1999;x
披汶颂堪 ;101713;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L100013;1936;1999;1999;x
彭约蒂 ;101714;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100014;1936;1999;1999;x
普罗纳拉纳泰 ;101715;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100015;1936;1999;1999;x
佩尼亚克图 ;101716;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100016;1936;1999;1999;x
拉玛·普里楚朗科恩 ;101717;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;L100017;1936;1999;1999;x
拉玛八世 ;101718;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100018;1936;1999;1999;x
兰西特 ;101719;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100019;1936;1999;1999;x
桑帕蒂西里 ;101720;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;L100020;1936;1999;1999;x
沙瓦隆那猜·沙瓦蒂杰 ;101721;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100021;1936;1999;1999;x
希拉隆科恩 ;101722;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100022;1936;1999;1999;x
速邦 ;101723;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100023;1936;1999;1999;x
西斯哈姆普拉 ;101724;UIC;1936;1936;1936;1990;3;7;0;0;0;5;2;L100024;1936;1999;1999;x
韦恰延朗萨里特 ;101725;UIC;1936;1936;1936;1990;3;7;0;2;0;5;1;L100025;1936;1999;1999;x
威七宋克拉姆 ;101726;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100026;1936;1999;1999;x
威七瓦塔卡恩 ;101727;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100027;1936;1999;1999;x
参纳纳它尤塔 ;101728;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100028;1936;1999;1999;x
卡莫纳温 ;101729;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100029;1936;1999;1999;x
卢安森布拉诺 ;101730;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100030;1936;1999;1999;x
蓬拉信塔纳瓦 ;101731;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100031;1936;1999;1999;x
普纳瓦萨瓦 ;101732;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100032;1936;1999;1999;x
朴蒂亚南 ;101733;UIC;1936;1936;1936;1936;3;7;0;0;0;5;0;L100033;1936;1999;1999;x
比差出拉于哈 ;101734;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100034;1936;1999;1999;x
探隆纳瓦萨瓦 ;101735;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100035;1936;1999;1999;x
威占沃拉亚克 ;101736;UIC;1936;1936;1936;1990;3;7;0;2;0;5;0;L100036;1936;1999;1999;x
威奇西乔拉泰 ;101737;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100037;1936;1999;1999;x
育他萨科宋 ;101738;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100038;1936;1999;1999;x
阿米诺斯拉亚科恩 ;101739;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100039;1936;1999;1999;x
阿尔武德斯基科恩 ;101740;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100040;1936;1999;1999;x
差林马卡斯 ;101741;UIC;1936;1936;1990;1990;3;7;0;1;0;5;2;L100041;1936;1999;1999;x
差林马吉亚特 ;101742;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100042;1936;1999;1999;x
