Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
巴贝尔·拉纳 ;411700;UIR;1936;1936;1936;1936;3;7;0;2;0;5;2;L410000;1936;1999;1999;x
邦德 ;411701;UIR;1936;1936;1936;1936;3;7;0;1;0;5;1;L410001;1936;1999;1999;x
迪尔·拉纳 ;411702;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L410002;1936;1999;1999;x
热恩德拉·拉纳 ;411703;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L410003;1936;1999;1999;x
基兰·拉纳 ;411704;UIR;1936;1936;1936;1990;3;7;0;1;0;5;0;L410004;1936;1999;1999;x
梅因沃林 ;411705;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L410005;1936;1999;1999;x
莫汉·拉纳 ;411706;UIR;1936;1936;1990;1990;3;7;0;0;0;5;2;L410006;1936;1999;1999;x
纳拉·拉纳 ;411707;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L410007;1936;1999;1999;x
奥亚苏尼·拉纳 ;411708;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L410008;1936;1999;1999;x
帕德马·拉纳 ;411709;UIR;1936;1990;1990;1990;3;7;0;2;0;5;1;L410009;1936;1999;1999;x
波特 ;411710;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L410010;1936;1999;1999;x
鲁德拉·拉纳 ;411711;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L410011;1936;1999;1999;x
塔帕 ;411712;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L410012;1936;1999;1999;x
柯林斯 ;411713;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L410013;1936;1999;1999;x
鲁德拉·拉纳 ;411714;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L410014;1936;1999;1999;x
柯林斯 ;411715;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L410015;1936;1999;1999;x
热恩德拉·拉纳 ;411716;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L410016;1936;1999;1999;x
基兰·拉纳 ;411717;UIR;1936;1936;1936;1936;3;7;0;1;0;5;0;L410017;1936;1999;1999;x
布尔·巴·I·日吉亚尔波 ;411718;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460000;1936;1999;1999;x
吉格梅·道尔吉 ;411719;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460001;1936;1999;1999;x
吉格梅·旺楚克 ;411720;UIR;1936;1990;1990;1990;3;7;0;1;0;5;1;L460002;1936;1999;1999;x
卡尔马·道尔吉 ;411721;UIR;1936;1936;1936;1990;3;7;0;0;0;5;0;L460003;1936;1999;1999;x
内姆盖·旺楚克 ;411722;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L460004;1936;1999;1999;x
纳姆加尔·巴哈杜尔 ;411723;UIR;1936;1936;1936;1990;3;7;0;0;0;5;0;L460005;1936;1999;1999;x
索南·普拉杜哈 ;411724;UIR;1936;1936;1936;1990;3;7;0;0;0;5;2;L460006;1936;1999;1999;x
史蒂文斯 ;411725;UIR;1936;1936;1936;1990;3;7;0;2;0;5;1;L460007;1936;1999;1999;x
舒哈尔·巴哈杜尔 ;411726;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L460008;1936;1999;1999;x
苏克·巴哈杜尔 ;411727;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460009;1936;1999;1999;x
托泽伊 ;411728;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460010;1936;1999;1999;x
威登·古尔德 ;411729;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L460011;1936;1999;1999;x
阿卡兹 ;411730;UIR;1936;1990;1990;1990;3;7;0;2;0;5;1;L460012;1936;1999;1999;x
古尔德 ;411731;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L460013;1936;1999;1999;x
