Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
亚当斯 ;60000;USA;1944;1946;1990;1990;3;7;256;2;0;5;0;L60000;1944;1999;1999;x
亚历山大 ;60001;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60001;1939;1999;1999;x
埃尔福特 ;60002;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60002;1943;1999;1999;x
阿尔基尔 ;60003;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60003;1943;1999;1999;x
艾伦·A·R. ;60004;USA;1941;1944;1990;1990;2;7;128;2;0;5;0;L60004;1941;1999;1999;x
艾伦·F·A. ;60005;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60005;1942;1999;1999;x
艾伦·R·R. ;60006;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60006;1941;1999;1999;x
埃尔蒙德 ;60007;USA;1942;1944;1990;1990;2;5;0;2;0;5;0;L60007;1942;1999;1999;x
埃尔索斯 ;60008;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60008;1943;1999;1999;x
安德森 ;60009;USA;1940;1990;1990;1990;3;4;0;1;0;5;0;L60009;1940;1942;1999;x
安德森·J·B. ;60010;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60010;1942;1999;1999;x
安德森·J·W. ;60011;USA;1941;1990;1990;1990;3;6;64;1;0;5;0;L60011;1941;1999;1999;x
安德鲁斯 ;60012;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60012;1943;1999;1999;x
安克考恩 ;60013;USA;1939;1990;1990;1990;3;4;0;1;0;5;0;L60013;1939;1999;1999;x
阿姆兹 ;60014;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60014;1941;1999;1999;x
阿姆斯特朗 ;60015;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60015;1942;1999;1999;x
阿诺德 ;60016;USA;1942;1944;1990;1990;2;6;0;2;0;5;0;L60016;1942;1999;1999;x
阿罗史密斯 ;60017;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60017;1942;1999;1999;x
巴蒂 ;60018;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60018;1942;1999;1999;x
巴赫 ;60019;USA;1930;1990;1990;1990;3;5;64;1;0;5;0;L60019;1930;1999;1999;x
贝尔德 ;60020;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60020;1942;1999;1999;x
贝克 ;60021;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60021;1941;1999;1999;x
巴克尔 ;60022;USA;1940;1990;1990;1990;3;6;64;1;0;5;0;L60022;1940;1999;1999;x
邦尼斯 ;60023;USA;1938;1990;1990;1990;3;5;64;1;0;5;0;L60023;1938;1999;1999;x
巴奈特 ;60024;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60024;1941;1999;1999;x
巴尔 ;60025;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60025;1941;1999;1999;x
拜瑞特 ;60026;USA;1944;1990;1990;1990;3;5;64;1;0;5;0;L60026;1944;1999;1999;x
雷·巴顿 ;60027;USA;1930;1990;1990;1990;3;5;0;1;0;5;0;L60027;1930;1999;1999;x
拜什 ;60028;USA;1930;1990;1990;1990;3;4;512;1;0;5;0;L60028;1930;1938;1999;x
贝斯利 ;60029;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60029;1942;1999;1999;x
拜丁菲尔德 ;60030;USA;1945;1990;1990;1990;3;5;32;1;0;5;0;L60030;1945;1999;1999;x
比戴尔·史密斯 ;60031;USA;1941;1942;1944;1990;1;6;4;3;0;5;0;L60031;1941;1999;1999;x
贝德尔林顿 ;60032;USA;1943;1990;1990;1990;3;5;64;1;0;5;0;L60032;1943;1999;1999;x
拜特勒 ;60033;USA;1940;1990;1990;1990;3;6;0;1;0;5;0;L60033;1940;1999;1999;x
