U72;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700201;Head of State;胡志明 ;30;LE;Stern Imperialist;Very high;M542012;x
700202;Head of Government;长征 ;30;LE;Political Protege;Very high;M542019;x
700203;Foreign Minister;范文同 ;30;LE;Apologetic Clerk;Very high;M542024;x
700204;Minister of Armament;黎笋 ;30;ST;Administrative Genius;Very high;M542030;x
700205;Minister of Security;世旅 ;30;LE;Silent Lawyer;Very high;M542035;x
700206;Head of Military Intelligence;潘辉括 ;30;LE;Political Specialist;Very high;M542039;x
700207;Head of Military Intelligence;黎清毅 ;30;LE;Industrial Specialist;Very high;M542040;x
700208;Chief of Staff;武元甲 ;30;LE;School of Mass Combat;Very high;M542044;x
700209;Chief of Army;武元甲 ;42;LE;Decisive Battle Doctrine;Very high;M542048;x
700210;Chief of Navy;庄嵩笃 ;30;LE;Power Projection Doctrine;Very high;M542052;x
700211;Chief of Air Force;阮友寿 ;30;LE;Air Superiority Doctrine;Very high;M542055;x
700212;Head of State;孙德胜 ;40;LE;Popular Figurehead;Very High;cvietnam6;x
700213;Head of State;黎笋 ;34;ST;Die-hard Reformer;Very High;M542030;x
700214;Foreign Minister;阮海清 ;34;LE;Great Compromiser;Very High;cvietnam3;x
700215;Foreign Minister;范文同 ;30;LE;Ideological Crusader;Very high;M542024;x
700216;Foreign Minister;谢秋杜 ;30;LWR;Iron Fisted Brute;Very High;cvietnam5;x
700217;Foreign Minister;黄明政 ;30;LE;Biased Intellectual;Very High;cvietnam2;x
700218;Minister of Armament;武元甲 ;34;LE;Military Entrepreneur;Very High;cvietnam7;x
700219;Minister of Security;潘魁 ;30;LE;Man of the People;Very High;cvietnam4;x
700220;Minister of Security;阮海清 ;34;LE;Silent Lawyer;Very High;cvietnam3;x
700221;Chief of Army;黄明草 ;30;LE;Guns and Butter Doctrine;Very high;L542015;x
