ARA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
558001;Head of State;法鲁克一世 ;36;SC;Insignificant Layman;High;M512011;x
558002;Head of Government;穆斯塔法 安-纳哈斯 帕夏 ;36;SC;Flamboyant Tough Guy;High;M512005;x
558003;Foreign Minister;阿里 马希尔 帕夏 ;36;SC;Great Compromiser;High;M512002;x
558004;Minister of Armament;穆罕默德 马哈茂德 帕夏 ;36;SC;Resource Industrialist;High;M512017;x
558005;Minister of Security;罗马科斯 汉纳 帕夏 ;36;SC;Crime Fighter;Medium;M512064;x
558006;Head of Military Intelligence;穆罕默德 希勒米 伊萨 ;36;SC;Dismal Enigma;Medium;M512006;x
558007;Chief of Staff;哈桑 萨布里 帕夏 ;36;SC;School of Defence;Medium;M512007;x
558008;Chief of Army;穆罕默德 纳吉布 ;36;SC;Decisive Battle Doctrine;High;M512088;x
558009;Chief of Navy;阿布达拉 齐瓦尔 帕夏 ;36;SC;Indirect Approach Doctrine;Medium;M512009;x
558010;Chief of Air Force;阿卜杜勒哈米德 苏莱曼 ;36;SC;Air Superiority Doctrine;Medium;M512048;x
558011;Head of State;埃米尔 埃迪 ;36;PA;Pig-headed Isolationist;High;M529001;x
558012;Head of State;H.M. 阿卜杜拉一世 ;36;SD;Autocratic Charmer;High;M556001;x
558013;Head of State;穆罕默德 贝 阿尔-阿比德 ;36;LE;Stern Imperialist;High;M528001;x
558014;Head of Government;凯雷丁 阿尔-阿赫达卜 ;36;PA;Naive Optimist;High;M529006;x
558015;Head of Government;伊斯梅尔 贝 加斯比拉里 ;36;SD;Silent Workhorse;High;M556013;x
558016;Head of Government;舒凯里 阿尔-库韦特利 ;36;LE;Backroom Backstabber;High;M528015;x
558017;Foreign Minister;阿布达拉 阿列夫 阿尔-雅菲 ;36;PA;General Staffer;High;M529003;x
558018;Foreign Minister;萨米尔 阿尔-里法伊 ;36;SD;Apologetic Clerk;High;M556003;x
558019;Foreign Minister;法里斯 阿尔-扈利 ;36;LE;The Cloak N Dagger Schemer;High;M528004;x
558020;Minister of Armament;凯雷丁 阿尔-阿赫达卜 ;36;PA;laissez-faire capitalist;Medium;M529006;x
558021;Minister of Armament;艾哈迈德 卡德里 ;36;SD;Military Entrepreneur;Medium;M556017;x
558022;Minister of Armament;谢克 阿布德 阿尔-阿利姆 塞利姆 ;36;LE;Administrative Genius;Medium;M528030;x
558023;Minister of Security;纳齐姆 马吉达拉尼 ;36;PA;Compassionate Gentleman;Medium;M529039;x
558024;Minister of Security;奥尼 阿卜杜勒 哈迪 ;36;SD;Silent Lawyer;Medium;M556020;x
558025;Minister of Security;法里斯 阿尔-扈利 ;36;LE;Man of the People;Medium;M528004;x
558026;Head of Military Intelligence;凯雷丁 阿尔-阿赫达卜 ;36;PA;Technical Specialist;Medium;M529006;x
558027;Head of Military Intelligence;拉斯特姆 海德尔 ;36;SD;Political Specialist;Medium;M556025;x
558028;Head of Military Intelligence;谢克 穆罕默德 阿尔-高齐 ;36;LE;Industrial Specialist;Medium;M528024;x
558029;Chief of Staff;安托万 哈尔卜 ;36;PA;School of Mass Combat;Medium;M529052;x
558030;Chief of Staff;哈达德 阿尔-瓦利 ;36;SD;School of Psychology;Medium;M556028;x
558031;Chief of Staff;谢克 穆罕默德 阿尔-高齐 ;36;LE;School of Fire Support;Medium;M528024;x
558032;Chief of Army;贾米勒 拉胡德 ;36;PA;Armoured Spearhead Doctrine;Medium;M529055;x
558033;Chief of Army;奈尔 阿尔-加法尔 ;36;SD;Guns and Butter Doctrine;Medium;M556031;x
558034;Chief of Army;阿迪卜 阿尔-施舍克里 ;36;LE;Elastic Defence Doctrine;Medium;M528051;x
558035;Chief of Navy;纳比尔 亚德 ;36;PA;Open Seas Doctrine;Medium;M529059;x
558036;Chief of Navy;希巴赫 阿布德-埃尔 阿迪尔 ;36;SD;Decisive Naval Battle Doctrine;Medium;M556034;x
558037;Chief of Navy;谢克 穆罕默德 阿尔-高齐 ;36;LE;Base Control Doctrine;Medium;M528024;x
558038;Chief of Air Force;苏莱曼 纳乌法伊 ;36;PA;Army Aviation Doctrine;Medium;M529045;x
558039;Chief of Air Force;萨米 阿尔-阿菲兹 ;36;SD;Vertical Envelopment Doctrine;Medium;M556035;x
558040;Chief of Air Force;侯赛因 阿尔-扎伊姆 ;36;LE;Carpet Bombing Doctrine;Medium;M528047;x
