ARG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
35001;Head of State;阿古斯丁 P. 胡斯托 ;36;PA;Resigned Generalissimo;High;M35001;x
35002;Head of Government;阿古斯丁 P. 胡斯托 ;36;PA;Old General;High;M35001;x
35003;Foreign Minister;卡洛斯 萨韦德拉 拉马斯 ;36;PA;The Cloak N Dagger Schemer;High;M35003;x
35004;Minister of Armament;阿尔贝托 许约 ;36;PA;laissez-faire capitalist;High;M35004;x
35005;Minister of Security;拉蒙 卡斯蒂略 ;36;PA;Prince of Terror;Medium;M35005;x
35006;Head of Military Intelligence;乔治 德 拉 托雷 ;36;PA;Industrial Specialist;Medium;M35006;x
35007;Chief of Staff;曼努埃尔 A. 罗德里格斯 ;36;PA;School of Defence;Very High;M35007;x
35008;Chief of Army;曼努埃尔 A. 罗德里格斯 ;36;PA;Decisive Battle Doctrine;Very High;M35007;x
35009;Chief of Navy;佩德罗 S. 卡萨尔 ;36;PA;Base Control Doctrine;Medium;M35009;x
35010;Chief of Air Force;安东尼奥 帕罗迪 ;36;PA;Air Superiority Doctrine;Very High;M35010;x
35031;Head of State;阿古斯丁 P. 胡斯托 ;36;SC;Resigned Generalissimo;High;M35001;x
35032;Head of State;路易斯 波德斯塔 科斯塔 ;38;SC;Benevolent Gentleman;High;M35014;x
35033;Head of State;拉蒙 卡斯蒂略 ;42;PA;Stern Imperialist;High;M35005;x
35034;Head of State;曼努埃尔 马里亚 德 伊里翁多 ;46;SC;Insignificant Layman;High;M35034;x
35035;Head of State;马塞洛 T. 阿尔韦亚尔 ;36;SL;Die-hard Reformer;High;M35035;x
35036;Head of State;罗武斯蒂亚诺 帕特龙 科斯塔斯 ;42;SL;Popular Figurehead;High;M35036;x
35037;Head of State;巴尔达萨雷 巴尔迪 希门尼斯 ;36;SD;Weary Stiffneck;High;M35037;x
35038;Head of State;古斯塔沃 门多萨 柯廷 ;40;SD;Popular Figurehead;High;M35038;x
35039;Head of State;罗伯托 M. 奥尔蒂斯 ;36;PA;Pig-headed Isolationist;High;M35039;x
35040;Head of State;朱利奥 A. 罗卡 ;40;SC;Autocratic Charmer;High;M35040;x
35041;Head of State;埃德尔米罗 法雷尔 ;44;SC;Resigned Generalissimo;High;M35041;x
35042;Head of State;切萨尔 阿梅格希诺 ;44;PA;Autocratic Charmer;High;M35042;x
35043;Head of State;卡洛斯 阿尔贝托 普埃伦东 ;36;FA;Ruthless Powermonger;High;M35011;x
35044;Head of State;胡安 多明戈 佩龙 ;45;LWR;Autocratic Charmer;High;M35021;x
35045;Head of Government;阿古斯丁 P. 胡斯托 ;36;SC;Old General;High;M35001;x
35046;Head of Government;路易斯 波德斯塔 科斯塔 ;38;SC;Backroom Backstabber;High;M35014;x
35047;Head of Government;拉蒙 卡斯蒂略 ;40;PA;Old General;High;M35005;x
35048;Head of Government;曼努埃尔 马里亚 德 伊里翁多 ;46;SC;Silent Workhorse;High;M35034;x
35049;Head of Government;马塞洛 T. 阿尔韦亚尔 ;36;SL;Naive Optimist;High;M35035;x
35050;Head of Government;罗武斯蒂亚诺 帕特龙 科斯塔斯 ;42;SL;Smiling Oilman;High;M35036;x
35051;Head of Government;巴尔达萨雷 巴尔迪 希门尼斯 ;36;SD;Political Protege;High;M35037;x
35052;Head of Government;古斯塔沃 门多萨 柯廷 ;40;SD;Corporate Suit;High;M35038;x
