BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
15001;Head of State;利奥波德三世 ;36;ML;Benevolent Gentleman;NA;M15001;x
15002;Head of Government;保罗 范泽兰 ;36;ML;Silent Workhorse;NA;M15002;x
15003;Foreign Minister;保罗 范泽兰 ;36;ML;Biased Intellectual;Very High;M15002;x
15004;Minister of Armament;阿尔贝 德维泽 ;36;ML;laissez-faire capitalist;Very High;M15004;x
15005;Minister of Security;欧仁 苏丹 ;36;SL;Silent Lawyer;Very High;M15005;x
15006;Head of Military Intelligence;阿尔贝 德维泽 ;36;ML;Political Specialist;Very High;M15004;x
15007;Chief of Staff;奥斯卡 库蒙 ;36;SC;School of Defence;Very High;M15007;x
15008;Chief of Army;维克托 范斯托里东克 德布基尔 ;36;SC;Static Defence Doctrine;Very High;M15008;x
15009;Chief of Navy;G. 廷默曼斯 ;36;SC;Indirect Approach Doctrine;Very High;M15009;x
15010;Chief of Air Force;L.F.E. 伍特斯 ;36;SC;Vertical Envelopment Doctrine;Very High;M15010;x
15030;Head of State;利奥波德三世 ;36;NS;Benevolent Gentleman;NA;M15001;x
15031;Head of State;卡雷尔 ;44;ML;Benevolent Gentleman;NA;M15031;x
15032;Head of State;朱利安 拉豪特 ;45;ST;Ruthless Powermonger;NA;M15024;x
15034;Head of Government;保罗-亨利 斯帕克 ;36;SD;Ambitious Union Boss;NA;M15034;x
15035;Head of Government;莱昂 德格雷尔 ;36;NS;Old General;NA;M15013;x
15036;Head of Government;保罗-艾米勒 扬森 ;37;ML;Silent Workhorse;NA;M15036;x
15037;Head of Government;胡贝尔 皮耶洛 ;38;SC;Naive Optimist;NA;M15037;x
15038;Head of Government;卡米勒 哈斯曼斯 ;39;SD;Happy Amateur;NA;M15038;x
15040;Head of Government;约瑟夫 雅克莫特 ;44;LE;Political Protege;NA;M15020;x
15041;Head of Government;阿希尔 范阿克 ;39;SD;Corporate Suit;NA;M15041;x
15042;Head of Government;加斯东 伊斯更斯 ;45;SC;Corporate Suit;NA;M15042;x
15043;Head of Government;朱利安 拉豪特 ;45;ST;Backroom Backstabber;NA;M15024;x
15044;Foreign Minister;保罗-亨利 斯帕克 ;36;SL;Great Compromiser;Very High;M15034;x
15046;Foreign Minister;莱昂 德格雷尔 ;36;NS;Iron Fisted Brute;Very High;M15013;x
15047;Foreign Minister;路易 德巴洛克 ;37;SD;Ideological Crusader;Very High;M15047;x
15048;Foreign Minister;欧仁 苏丹 ;38;SL;Ideological Crusader;Very High;M15005;x
15049;Foreign Minister;胡贝尔 皮耶洛 ;39;SC;Great Compromiser;Very High;M15037;x
15051;Foreign Minister;朱尔斯 皮雷 ;41;SD;General Staffer;Very High;M15051;x
15052;Foreign Minister;杰夫 范德威勒 ;42;NS;Iron Fisted Brute;Very High;M15011;x
15053;Foreign Minister;埃德加 拉尔曼 ;43;ST;Biased Intellectual;Very High;M15022;x
15054;Foreign Minister;朱利安 拉豪特 ;45;ST;Ideological Crusader;Very High;M15024;x
15055;Foreign Minister;加斯东 伊斯更斯 ;47;SC;Great Compromiser;Very High;M15042;x
15056;Minister of Armament;亨德里克 德曼 ;36;SL;Administrative Genius;Very High;M15056;x
15059;Minister of Armament;卡米勒 古特 ;37;ML;Administrative Genius;Very High;M15059;x
15060;Minister of Armament;莱昂 德格雷尔 ;37;NS;Infantry Proponent;Very High;M15013;x
15061;Minister of Armament;朱尔斯 梅尔洛 ;38;SD;Resource Industrialist;Very High;M15061;x
15062;Minister of Armament;埃曼努埃尔 米彻兹 ;39;ML;Tank Proponent;Very High;M15062;x
15063;Minister of Armament;保罗-亨利 斯帕克 ;39;SD;Resource Industrialist;Very High;M15034;x
15064;Minister of Armament;亨利 德尼 ;40;SC;Infantry Proponent;Very High;M15064;x
15065;Minister of Armament;埃德加 拉尔曼 ;44;LE;Resource Industrialist;Very High;M15022;x
15066;Minister of Armament;加斯东 伊斯更斯 ;40;ML;Administrative Genius;Very High;M15042;x
15067;Minister of Armament;弗朗兹 德沃格尔 ;45;ML;laissez-faire capitalist;Very High;M15067;x
15068;Minister of Armament;马塞尔 沃蒂耶 ;46;ML;laissez-faire capitalist;Very High;M15068;x
15069;Minister of Armament;阿尔贝 德弗里绍尔 ;46;SC;Resource Industrialist;Very High;M15069;x
15070;Minister of Armament;让 杜维萨特 ;47;SC;Administrative Genius;Very High;M15070;x
15071;Minister of Security;阿尔贝 扬森 ;36;SC;Compassionate Gentleman;Very High;M15071;x
15072;Minister of Security;弗朗索瓦 博维塞 ;36;SC;Silent Lawyer;Very High;M15072;x
15073;Minister of Security;保罗 海曼斯 ;36;SL;Compassionate Gentleman;Very High;M15073;x
15075;Minister of Security;保罗 乌维尔克 ;36;NS;Crime Fighter;Very High;M15075;x
15076;Minister of Security;保罗-艾米勒 扬森 ;37;ML;Crime Fighter;Very High;M15036;x
15077;Minister of Security;莱昂 德格雷尔 ;37;NS;Prince of Terror;Very High;M15013;x
15079;Minister of Security;约瑟夫 波利安 ;38;SC;Silent Lawyer;Very High;M15079;x
15081;Minister of Security;亨利 孔特 卡东 德维亚尔 ;39;ML;Crime Fighter;Very High;M15081;x
15083;Minister of Security;朱尔斯 皮雷 ;42;SD;Prince of Terror;Very High;M15051;x
15084;Minister of Security;维克托 德拉维勒耶 ;44;SL;Crime Fighter;Very High;M15084;x
15085;Minister of Security;朱利安 拉豪特 ;44;ST;Prince of Terror;Very High;M15024;x
15086;Minister of Security;阿道夫 范格拉贝克 ;45;SC;Man of the People;Very High;M15086;x
15087;Minister of Security;奥古斯特 布塞雷 ;45;SC;Silent Lawyer;Very High;M15087;x
15088;Minister of Security;夏尔 杜巴斯 德瓦尔纳菲 ;45;SC;Crime Fighter;Very High;M15088;x
