BHU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
74001;Head of State;吉格梅 旺楚克 ;36;PA;Ruthless Powermonger;High;M74001;x
74002;Head of Government;索南 托布加伊 多杰 ;36;PA;Backroom Backstabber;High;M74002;x
74003;Foreign Minister;索南 托布加伊 多杰 ;36;PA;Biased Intellectual;High;M74002;x
74004;Minister of Armament;阿马德 亚哈斯 ;36;PA;Infantry Proponent;Medium;M74004;x
74005;Minister of Security;芒-珀斯 布尔-巴伊 日戈亚尔珀 ;36;PA;Man of the People;Medium;M74005;x
74006;Head of Military Intelligence;雷吉诺德 B. 斯蒂文斯 ;36;PA;Dismal Enigma;Medium;M74006;x
74007;Chief of Staff;兰戈亚尔 巴哈杜尔 ;36;PA;School of Manoeuvre;Medium;M74007;x
74008;Chief of Army;菲利普 托泽伊 ;36;PA;Guns and Butter Doctrine;Medium;M74008;x
74009;Chief of Navy;汤米 古尔德 ;36;PA;Indirect Approach Doctrine;Medium;M74009;x
74010;Chief of Air Force;尼基 巴尔 ;36;PA;Air Superiority Doctrine;Medium;M74010;x
74011;Foreign Minister;巴西尔 古尔德爵士 ;37;PA;Iron Fisted Brute;High;M74011;x
74012;Foreign Minister;兰戈亚尔 巴哈杜尔 ;38;PA;General Staffer;Medium;M74007;x
74013;Foreign Minister;芒-珀斯 布尔-巴伊 日戈亚尔珀 ;39;PA;Ideological Crusader;Medium;M74005;x
74014;Foreign Minister;阿马德 亚哈斯 ;40;PA;The Cloak N Dagger Schemer;Medium;M74004;x
74015;Foreign Minister;威廉 斯蒂文森 梅耶尔 ;41;PA;Apologetic Clerk;Medium;M74015;x
74016;Foreign Minister;阿瑟 约翰 霍普金森 ;45;PA;Great Compromiser;High;M74016;x
74017;Foreign Minister;爱德华 库克 ;45;PA;Biased Intellectual;High;M74017;x
74018;Minister of Armament;威廉 斯蒂文斯on 梅耶尔 ;37;PA;Resource Industrialist;Medium;M74015;x
74019;Minister of Armament;卡尔马 S. 巴哈杜尔 ;38;PA;Military Entrepreneur;Medium;M74019;x
74020;Minister of Armament;索南 托布加伊 多杰 ;39;PA;laissez-faire capitalist;Medium;M74002;x
74021;Minister of Armament;爱德华 库克 ;39;PA;Administrative Genius;High;M74017;x
74022;Minister of Armament;尼基 巴尔 ;40;PA;Air Superiority Proponent;Medium;M74010;x
74023;Minister of Armament;汤米 古尔德 ;41;PA;Submarine Proponent;Medium;M74009;x
74024;Minister of Armament;吉格梅 旺楚克 ;42;PA;Infantry Proponent;Medium;M74001;x
74026;Minister of Armament;比尔 科勒特 ;44;PA;Air to Ground Proponent;Medium;M74026;x
