BLR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
517001;Head of State;亚历山大 G. 车尔弗雅科夫 ;36;LE;Autocratic Charmer;High;M517001;x
517002;Head of Government;阿莱克西 A. 沃尔科夫 ;36;LE;Naive Optimist;High;M517002;x
517003;Foreign Minister;尼科莱伊 I. 古萨罗夫 ;36;LE;Great Compromiser;High;M517003;x
517004;Minister of Armament;亚历山大 奥萨金-弗拉基米尔斯基 ;36;LE;Infantry Proponent;Medium;M517004;x
517005;Minister of Security;尤里 B. 加马尼克 ;36;LE;Prince of Terror;Medium;M517005;x
517006;Head of Military Intelligence;亚日普 洛西克 ;36;LE;Naval Intelligence Specialist;Medium;M517006;x
517007;Chief of Staff;瑟拉费姆 波克罗弗斯基 ;36;LE;School of Psychology;Medium;M517007;x
517008;Chief of Army;帕维尔 波诺马伦科 ;36;LE;Armoured Spearhead Doctrine;Medium;M517008;x
517009;Chief of Navy;瓦勒里克 勒西克 ;36;LE;Indirect Approach Doctrine;Medium;M517009;x
517010;Chief of Air Force;弗拉基米尔一世. 车尔雅科夫 ;36;LE;Carpet Bombing Doctrine;Medium;M517010;x
517011;Head of State;亚日普 洛西克 ;36;SD;Weary Stiffneck;High;M517006;x
517012;Head of State;拉迪恩 苏尔维拉 ;36;SC;Stern Imperialist;High;M517012;x
517013;Head of State;普约特 克雷车乌斯基 ;36;NS;Autocratic Charmer;High;M517013;x
517014;Head of Government;普约特 克雷车乌斯基 ;36;SD;Happy Amateur;High;M517013;x
517015;Head of Government;维勒迪克特 博勃科夫斯基 ;36;SC;Political Protege;High;M517015;x
517016;Head of Government;瓦西尔 扎察尔卡 ;36;NS;Corporate Suit;High;M517016;x
517017;Foreign Minister;卡尔 兰德尔 ;36;LE;Ideological Crusader;High;M517017;x
517018;Foreign Minister;庞特雷蒙 罗日诺夫斯基 ;36;SD;Apologetic Clerk;High;M517018;x
517019;Foreign Minister;普约特 A. 克雷车夫斯基 ;36;SD;Ideological Crusader;High;M517019;x
517020;Foreign Minister;瓦西尔 扎察尔卡 ;36;SC;Great Compromiser;High;M517016;x
517021;Foreign Minister;维尼亚明 诺维茨基 ;36;SC;Apologetic Clerk;High;M517021;x
517022;Foreign Minister;尤里 舒雷维希 ;36;NS;Biased Intellectual;High;M517022;x
517023;Foreign Minister;威廉 库贝 ;36;NS;The Cloak N Dagger Schemer;High;M517023;x
517024;Minister of Armament;瓦西里 F. 沙兰戈维希 ;36;LE;Resource Industrialist;Medium;M517024;x
517025;Minister of Armament;米哈伊 博驰-布鲁维希 ;36;SD;Tank Proponent;Medium;M517025;x
517026;Minister of Armament;米科拉 阿布朗柴克 ;36;SC;Theoretical Scientist;Medium;M517026;x
517027;Minister of Armament;拉迪恩 苏尔维拉 ;36;NS;laissez-faire capitalist;Medium;M517012;x
517028;Minister of Armament;卡尔 兰德尔 ;36;NS;Military Entrepreneur;Medium;M517017;x
517029;Minister of Security;亚历山大一世. 克里维茨基 ;36;LE;Compassionate Gentleman;Medium;M517029;x
517030;Minister of Security;尼科莱伊 F. 基卡洛 ;36;LE;Back Stabber;Medium;M517030;x
