BRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
567001;Head of State;H.H. 帕杜卡 艾哈迈德 穆罕穆德 ;36;SC;Autocratic Charmer;High;M567001;x
567002;Head of Government;保罗 阿姆斯特朗爵士 ;36;SC;Corporate Suit;High;M567002;x
567003;Foreign Minister;胡伯特 奥格勒东 ;36;SC;Iron Fisted Brute;Very High;M567003;x
567004;Minister of Armament;纳瓦纳加尔 兰吉特 ;36;SC;Infantry Proponent;Very High;M567004;x
567005;Minister of Security;大卫 H. 克劳瑟 ;36;SC;Silent Lawyer;Very High;M567005;x
567006;Head of Military Intelligence;西蒙 詹金逊 ;36;SC;Dismal Enigma;Very High;M567006;x
567007;Chief of Staff;H.R.H. 奥马尔 阿里 萨利夫 ;36;SC;School of Psychology;Very High;M567007;x
567008;Chief of Army;H.L. 亨德森 ;36;SC;Decisive Battle Doctrine;Very High;M567008;x
567009;Chief of Navy;R.M.C. 阿兰特 ;36;SC;Indirect Approach Doctrine;Very High;M567009;x
567010;Chief of Air Force;H.H. 多恩 ;36;SC;Air Superiority Doctrine;Very High;M567010;x
567011;Head of State;H.H. 拉吉皮普拉的 维贾亚欣吉 ;36;FA;Popular Figurehead;High;M567011;x
567012;Head of Government;默罕穆德 图图 ;36;FA;Political Protege;High;M567012;x
567013;Foreign Minister;西奥尔 卡拉 诺代 ;36;FA;Ideological Crusader;Very High;M567013;x
567014;Foreign Minister;艾哈迈德 卡马鲁尔 ;45;SC;General Staffer;Very High;M567014;x
567015;Minister of Armament;阿里 恩扬 ;36;FA;Air to Ground Proponent;Very High;M567015;x
567016;Minister of Armament;帕杜卡 哈吉 阿里 ;42;SC;laissez-faire capitalist;Very High;M567016;x
567017;Minister of Security;萨辛 易卜拉欣 雅库特 ;36;FA;Man of the People;Very High;M567017;x
567018;Minister of Security;阿卜达勒赫 拉兹克 ;45;SC;Prince of Terror;Very High;M567018;x
567019;Head of Military Intelligence;普杜克 马尔汤达 ;36;FA;Industrial Specialist;Very High;M567019;x
567020;Head of Military Intelligence;纳比尔 马塞胡尔 ;43;SC;Logistics Specialist;Very High;M567020;x
567021;Chief of Staff;伊什梅尔 塔拉纳古尔 ;36;FA;School of Defence;Very High;M567021;x
567022;Chief of Staff;阿卜杜拉赫 拉塔克 ;44;SC;School of Mass Combat;Very High;M567022;x
567023;Chief of Army;拉马 瓦尔马四世 ;36;FA;Static Defence Doctrine;Very High;M567023;x
567024;Chief of Army;H.R.H. 奥马尔 阿里 萨利夫 ;44;SC;Armoured Spearhead Doctrine;Very High;M567007;x
567025;Chief of Navy;拉马 瓦尔马四世 ;36;FA;Base Control Doctrine;Very High;M567023;x
567026;Chief of Navy;德瓦纳贾尔 辛格 ;44;SC;Open Seas Doctrine;Very High;M567026;x
567027;Chief of Air Force;伊什梅尔 塔拉纳古尔 ;36;FA;Vertical Envelopment Doctrine;Very High;M567021;x
567028;Chief of Air Force;C.S. 奥迭 ;41;SC;Naval Aviation Doctrine;Very High;M567028;x
567029;Chief of Air Force;唐纳 埃姆克 ;45;SC;Army Aviation Doctrine;Very High;M567029;x
567030;Head of State;奥马尔 阿里 海伊里 ;50;SC;Benevolent Gentleman;High;M567030;x
567031;Head of Government;奥马尔 阿里 海伊里 ;47;SC;Smiling Oilman;High;M567030;x
