BUL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
19001;Head of State;鲍里斯三世 ;36;PA;Tsar Unifier;High;M19001;x
19002;Head of Government;格奥尔基 吉奥塞瓦诺夫 ;36;PA;Backroom Backstabber;High;M19002;x
19003;Foreign Minister;格奥尔基 吉奥塞瓦诺夫 ;36;PA;Biased Intellectual;High;M19002;x
19004;Minister of Armament;基里尔 高内夫 ;36;PA;Administrative Genius;Medium;M19004;x
19005;Minister of Security;格奥尔基 萨波夫 ;36;PA;Crime Fighter;Low;M19005;x
19006;Head of Military Intelligence;迪米塔尔 佩舍夫 ;36;PA;Dismal Enigma;Medium;M19006;x
19007;Chief of Staff;赫里斯托 卢科夫 ;36;PA;School of Defence;Low;M19007;x
19008;Chief of Army;托多尔 格奥尔基耶夫 ;36;PA;Static Defence Doctrine;Medium;M19008;x
19009;Chief of Navy;萨瓦 伊万诺夫 ;36;PA;Open Seas Doctrine;Medium;M19009;x
19010;Chief of Air Force;瓦西尔 博伊德夫 ;36;PA;Air Superiority Doctrine;Medium;M19010;x
19042;Head of State;基里尔 德普雷斯拉夫 ;43;PA;Stern Imperialist;High;M19042;x
19043;Head of State;鲍里斯三世 ;39;NS;Tsar Unifier;High;M19001;x
19044;Head of State;阿历山杜尔 詹科夫 ;43;NS;Barking Buffoon;High;M19021;x
19045;Head of State;鲍里斯三世 ;39;SC;Tsar Unifier;High;M19001;x
19046;Head of State;基里尔 德普雷斯拉夫 ;43;SC;Stern Imperialist;High;M19042;x
19047;Head of State;尼科拉 佩特科夫 ;45;SC;Die-hard Reformer;High;M19047;x
19048;Head of State;基里尔 德普雷斯拉夫 ;44;LWR;Stern Imperialist;High;M19042;x
19049;Head of State;康拉德 鲍里斯 科堡 ;39;ST;Autocratic Charmer;High;M19001;x
19050;Head of State;格奥尔基 迪米特罗夫 ;43;ST;Powerhungry Demagogue;High;M19032;x
19051;Head of State;瓦西尔 科拉罗夫 ;45;ST;Weary Stiffneck;High;M19031;x
19052;Head of Government;博格丹 菲洛夫 ;39;PA;Political Protege;High;M19024;x
19053;Head of Government;多布里 博季洛夫 ;43;PA;Corporate Suit;High;M19053;x
19054;Head of Government;伊万 巴戈里亚诺夫 ;44;PA;Old General;High;M19054;x
19055;Head of Government;阿历山杜尔 詹科夫 ;39;NS;Backroom Backstabber;High;M19021;x
19056;Head of Government;彼得 加布罗夫斯基 ;43;PA;Naive Optimist;High;M19022;x
19057;Head of Government;康斯坦丁 穆拉维耶夫 ;39;SC;Happy Amateur;High;M19012;x
19058;Head of Government;尼科拉 佩特科夫 ;44;SC;Flamboyant Tough Guy;High;M19047;x
19059;Head of Government;基蒙 格奥尔基耶夫 ;44;LWR;Naive Optimist;High;M19059;x
19060;Head of Government;格奥尔基 迪米特罗夫 ;39;ST;Political Protege;High;M19032;x
19061;Foreign Minister;伊万 波波夫 ;39;PA;Biased Intellectual;Medium;M19061;x
19062;Foreign Minister;亚历山大 尼古拉耶夫 ;39;PA;Ideological Crusader;Medium;M19062;x
19063;Foreign Minister;博格丹 菲洛夫 ;42;PA;Biased Intellectual;Medium;M19024;x
19064;Foreign Minister;迪米塔尔 施什马诺夫 ;43;PA;The Cloak N Dagger Schemer;Medium;M19064;x
19065;Foreign Minister;伊万 巴戈里亚诺夫 ;44;PA;Iron Fisted Brute;Medium;M19054;x
