CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
44001;Head of State;阿图洛 亚历山德利 帕尔玛 ;36;SL;Stern Imperialist;High;M44001;x
44002;Head of Government;古斯塔夫 罗斯 山达 马利亚 ;36;SL;Naive Optimist;High;M44002;x
44003;Foreign Minister;米奎尔 库鲁查加 塔库马尔 ;36;SL;Iron Fisted Brute;Medium;M44003;x
44004;Minister of Armament;埃杜瓦多 希尔曼 ;36;SL;Resource Industrialist;High;M44004;x
44005;Minister of Security;阿图洛 亚历山德利 帕尔玛 ;36;SL;Compassionate Gentleman;Medium;M44001;x
44006;Head of Military Intelligence;朱利奥 阿拉德 平托 ;36;SL;Naval Intelligence Specialist;Medium;M44006;x
44007;Chief of Staff;C.J. 德 拉 莫特 ;36;SL;School of Fire Support;Medium;M44007;x
44008;Chief of Army;E. 诺瓦 弗恩特斯 ;36;SL;Static Defence Doctrine;Medium;M44008;x
44009;Chief of Navy;C.J. 德 拉 莫特 ;36;SL;Open Seas Doctrine;Medium;M44007;x
44010;Chief of Air Force;达利奥 穆吉卡 卡姆巴 ;36;SL;Air Superiority Doctrine;Medium;M44010;x
44031;Head of State;裴多 阿古埃尔 瑟达 ;38;SD;Benevolent Gentleman;High;M44031;x
44032;Head of State;安东尼奥 J. 李奥斯 莫莱斯 ;42;SD;Weary Stiffneck;High;M44032;x
44033;Head of State;贾比亚 贡扎尔茨 韦德拉 ;46;SD;Popular Figurehead;High;M44033;x
44035;Head of State;卡罗斯 伊班内茨 德尔 坎珀 ;46;SC;Resigned Generalissimo;High;M44035;x
44036;Head of State;卡罗斯 伊班内茨 德尔 坎珀 ;42;PA;Resigned Generalissimo;High;M44035;x
44037;Head of State;J.G. 冯 马勒 ;38;FA;Autocratic Charmer;High;M44011;x
44038;Head of State;玛玛杜克 古洛夫 ;38;LE;Barking Buffoon;High;M44021;x
44039;Head of State;萨尔维多 阿兰德 ;45;LWR;Die-hard Reformer;High;M44039;x
44040;Head of Government;裴多 阿古埃尔 瑟达 ;38;SD;Political Protege;High;M44031;x
44041;Head of Government;安东尼奥 J. 李奥斯 莫莱斯 ;42;SD;Flamboyant Tough Guy;High;M44032;x
44042;Head of Government;贾比亚 贡扎尔茨 韦德拉 ;46;SD;Backroom Backstabber;High;M44033;x
44043;Head of Government;阿图洛 亚历山德利 帕尔玛 ;37;SL;Smiling Oilman;High;M44001;x
44044;Head of Government;古斯塔夫 罗斯 山达 马利亚 ;38;SC;Naive Optimist;High;M44002;x
44045;Head of Government;曼努埃尔 莫拉 米兰德 ;42;SC;Happy Amateur;High;M44045;x
44046;Head of Government;卡罗斯 伊班内茨 德尔 坎珀 ;42;PA;Old General;High;M44035;x
44047;Head of Government;米塞尔 加勒古洛斯 ;38;FA;Ambitious Union Boss;High;M44012;x
44048;Head of Government;C.L. 布雷斯特 李弗 ;38;LE;Old Admiral;High;M44022;x
44049;Head of Government;玛玛杜克 古洛夫 ;42;LE;old airmarshal;High;M44021;x
44050;Head of Government;萨尔维多 阿兰德 ;45;LWR;Naive Optimist;NA;M44039;x
