COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
37001;Head of State;阿方索 李奥斯 普马尔乔 ;36;SD;Weary Stiffneck;High;M37001;x
37002;Head of Government;阿方索 李奥斯 普马尔乔 ;36;SD;Silent Workhorse;High;M37001;x
37003;Foreign Minister;欧内斯托 贡扎尔茨 皮德拉希塔 ;36;SD;Ideological Crusader;Medium;M37003;x
37004;Minister of Armament;贝尼托 赫尔南德茨 ;36;SD;Corrupt Kleptocrat;Medium;M37004;x
37005;Minister of Security;乔杰 罗阿 马丁内斯 ;36;SD;Compassionate Gentleman;Medium;M37005;x
37006;Head of Military Intelligence;菲尔南多 伦德诺 伦德诺 ;36;SD;Industrial Specialist;Medium;M37006;x
37007;Chief of Staff;乔杰 梅卡多 塞彻茨 ;36;SD;School of Defence;Medium;M37007;x
37008;Chief of Army;爱德瓦多 珀勒尔 伊斯库巴 ;36;SD;Elastic Defence Doctrine;Medium;M37008;x
37009;Chief of Navy;陆伊斯 阿瑟维多 ;36;SD;Decisive Naval Battle Doctrine;Medium;M37009;x
37010;Chief of Air Force;杰尔曼 欧兰诺 ;36;SD;Air Superiority Doctrine;Medium;M37010;x
37032;Head of State;爱德瓦多 桑托斯 蒙特约 ;38;SL;Autocratic Charmer;High;M37032;x
37033;Head of State;阿尔伯托 勒拉斯 卡马格 ;42;SL;Insignificant Layman;High;M37033;x
37034;Head of State;加布莱尔 图巴 阿亚拉 ;46;SL;Benevolent Gentleman;High;M37034;x
37035;Head of State;乔奎因 菲尔南德兹 ;38;SC;Popular Figurehead;High;M37035;x
37036;Head of State;卡罗斯 阿兰格 维尔茨 ;42;SC;Stern Imperialist;High;M37036;x
37037;Head of State;乔杰 爱立瑟 古坦 ;45;SC;Popular Figurehead;High;M37037;x
37038;Head of State;马李安诺 欧斯皮纳 皮尔茨 ;46;ML;Barking Buffoon;High;M37038;x
37039;Head of State;朱利奥 瓦德茨 ;38;FA;Resigned Generalissimo;High;M37011;x
37040;Head of State;古斯塔夫 罗杰斯 皮尼拉 ;45;PA;Resigned Generalissimo;High;M37040;x
37041;Head of State;奎拉斯塔 瑟劳 ;38;LE;Pig-headed Isolationist;High;M37021;x
37042;Head of State;乔杰 爱立瑟 古坦 ;46;LWR;Popular Figurehead;High;M37037;x
37044;Head of Government;卡罗斯 罗扎诺 罗扎诺 ;38;SD;Smiling Oilman;High;M37044;x
37045;Head of Government;达尔 伊卡汉德 ;43;SD;Happy Amateur;High;M37045;x
37046;Head of Government;爱德瓦多 桑托斯 蒙特约 ;38;SL;Flamboyant Tough Guy;High;M37032;x
37047;Head of Government;阿尔伯托 勒拉斯 卡马格 ;42;SL;Political Protege;High;M37033;x
37048;Head of Government;加布莱尔 图巴 阿亚拉 ;46;SL;Ambitious Union Boss;High;M37034;x
37049;Head of Government;乔奎因 菲尔南德兹 ;38;SC;Corporate Suit;High;M37035;x
37050;Head of Government;卡罗斯 阿兰格 维尔茨 ;42;SC;Silent Workhorse;High;M37036;x
37051;Head of Government;乔杰 爱立瑟 古坦 ;45;SC;Naive Optimist;High;M37037;x
37052;Head of Government;马李安诺 欧斯皮纳 皮尔茨 ;46;SC;Happy Amateur;High;M37038;x
37053;Head of Government;朱利奥 瓦德茨 ;38;FA;Old General;High;M37011;x
37054;Head of Government;鲁本 皮德拉希塔 阿兰格 ;45;PA;Old General;High;M37017;x
37055;Head of Government;奎拉斯塔 瑟劳 ;38;LE;Backroom Backstabber;High;M37021;x
37056;Head of Government;乔杰 爱立瑟 古坦 ;46;LWR;Naive Optimist;High;M37037;x
37057;Foreign Minister;乔杰 索托 德尔 库拉尔 ;36;SD;The Cloak N Dagger Schemer;Medium;M37057;x
37058;Foreign Minister;加布莱尔 图巴 阿亚拉 ;37;SD;Iron Fisted Brute;Medium;M37034;x
37059;Foreign Minister;卡罗斯 罗扎诺 罗扎诺 ;42;SD;Great Compromiser;High;M37044;x
37060;Foreign Minister;阿尔伯托 勒拉斯 卡马格 ;44;SD;Biased Intellectual;Medium;M37033;x
37061;Foreign Minister;陆伊斯 李奥斯 德 梅萨 ;38;SL;Ideological Crusader;Medium;M37061;x
37062;Foreign Minister;恩里克 欧拉亚 赫勒拉 ;40;SL;Apologetic Clerk;Medium;M37062;x
37063;Foreign Minister;菲尔南多 伦德诺 伦德诺 ;43;SL;General Staffer;Medium;M37006;x
37064;Foreign Minister;爱德瓦多 祖勒他 卡斯蒂洛 ;46;SL;Great Compromiser;Medium;M37064;x
37065;Foreign Minister;安东尼奥 约瑟 雷斯图普 ;38;SC;General Staffer;Medium;M37065;x
37066;Foreign Minister;罗贝托 乌丹纳塔 阿尔贝茨 ;42;SC;Apologetic Clerk;High;M37066;x
37067;Foreign Minister;劳里诺 古尔茨 卡斯特罗 ;44;SC;The Cloak N Dagger Schemer;High;M37067;x
37068;Foreign Minister;弗朗西斯科 乌玛纳 伯纳 ;46;SC;Biased Intellectual;High;M37068;x
37069;Foreign Minister;马勒茨 罗德利格斯 罗丹 ;38;FA;Biased Intellectual;Medium;M37013;x
37070;Foreign Minister;爱德瓦多 伯勒尔 伊斯库巴 ;39;PA;General Staffer;Medium;M37008;x
37071;Foreign Minister;巴多梅罗 萨尼恩 卡尔 ;45;PA;Iron Fisted Brute;Medium;M37071;x
37073;Minister of Armament;古尔加罗 欧布勒贡 ;37;SD;Tank Proponent;Medium;M37073;x
37074;Minister of Armament;阿莱因 阿戴拉 阿里阿加 ;42;SD;Resource Industrialist;High;M37074;x
37075;Minister of Armament;阿方索 罗普 普马尔乔 ;37;SD;Infantry Proponent;Medium;M37001;x
37076;Minister of Armament;弗朗西斯科 阿贝里 扎莫兰诺 ;44;SD;laissez-faire capitalist;Medium;M37076;x
37077;Minister of Armament;胡伯托 齐卡 平佐 ;38;SL;Theoretical Scientist;Medium;M37077;x
37078;Minister of Armament;卡米洛 达扎 阿尔瓦勒茨 ;40;SL;Air Superiority Proponent;Medium;M37078;x
37079;Minister of Armament;阿勒加多 加尔韦斯 ;42;SL;Corrupt Kleptocrat;Medium;M37079;x
37080;Minister of Armament;普里尼奥 门多扎 ;45;SL;Corrupt Kleptocrat;Medium;M37080;x
37081;Minister of Armament;马里希奥 索托 戈麦斯 ;46;SL;Submarine Proponent;Medium;M37081;x
37082;Minister of Armament;阿尔伯托 纳里安 查恩 ;38;SC;Air to Sea Proponent;Medium;M37082;x
37083;Minister of Armament;威廉 马丁 皮尔茨 ;39;SC;Tank Proponent;Medium;M37083;x
37084;Minister of Armament;乔奎因 菲尔南德兹 ;42;SC;Resource Industrialist;Medium;M37035;x
37085;Minister of Armament;马李安诺 欧斯皮纳 皮尔茨 ;44;SC;Military Entrepreneur;Medium;M37038;x
37086;Minister of Armament;卡罗斯 阿兰格 维尔茨 ;43;SC;Battle Fleet Proponent;High;M37036;x
37087;Minister of Armament;卡米洛 欧斯皮纳 伯纳 ;46;SC;Resource Industrialist;High;M37087;x
37088;Minister of Armament;安东尼奥 阿瑟维多 伊斯库巴 ;38;FA;Corrupt Kleptocrat;Medium;M37014;x
37089;Minister of Armament;朱利奥 瓦德茨 ;47;PA;Theoretical Scientist;Medium;M37011;x
37090;Minister of Armament;乔杰 罗阿 马丁内斯 ;38;LWR;Infantry Proponent;Medium;M37005;x
37091;Minister of Armament;加布莱尔 昆坦尼拉 莫拉斯 ;46;LWR;Battle Fleet Proponent;Medium;M37029;x
37092;Minister of Armament;卡罗斯 罗扎诺 罗扎诺 ;47;LWR;laissez-faire capitalist;High;M37044;x
37093;Minister of Security;拉菲尔 吉拉多 瓦格斯 ;42;SD;Crooked Kleptocrat;Medium;M37093;x
37094;Minister of Security;拉菲尔 霍尔曼 ;43;SD;Compassionate Gentleman;Medium;M37094;x
37095;Minister of Security;阿尔伯托 勒拉斯 卡马格 ;39;SD;Silent Lawyer;High;M37033;x
37096;Minister of Security;弗朗西斯科 约瑟 乌尔提亚 ;38;SL;Man of the People;Medium;M37096;x
37098;Minister of Security;贝尼托 赫尔南德茨 ;42;SL;Back Stabber;Medium;M37004;x
