COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
47001;Head of State;罗姆尔多 杰恩内斯 奥勒姆利奥 ;36;SL;Ruthless Powermonger;High;M47001;x
47002;Head of Government;里昂 库特斯 卡斯特罗 ;36;SL;Political Protege;NA;M47002;x
47003;Foreign Minister;拉尔 古登 ;36;SL;General Staffer;Medium;M47003;x
47004;Minister of Armament;朱利奥 阿库斯塔 加西亚 ;36;SL;Military Entrepreneur;Medium;M47004;x
47005;Minister of Security;维克多 萨纳比亚 马丁 ;36;SL;Efficient Sociopath;Very High;M47005;x
47006;Head of Military Intelligence;费德利库 提诺库 ;36;SL;Industrial Specialist;Medium;M47006;x
47007;Chief of Staff;费德利库 提诺库 ;36;SL;School of Defence;Medium;M47006;x
47008;Chief of Army;费德利库 提诺库 ;36;SL;Static Defence Doctrine;Medium;M47006;x
47009;Chief of Navy;罗贝托 杰罗茨 卡普西诺 ;36;SL;Open Seas Doctrine;Medium;M47009;x
47010;Chief of Air Force;东 阿纳尔多 扎莫拉 ;36;SL;Army Aviation Doctrine;Medium;M47010;x
47031;Head of State;奥提里奥 乌莱特 ;44;SD;Benevolent Gentleman;High;M47031;x
47032;Head of State;里昂 库特斯 卡斯特罗 ;36;SL;Autocratic Charmer;High;M47002;x
47033;Head of State;托比亚茨 扎伊加 门塔纳 ;40;SL;Stern Imperialist;High;M47033;x
47034;Head of State;阿勒加多 德 卡斯特罗 洛佩兹 ;44;SL;Barking Buffoon;High;M47034;x
47035;Head of State;奥托 库特斯 菲尔南德茨 ;36;SC;Insignificant Layman;High;M47035;x
47036;Head of State;拉菲尔 卡德尔隆 古德亚 ;40;SC;Barking Buffoon;High;M47036;x
47037;Head of State;提多洛 皮卡多 密查尔斯基 ;44;SC;Resigned Generalissimo;High;M47037;x
47038;Head of State;罗姆尔多 皮诺 洛加 ;36;FA;Resigned Generalissimo;High;M47011;x
47039;Head of State;曼努埃尔 莫拉 沃尔维德 ;40;LE;Insignificant Layman;High;M47021;x
47040;Head of State;伊萨利诺 德 希尔瓦 隆德利斯 ;47;LWR;Autocratic Charmer;High;M47040;x
47041;Head of Government;约瑟 费古尔斯 菲勒 ;44;SD;Political Protege;High;M47041;x
47042;Head of Government;托比亚茨 扎伊加 门塔纳 ;36;SL;Ambitious Union Boss;High;M47033;x
47043;Head of Government;阿勒加多 德 卡斯特罗  洛佩兹 ;44;SL;Happy Amateur;High;M47034;x
47044;Head of Government;阿多尔佛 乌莱比 卡斯特罗 ;36;SC;Smiling Oilman;High;M47044;x
47045;Head of Government;提多洛 皮卡多 密查尔斯基 ;40;SC;Old General;High;M47037;x
47046;Head of Government;拉菲尔 卡德尔隆  古德亚 ;44;SC;Flamboyant Tough Guy;High;M47046;x
47047;Head of Government;奥托 库特斯 菲尔南德茨 ;44;SC;Silent Workhorse;High;M47035;x
47048;Head of Government;罗姆尔多 皮诺 洛加 ;36;PA;Old General;High;M47011;x
47049;Head of Government;曼努埃尔 莫拉 沃尔维德 ;40;LE;Happy Amateur;High;M47021;x
