CSA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
573001;Head of State;厄尔 坎普斯 朗 ;36;SC;Popular Figurehead;High;M573001;x
573002;Head of Government;李查德 韦伯斯特 勒彻 ;36;SC;Naive Optimist;High;M573002;x
573003;Foreign Minister;兰索姆 贾德 威廉姆斯 ;36;SC;Apologetic Clerk;High;M573003;x
573004;Minister of Armament;斯佩萨德 林德赛 霍兰德 ;36;SC;Air Superiority Proponent;Medium;M573004;x
573005;Minister of Security;保罗 布内 约翰逊 ;36;SC;Silent Lawyer;Medium;M573005;x
573006;Head of Military Intelligence;罗伯特 G. 查理 ;36;SC;Industrial Specialist;Medium;M573006;x
573007;Chief of Staff;威廉 S. 加韦斯 ;36;SC;School of Mass Combat;Medium;M573007;x
573008;Chief of Army;亨利 乔内特 ;36;SC;Elastic Defence Doctrine;Medium;M573008;x
573009;Chief of Navy;爱德华 I. 波恩 ;36;SC;Indirect Approach Doctrine;Medium;M573009;x
573010;Chief of Air Force;肯内斯 沃克 ;36;SC;Army Aviation Doctrine;Medium;M573010;x
573011;Foreign Minister;萨姆 休斯敦 琼斯 ;41;SC;The Cloak N Dagger Schemer;High;M573011;x
573012;Foreign Minister;卡里德 罗拉克 霍伊 ;42;SC;Biased Intellectual;High;M573012;x
573013;Foreign Minister;乌杰内 塔尔马杰 ;42;SC;Iron Fisted Brute;High;M573013;x
573014;Foreign Minister;约翰 C.B. 俄因霍斯 ;43;SC;General Staffer;High;M573014;x
573015;Foreign Minister;詹姆斯 休斯敦 达维斯 ;45;SC;Ideological Crusader;High;M573015;x
573016;Foreign Minister;查恩斯 斯帕克斯 ;45;SC;Great Compromiser;High;M573016;x
573017;Minister of Armament;哈里 希尔 麦克马里斯特 ;37;SC;Infantry Proponent;Medium;M573017;x
573018;Minister of Armament;戴维 毕比 加韦斯 ;37;SC;laissez-faire capitalist;Medium;M573018;x
573019;Minister of Armament;卡尔 巴莱 ;38;SC;Strategic Air Proponent;Medium;M573019;x
573020;Minister of Armament;朱尼斯 M. 福特尔 ;39;SC;Resource Industrialist;Medium;M573020;x
573021;Minister of Armament;库加特 W. 小达登 ;40;SC;Administrative Genius;Medium;M573021;x
573022;Minister of Armament;伯内特 希特 梅班克 ;40;SC;Air to Ground Proponent;Medium;M573022;x
573023;Minister of Armament;弗雷德利克 普莱斯顿 科恩 ;41;SC;Air to Sea Proponent;Medium;M573023;x
573024;Minister of Armament;吉姆 南斯 马科库德 ;42;SC;Military Entrepreneur;Medium;M573024;x
573025;Minister of Armament;欧林 德维特 约翰斯顿 ;43;SC;Tank Proponent;Medium;M573025;x
573026;Minister of Armament;阿尔伯特 B. 钱德勒 ;45;SC;Battle Fleet Proponent;Medium;M573026;x
573027;Minister of Armament;戴维 朔尔茨 ;46;SC;Submarine Proponent;Medium;M573027;x
573028;Minister of Security;弗兰克 穆雷 迪克逊 ;38;SC;Back Stabber;Medium;M573028;x
573029;Minister of Security;詹姆斯 H. 普莱斯 ;39;SC;Prince of Terror;Medium;M573029;x
573030;Minister of Security;普伦特斯 库珀 ;41;SC;Crime Fighter;Medium;M573030;x
573031;Minister of Security;米兰德 菲尔莫 小克劳德维尔 ;43;SC;Man of the People;Medium;M573031;x
573032;Minister of Security;罗伊德 克鲁 斯塔科 ;43;SC;Efficient Sociopath;Medium;M573032;x
573033;Minister of Security;约瑟夫 梅利维尔 波尔顿 ;44;SC;Compassionate Gentleman;Medium;M573033;x
573034;Minister of Security;福厄斯特 C. 唐纳尔 ;45;SC;Crooked Kleptocrat;Medium;M573034;x
573035;Head of Military Intelligence;伊利斯 迪金森 李维斯 ;38;SC;Political Specialist;Medium;M573035;x
573036;Head of Military Intelligence;古伊 布尔斯菲尔德 帕克 ;40;SC;Dismal Enigma;Medium;M573036;x
573037;Head of Military Intelligence;古登 维瓦 布朗宁 ;42;SC;Logistics Specialist;Medium;M573037;x
573038;Head of Military Intelligence;本杰明 塔维斯 朗尼 ;44;SC;Naval Intelligence Specialist;Medium;M573038;x
573039;Head of Military Intelligence;霍莫尔 M. 阿德金斯 ;45;SC;Technical Specialist;Medium;M573039;x
573040;Chief of Staff;丹尼斯 J. 穆菲尔 ;38;SC;School of Psychology;Medium;M573040;x
573041;Chief of Staff;罗斯库 穆雷 ;40;SC;School of Fire Support;Medium;M573041;x
573042;Chief of Staff;威廉 W. 奥斯丁 ;44;SC;School of Manoeuvre;Medium;M573042;x
573043;Chief of Army;约翰 普林 ;40;SC;Decisive Battle Doctrine;Medium;M573043;x
573044;Chief of Army;菲尔丁 刘易斯 怀特 ;41;SC;Guns and Butter Doctrine;Medium;M573044;x
573045;Chief of Army;约翰 J. 威廉姆斯 ;43;SC;Armoured Spearhead Doctrine;Medium;M573045;x
573046;Chief of Navy;哈罗德 伊斯色特 ;40;SC;Open Seas Doctrine;Medium;M573046;x
573047;Chief of Navy;塞蒙 斯拉文斯 韦利斯 ;41;SC;Base Control Doctrine;Medium;M573047;x
573048;Chief of Navy;李查德 帕沃斯 ;42;SC;Power Projection Doctrine;Medium;M573048;x
573049;Chief of Air Force;菲利浦 阿德利 ;40;SC;Carpet Bombing Doctrine;Medium;M573049;x
573050;Chief of Air Force;托马斯 劳力 巴雷 ;41;SC;Vertical Envelopment Doctrine;Medium;M573050;x
573051;Chief of Air Force;约翰 法尔肯巴里 ;43;SC;Air Superiority Doctrine;Medium;M573051;x
