CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
24001;Head of State;艾杜瓦德 伯恩斯 ;36;ML;Pig-headed Isolationist;High;M24001;x
24002;Head of Government;米兰 霍扎 ;36;ML;Naive Optimist;High;M24002;x
24003;Foreign Minister;艾杜瓦德 伯恩斯 ;36;ML;Biased Intellectual;High;M24001;x
24004;Minister of Armament;约瑟夫 卡尔夫斯 ;36;ML;Resource Industrialist;High;M24004;x
24005;Minister of Security;伊凡 迪勒 ;36;ML;Man of the People;Medium;M24005;x
24006;Head of Military Intelligence;弗兰提斯科 马科恩 ;36;ML;Logistics Specialist;Very High;M24006;x
24007;Chief of Staff;弗兰提斯科 马科恩 ;36;ML;School of Defence;Very High;M24006;x
24008;Chief of Army;路德维克 克鲁奇 ;36;ML;static defence doctrine;Medium;M24008;x
24009;Chief of Navy;安东尼 哈赛尔 ;36;ML;Indirect Approach Doctrine;Medium;M24009;x
24010;Chief of Air Force;伊米利 简诺斯卡 ;36;ML;Army Aviation Doctrine;Medium;M24010;x
24031;Head of State;伊米利 哈尔哈 ;38;ML;Insignificant Layman;High;M24031;x
24033;Head of State;艾杜瓦德 伯恩斯 ;45;ST;Pig-headed Isolationist;High;M24001;x
24034;Head of State;简 斯洛夫 ;36;PA;Resigned Generalissimo;High;M24034;x
24035;Head of State;斯蒂凡 奥苏斯基 ;45;SC;Weary Stiffneck;High;M24035;x
24036;Head of State;孔拉德 亨赖因 ;36;NS;Insignificant Layman;High;M24013;x
24037;Head of State;约翰恩 舒维因 冯 库罗斯科 ;39;NS;Benevolent Gentleman;High;M24037;x
24038;Head of State;库特 卡鲁杰 ;41;NS;Ruthless Powermonger;High;M24038;x
24039;Head of State;卡尔 赫曼 弗兰克 ;43;NS;Powerhungry Demagogue;High;M24011;x
24040;Head of State;阿洛伊斯 伊利阿斯 ;45;NS;Resigned Generalissimo;High;M24040;x
24041;Head of State;伊利阿斯 库恩 ;36;ST;Die-hard Reformer;High;M24041;x
24042;Head of State;克莱门特 古特瓦德 ;41;ST;Barking Buffoon;High;M24021;x
24044;Head of Government;吉尔 萨利克 ;39;ML;Ambitious Union Boss;High;M24044;x
24045;Head of Government;简 斯洛夫 ;36;SC;Old General;High;M24034;x
