DEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
16001;Head of State;克里斯蒂安十世 ;36;SD;Weary Stiffneck;High;M16001;x
16002;Head of Government;索瓦尔德 斯陶宁 ;36;SD;Ambitious Union Boss;High;M16002;x
16003;Foreign Minister;彼得 孟奇 ;36;SL;Apologetic Clerk;Medium;M16003;x
16004;Minister of Armament;阿尔辛 安德森 ;36;SD;laissez-faire capitalist;High;M16004;x
16005;Minister of Security;卡尔 克里斯蒂安 斯坦科 ;36;SD;Silent Lawyer;High;M16005;x
16006;Head of Military Intelligence;埃里克 梅兹 ;36;SL;Logistics Specialist;High;M16006;x
16007;Chief of Staff;威廉 W·普莱尔 ;36;SL;School of Defence;Medium;M16007;x
16008;Chief of Army;埃里克 维斯 ;36;SD;Static Defence Doctrine;High;M16008;x
16009;Chief of Navy;哈杰尔马 瑞奇尼泽 ;36;SD;Indirect Approach Doctrine;High;M16009;x
16010;Chief of Air Force;K·W·艾瑟曼 ;36;SL;Army Aviation Doctrine;Very High;M16010;x
16034;Head of State;克里斯蒂安十世 ;43;PA;Weary Stiffneck;High;M16001;x
16036;Head of State;弗里茨 克劳森 ;38;FA;Insignificant Layman;High;M16011;x
16037;Head of State;阿克塞尔 拉尔森 ;38;ST;Powerhungry Demagogue;High;M16021;x
16039;Head of Government;维尔海姆 布尔 ;42;SD;Flamboyant Tough Guy;High;M16039;x
16040;Head of Government;埃里克 斯卡维尼斯 ;42;SL;Silent Workhorse;High;M16040;x
16041;Head of Government;克里斯玛斯  莫勒 ;36;SC;Happy Amateur;High;M16041;x
16042;Head of Government;奥莱 比约恩 克拉夫特 ;42;SC;Smiling Oilman;High;M16042;x
16043;Head of Government;克努德 克里斯滕森 ;45;ML;Political Protege;High;M16043;x
16044;Head of Government;弗里茨 克劳森 ;38;NS;Naive Optimist;High;M16011;x
16045;Head of Government;奥托 鲍文斯彭 ;43;PA;Old General;High;M16045;x
16046;Head of Government;阿克塞尔 拉尔森 ;38;ST;Backroom Backstabber;High;M16021;x
16048;Foreign Minister;埃里克 斯卡维尼斯 ;40;SL;Biased Intellectual;Very High;M16040;x
16049;Foreign Minister;汉斯 赫托夫 ;45;SD;Great Compromiser;Very High;M16049;x
16050;Foreign Minister;奥莱 比约恩 克拉夫特 ;38;SC;Great Compromiser;Medium;M16042;x
16051;Foreign Minister;奥托 卡尔 摩尔 ;42;ML;Ideological Crusader;High;M16051;x
16052;Foreign Minister;克里斯玛斯  莫勒 ;45;SC;Biased Intellectual;Medium;M16041;x
16053;Foreign Minister;古斯塔夫 拉斯穆森 ;45;ML;The Cloak N Dagger Schemer;Medium;M16053;x
16054;Foreign Minister;埃克瑟 克里斯蒂安 哈特尔 ;38;NS;Ideological Crusader;Low;M16013;x
16055;Foreign Minister;阿尔伯特 奥尔森 ;38;LWR;General Staffer;High;M16023;x
16056;Foreign Minister;伊布 诺兰德 ;45;ST;Iron Fisted Brute;High;M16056;x
