EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
512001;Head of State;福阿德一世 ;36;SC;Autocratic Charmer;High;M512001;x
512002;Head of Government;阿里 马希尔 帕夏 ;36;SC;Silent Workhorse;High;M512002;x
512003;Foreign Minister;阿里 马希尔 帕夏 ;36;SC;Great Compromiser;High;M512002;x
512004;Minister of Armament;默罕默德 弗兰萨维 ;36;SC;Battle Fleet Proponent;Medium;M512004;x
512005;Minister of Security;穆斯塔法 奈哈斯 帕夏 ;36;SC;Silent Lawyer;Medium;M512005;x
512006;Head of Military Intelligence;默罕默德 希尔密 伊萨 ;36;SC;Dismal Enigma;Medium;M512006;x
512007;Chief of Staff;哈桑 萨布里 帕夏 ;36;SC;School of Defence;Medium;M512007;x
512008;Chief of Army;哈桑 萨布里 帕夏 ;36;SC;Static Defence Doctrine;Medium;M512007;x
512009;Chief of Navy;阿布达拉赫 兹瓦尔 帕夏 ;36;SC;Indirect Approach Doctrine;Medium;M512009;x
512010;Chief of Air Force;福阿德一世 ;36;SC;Vertical Envelopment Doctrine;Medium;M512010;x
512011;Head of State;法鲁克一世 ;36;SC;Insignificant Layman;High;M512011;x
512012;Head of State;法鲁克一世 ;36;SL;Pig-headed Isolationist;High;M512011;x
512013;Head of State;阿迦罕一世 ;45;SD;Benevolent Gentleman;High;M512013;x
512014;Head of Government;穆斯塔法 奈哈斯 帕夏 ;36;SC;Flamboyant Tough Guy;High;M512005;x
512015;Head of Government;哈桑 萨布里 帕夏 ;40;SC;Old General;High;M512007;x
512016;Head of Government;马哈茂德 努克莱什 帕夏 ;40;SC;Backroom Backstabber;High;M512016;x
512017;Head of Government;穆哈迈德 马哈茂德 帕夏 ;36;ML;Happy Amateur;High;M512017;x
512018;Head of Government;阿里 马希尔 帕夏 ;39;ML;Smiling Oilman;High;M512002;x
512019;Head of Government;哈桑 西里 帕夏 ;40;ML;Political Protege;High;M512019;x
512020;Head of Government;马哈茂德 努克莱什 帕夏 ;45;ML;Silent Workhorse;High;M512016;x
512021;Head of Government;伊斯梅尔 西德基 帕夏 ;46;ML;Naive Optimist;High;M512021;x
512022;Head of Government;阿卜杜勒哈米德 巴达维 帕夏 ;36;SL;Ambitious Union Boss;High;M512022;x
512023;Head of Government;威瑟夫 布特罗斯 加利 ;38;SL;Political Protege;High;M512023;x
512024;Head of Government;穆斯塔法 奈哈斯 帕夏 ;42;SL;Backroom Backstabber;High;M512005;x
512025;Head of Government;阿里 马希尔 帕夏 ;45;SL;Naive Optimist;High;M512025;x
512026;Head of Government;阿布达拉赫 兹瓦尔 帕夏 ;36;SD;Old Admiral;High;M512009;x
512027;Head of Government;阿里 查姆西 帕夏 ;40;SD;Corporate Suit;High;M512027;x
