ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
65001;Head of State;海尔 塞拉西一世 ;36;PA;Stern Imperialist;High;M65001;x
65002;Head of Government;拜杰伦德 泰克 哈瓦列特 ;36;PA;Happy Amateur;High;M65002;x
65003;Foreign Minister;海罗伊 沃尔德 塞拉西 ;36;PA;General Staffer;Very High;M65003;x
65004;Minister of Armament;海罗伊 沃尔德 塞拉西 ;36;PA;Military Entrepreneur;Very High;M65003;x
65005;Minister of Security;拜杰伦德 泰克 哈瓦列特 ;36;PA;Crime Fighter;Very High;M65002;x
65006;Head of Military Intelligence;海尔 塞拉西一世 ;36;PA;Logistics Specialist;Very High;M65001;x
65007;Chief of Staff;姆鲁盖塔 亲王 ;36;PA;School of Defence;Very High;M65007;x
65008;Chief of Army;代斯塔 代姆杜 ;36;PA;Guns and Butter Doctrine;Very High;M65008;x
65009;Chief of Navy;休姆 亲王 ;36;PA;Indirect Approach Doctrine;Very High;M65009;x
65010;Chief of Air Force;约翰 罗宾逊 ;36;PA;Vertical Envelopment Doctrine;Medium;M65010;x
65032;Head of State;利 约翰内斯 ;36;FA;Insignificant Layman;High;M65011;x
65033;Head of State;维托里奥 埃马努埃莱三世 ;39;FA;Resigned Generalissimo;High;M65033;x
65034;Head of State;伊姆鲁 海尔 塞拉西 亲王 ;36;SC;Benevolent Gentleman;High;M65021;x
65036;Head of Government;马克南 安达凯奇鲁 ;41;PA;Political Protege;High;M65036;x
65037;Head of Government;海尔 塞拉西 古萨 ;36;FA;Naive Optimist;High;M65012;x
65038;Head of Government;盖塔奇鲁 亲王 ;39;FA;Old General;High;M65014;x
65039;Head of Government;伊姆鲁 海尔 塞拉西 亲王 ;36;SC;Corporate Suit;High;M65021;x
65040;Head of Government;布莱塔 扎德 拜兰 ;41;SC;Silent Workhorse;High;M65024;x
65042;Foreign Minister;马克南 安达凯奇鲁 ;41;PA;Great Compromiser;High;M65036;x
65043;Foreign Minister;阿克利乌 哈特沃德 ;43;PA;Biased Intellectual;Very High;M65043;x
65044;Foreign Minister;梅尔德 阿兹麦奇 艾斯发 沃森 ;45;PA;The Cloak N Dagger Schemer;High;M65044;x
65045;Foreign Minister;海鲁 泰克 海曼诺特 亲王 ;36;FA;Iron Fisted Brute;Medium;M65013;x
65046;Foreign Minister;凯贝德 亲王 ;39;FA;General Staffer;Medium;M65017;x
65047;Foreign Minister;塞加 亲王 ;36;SC;Biased Intellectual;Medium;M65023;x
65048;Foreign Minister;代德加 兹纳奇 纳丹 ;41;SC;Iron Fisted Brute;Medium;M65029;x
65049;Foreign Minister;特塞弗 泰扎斯 ;43;SC;Ideological Crusader;Very High;M65049;x
65050;Minister of Armament;皮埃尔 里南特 德 贝尔方德兹 ;37;PA;Administrative Genius;Very High;M65050;x
65052;Minister of Armament;特塞弗 泰扎斯 ;45;PA;Air Superiority Proponent;Very High;M65049;x
65053;Minister of Armament;盖塔奇鲁 亲王 ;36;FA;Military Entrepreneur;Medium;M65014;x
65054;Minister of Armament;海鲁 泰克 海曼诺特 亲王 ;39;FA;Corrupt Kleptocrat;Medium;M65013;x
65055;Minister of Armament;布莱塔 扎德 拜兰 ;36;SC;Resource Industrialist;Medium;M65024;x
65056;Minister of Armament;瓦格舒姆 沃森 海鲁 ;41;SC;Tank Proponent;Medium;M65056;x
65058;Minister of Security;阿克利乌 哈特沃德 ;41;PA;Efficient Sociopath;Very High;M65058;x
65059;Minister of Security;蒂加斯 加布里马利亚姆 ;45;PA;Compassionate Gentleman;Very High;M65059;x
65060;Minister of Security;康提巴 沃森尼 扎马诺 ;36;FA;Prince of Terror;Medium;M65015;x
65061;Minister of Security;利 阿斯雷特 ;39;FA;Silent Lawyer;Medium;M65061;x
65062;Minister of Security;古萨 埃瑞亚 亲王 ;36;SC;Compassionate Gentleman;Medium;M65025;x
65063;Minister of Security;阿图 法西卡 ;41;SC;Prince of Terror;Medium;M65063;x
65065;Head of Military Intelligence;法科雷 塞拉瑟 卡塔马 ;41;PA;Logistics Specialist;Very High;M65065;x
65066;Head of Military Intelligence;塔姆拉 伊格祖 ;45;PA;Dismal Enigma;Very High;M65066;x
65067;Head of Military Intelligence;马尔科斯 沃尔德 加百利 ;36;FA;Dismal Enigma;Medium;M65067;x
65068;Head of Military Intelligence;海尔 塞拉西 古萨 ;39;FA;Political Specialist;Medium;M65012;x
65069;Head of Military Intelligence;伊姆鲁 海尔 塞拉西 亲王 ;36;SC;Political Specialist;Medium;M65021;x
65070;Head of Military Intelligence;利 阿瑞亚 阿比比 ;41;SC;Industrial Specialist;Medium;M65070;x
65071;Chief of Staff;哈普特 米凯尔 阿加发里 ;37;PA;School of Psychology;Very High;M65071;x
65072;Chief of Staff;海尔 沃尔德 鲁弗 ;45;PA;School of Mass Combat;Very High;M65072;x
