EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
580001;Head of State;何塞 安东尼 阿圭雷 ;36;SC;Benevolent Gentleman;Very High;M580001;x
580002;Head of Government;何塞 安东尼 阿圭雷 ;36;SC;Flamboyant Tough Guy;Very High;M580001;x
580003;Foreign Minister;何塞 马克斯 拉萨蒂 ;36;SC;Ideological Crusader;High;unknown;x
580004;Minister of Armament;埃略多罗 德 拉 托雷 ;36;SC;laissez-faire capitalist;High;unknown;x
580005;Minister of Security;赫苏斯 马克斯 德 雷吉奥拉 ;36;SC;Silent Lawyer;High;M580005;x
580006;Head of Military Intelligence;胡安 阿吉利亚盖拉 ;36;SC;Logistics Specialist;High;unknown;x
580007;Chief of Staff;何塞 安东尼 阿圭雷 ;36;SC;School of Defence;Very High;M580001;x
580008;Chief of Army;萨图尼诺 本格尔 ;36;SC;Static Defence Doctrine;High;unknown;x
580009;Chief of Navy;华金 德 埃格斯 ;36;SC;Base Control Doctrine;High;M580008;x
580010;Chief of Air Force;塞罗 ;36;SC;Naval Aviation Doctrine;High;unknown;x
580011;Head of State;赫苏斯 马克斯 德 雷吉奥拉 ;36;SC;Popular Figurehead;High;M580005;x
580012;Head of Government;赫苏斯 马克斯 德 雷吉奥拉 ;36;SC;Naive Optimist;High;M580005;x
580013;Foreign Minister;弗朗西斯科 贾维尔 德 兰达布鲁 ;36;SC;Great Compromiser;High;unknown;x
580014;Minister of Armament;费姆 扎尔兹 ;36;SC;Resource Industrialist;High;unknown;x
580015;Minister of Security;曼努埃尔 德 伊鲁约 ;36;SC;Efficient Sociopath;Very High;M580014;x
580016;Head of Military Intelligence;曼努埃尔 德 伊鲁约 ;36;SC;Dismal Enigma;High;M580014;x
580017;Chief of Staff;赫苏斯 马克斯 德 雷吉奥拉 ;36;SC;School of Psychology;High;M580005;x
580018;Chief of Army;安东尼奥 奥特加 ;36;SC;Elastic Defence Doctrine;High;M580018;x
580019;Chief of Navy;何塞 马克斯 波加纳 ;36;SC;Open Seas Doctrine;High;M580019;x
580020;Chief of Air Force;胡安 安东尼奥 伊巴莱切 ;36;ML;Carpet Bombing Doctrine;High;M580020;x
580021;Head of State;安纳克莱托 奥图塔 ;36;LWR;Die-Hard Reformer;High;unknown;x
580022;Head of State;贾斯托 加拉迪 ;36;LWR;Barking Buffoon;Very High;M580022;x
580023;Head of Government;安纳克莱托 奥图塔 ;36;LWR;Backroom Backstabber;High;unknown;x
580024;Head of Government;特莱斯福罗 芒赞 ;36;LE;Flamboyant Tough Guy;High;M580024;x
580025;Foreign Minister;特莱斯福罗 芒赞 ;36;LE;Iron Fisted Brute;High;M580024;x
