FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
29001;Head of State;皮尔 E. 斯文胡伍德 ;36;SC;Pig-headed Isolationist;High;M29001;x
29002;Head of Government;托依沃 M. 基维马奇 ;36;SC;Silent Workhorse;High;M29002;x
29003;Foreign Minister;安提 V. 汉克扎尔 ;36;SC;Biased Intellectual;Medium;M29003;x
29004;Minister of Armament;阿维 A. 奥克萨拉 ;36;SC;Resource Industrialist;Medium;M29004;x
29005;Minister of Security;阿维 W. 普哈卡 ;36;SC;Silent Lawyer;Medium;M29005;x
29006;Head of Military Intelligence;埃斯科 瑞奇 ;36;SC;Dismal Enigma;High;M29006;x
29007;Chief of Staff;K.L. 埃斯 ;36;SC;School of Manoeuvre;High;M29007;x
29008;Chief of Army;雨果 奥斯特曼 ;36;SC;Elastic Defence Doctrine;Medium;M29008;x
29009;Chief of Navy;维尼 L. 维尔夫 ;36;SC;Open Seas Doctrine;High;M29009;x
29010;Chief of Air Force;加尔 伦德奎斯特 ;36;SC;Naval Aviation Doctrine;Very High;M29010;x
29034;Head of State;卡尔 G. 曼纳海姆 ;40;SC;Stern Imperialist;High;M29034;x
29035;Head of State;尤霍 K. 巴锡基维 ;45;SD;Autocratic Charmer;High;M29035;x
29036;Head of State;皮尔 E. 斯文胡伍德 ;36;ML;Pig-headed Isolationist;High;M29001;x
29039;Head of State;里斯托·海基·吕蒂;40;ML;Weary Stiffneck;High;M29033;x
29043;Head of State;屈厄斯蒂·卡利奥;37;SC;Stern Imperialist;High;M29032;x
29044;Head of State;里斯托·海基·吕蒂;39;SC;Weary Stiffneck;High;M29033;x
29045;Head of State;里斯托·海基·吕蒂;43;PA;Weary Stiffneck;High;M29033;x
29047;Head of State;尤霍 K. 巴锡基维 ;46;SC;Autocratic Charmer;High;M29035;x
29048;Head of State;布鲁诺 萨尔米亚拉 ;36;FA;Ruthless Powermonger;High;M29011;x
29049;Head of State;奥托 维拉 库西宁 ;36;ST;Ruthless Powermonger;High;M29021;x
29050;Head of Government;维尼 基维萨洛 ;36;SD;Naive Optimist;High;M29050;x
29051;Head of Government;乌尔霍 K. 吉科宁 ;43;ML;Backroom Backstabber;High;M29051;x
29052;Head of Government;毛诺 佩卡拉 ;45;SD;Political Protege;High;M29052;x
29053;Head of Government;屈厄斯蒂·卡利奥;36;ML;Corporate Suit;High;M29032;x
29054;Head of Government;艾默 卡扬德 ;37;ML;Happy Amateur;High;M29054;x
29055;Head of Government;加尔 伦德奎斯特 ;43;ML;Smiling Oilman;High;M29010;x
29056;Head of Government;阿维 K. 莱诺 ;46;ML;Naive Optimist;High;M29025;x
29058;Head of Government;里斯托·海基·吕蒂;39;SC;Backroom Backstabber;High;M29033;x
29059;Head of Government;约翰 W. 蓝格 ;40;SC;Flamboyant Tough Guy;High;M29059;x
29060;Head of Government;安提 V. 汉克扎尔 ;44;SC;Silent Workhorse;High;M29003;x
29061;Head of Government;尤霍 K. 巴锡基维 ;44;SC;Flamboyant Tough Guy;High;M29035;x
29062;Head of Government;柯尤苏泰 扎维尼恩 ;46;SC;Silent Workhorse;High;M29062;x
29063;Head of Government;埃德温 H. 林考米斯 ;43;SC;Naive Optimist;High;M29063;x
29064;Head of Government;乌尔霍 J. 卡斯特伦 ;44;SC;Corporate Suit;High;M29064;x
29065;Head of Government;维特里 科索拉 ;36;FA;Silent Workhorse;High;M29012;x
29066;Head of Government;奥托 维拉 库西宁 ;39;ST;Flamboyant Tough Guy;High;M29021;x
29067;Foreign Minister;安塞尔米 皮特吉尔塔 ;36;SD;Apologetic Clerk;Medium;M29067;x
29068;Minister of Armament;维伊诺·唐纳;36;SC;Resource Industrialist;Medium;M29068;x
29069;Foreign Minister;维尼 基维萨洛 ;43;SD;Iron Fisted Brute;Very High;M29050;x
29071;Foreign Minister;艾诺 R. 豪尔斯提 ;36;ML;Great Compromiser;Medium;M29071;x
29072;Foreign Minister;卡尔 V. 维隆马 ;38;ML;Apologetic Clerk;Medium;M29072;x
29073;Foreign Minister;尤霍 E. 艾尔寇 ;38;ML;Biased Intellectual;Medium;M29073;x
29074;Foreign Minister;罗夫 J. 维汀 ;40;SC;The Cloak N Dagger Schemer;Medium;M29074;x
29075;Foreign Minister;卡尔 J. 恩克尔 ;44;SD;Great Compromiser;Medium;M29070;x
29076;Foreign Minister;阿维 A. 奥克萨拉 ;36;SC;General Staffer;Medium;M29004;x
29077;Foreign Minister;卡尔 拉姆齐 ;43;SC;Iron Fisted Brute;Medium;M29077;x
29078;Foreign Minister;约翰 W. 蓝格 ;46;SC;Biased Intellectual;High;M29059;x
29079;Foreign Minister;黑贾 莱佩南 ;36;FA;Ideological Crusader;High;M29013;x
29080;Foreign Minister;奥托 维拉 库西宁 ;39;ST;Apologetic Clerk;Low;M29021;x
29081;Foreign Minister;赫拉 沃里乔奇 ;42;ST;Great Compromiser;Low;M29081;x
29082;Minister of Armament;维拉姆 斯尼萨洛 ;36;SD;Strategic Air Proponent;Medium;M29082;x
29083;Minister of Armament;卡尔 A. 法格霍姆 ;43;SD;Laissez-Faire Capitalist;Medium;M29083;x
29084;Minister of Armament;毛诺 佩卡拉 ;44;SD;Theoretical Scientist;Medium;M29052;x
29085;Minister of Armament;奥托 托伊沃宁 ;46;SD;Military Entrepreneur;Medium;M29085;x
29086;Minister of Armament;尤霍 纽克南 ;36;ML;Administrative Genius;Medium;M29014;x
29087;Minister of Armament;艾默 卡扬德 ;39;ML;Resource Industrialist;Medium;M29054;x
29088;Minister of Armament;屈厄斯蒂·卡利奥;41;ML;Laissez-Faire Capitalist;High;M29032;x
29089;Minister of Armament;维尼 L. 维尔夫 ;44;ML;Military Entrepreneur;Medium;M29009;x
29090;Minister of Armament;加尔 伦德奎斯特 ;46;ML;Air to Sea Proponent;Very High;M29010;x
29091;Minister of Armament;安提 V. 汉克扎尔 ;36;SC;Battle Fleet Proponent;Medium;M29003;x
29092;Minister of Armament;皮尔 E. 斯文胡伍德 ;36;SC;Tank Proponent;High;M29001;x
29093;Minister of Armament;莱昂纳德 格兰代尔 ;39;SC;Laissez-Faire Capitalist;Medium;M29093;x
29094;Minister of Armament;尤霍 K. 巴锡基维 ;41;SC;Resource Industrialist;High;M29035;x
