FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510001;Head of State;斯塔夫 德 克莱尔 ;36;NS;Powerhungry Demagogue;NA;M15033;x
510002;Head of Government;斯塔夫 德 克莱尔 ;36;NS;Flamboyant Tough Guy;NA;M15033;x
510003;Foreign Minister;斯塔夫 德 克莱尔 ;36;NS;Biased Intellectual;Very High;M15033;x
510004;Minister of Armament;亨德里克 德 曼 ;36;PA;Administrative Genius;Very High;M15056;x
510005;Minister of Security;简 蒂姆曼斯 ;36;NS;Man of the People;Very High;M15117;x
510006;Head of Military Intelligence;雷蒙德 托伦奈尔 ;36;NS;Dismal Enigma;Very High;M15082;x
510007;Chief of Staff;杰弗 弗朗科伊斯 ;36;NS;School of Mass Combat;Very High;M15015;x
510008;Chief of Army;杰弗 弗朗科伊斯 ;36;NS;Decisive Battle Doctrine;Very High;M15015;x
510009;Chief of Navy;厄恩斯特 乔科曼 ;36;NS;Open Seas Doctrine;Very High;M510009;x
510010;Chief of Air Force;奥特弗雷德 萨特勒 ;36;NS;Air Superiority Doctrine;Very High;M510010;x
510011;Chief of Air Force;埃格特 里德尔 ;40;NS;Vertical Envelopment Doctrine;Very High;M510061;x
510012;Chief of Air Force;康拉德 希隆 ;42;NS;Army Aviation Doctrine;Very High;L510007;x
510013;Chief of Army;埃格特 里德尔 ;40;NS;Elastic Defence Doctrine;Very High;M510061;x
510014;Chief of Army;G.H. 冯 卡伦沙 ;40;NS;Guns and Butter Doctrine;Very High;M510084;x
510015;Chief of Army;戈特洛勃 伯格尔 ;40;NS;Guns and Butter Doctrine;Very High;M510027;x
510016;Chief of Army;汉斯-阿尔伯特 冯 莱托-福尔贝克 ;40;NS;Decisive Battle Doctrine;Very High;M510088;x
510017;Chief of Army;康拉德 希隆 ;42;NS;Armoured Spearhead Doctrine;Very High;L510007;x
510018;Chief of Army;卢辛 里杰科波尔 ;41;NS;Static Defence Doctrine;Very High;M510065;x
510019;Chief of Army;拉夫 范 赫斯 ;42;NS;Guns and Butter Doctrine;Very High;M510078;x
510021;Chief of Army;雷内 莱格罗 ;36;NS;Decisive Battle Doctrine;Very High;M15017;x
510022;Chief of Navy;埃格特 里德尔 ;40;NS;Base Control Doctrine;Very High;M510061;x
510024;Chief of Staff;埃格特 里德尔 ;40;NS;School of Manoeuvre;Very High;M510061;x
510025;Chief of Staff;G.H. 冯 卡伦沙 ;40;NS;School of Fire Support;Very High;M510084;x
510026;Chief of Staff;戈特洛勃 伯格尔 ;40;NS;School of Psychology;Very High;M510027;x
510027;Chief of Staff;卢辛 里杰科波尔 ;41;NS;School of Defence;Very High;M510065;x
510028;Chief of Staff;拉夫 范 赫斯 ;42;NS;School of Manoeuvre;Very High;M510078;x
510029;Chief of Staff;罗伯特 维博伦 ;40;NS;School of Psychology;Very High;M510081;x
510030;Chief of Staff;瑟拉夫 提奥 ;40;NS;School of Fire Support;Very High;M510073;x
510031;Foreign Minister;奥古斯特 勃姆斯 博士 ;36;FA;Biased Intellectual;Very High;M510025;x
510032;Foreign Minister;塞瑞尔 维希弗 ;36;FA;Great Compromiser;Very High;M510083;x
510033;Foreign Minister;E. 范 登 霍伊费尔 ;41;NS;Ideological Crusader;Very High;M510077;x
510034;Foreign Minister;弗兰斯 蒂尔斯 ;38;FA;Ideological Crusader;Very High;M510035;x
510035;Foreign Minister;戈特洛勃 伯格尔 ;40;NS;General Staffer;Very High;M510027;x
510036;Foreign Minister;亨德里克 J. 伊莱亚斯 ;42;FA;Biased Intellectual;Very High;M15039;x
510037;Foreign Minister;杰弗 范 德 维尔 ;38;NS;Iron Fisted Brute;Very High;M15011;x
510038;Foreign Minister;杰卢姆 鲁尔丹 ;37;NS;Ideological Crusader;Very High;M510058;x
510039;Foreign Minister;卡莱尔 拉姆伯奇 ;39;NS;Great Compromiser;Very High;M510049;x
510040;Foreign Minister;奥迪尔 杜 ;40;NS;The Cloak N Dagger Schemer;Very High;M510037;x
510041;Foreign Minister;波 勒 罗伊 ;42;FA;Biased Intellectual;Very High;M510054;x
510042;Foreign Minister;雷蒙德 斯佩里尔斯 ;38;FA;Biased Intellectual;Very High;M510072;x
510043;Foreign Minister;沃尔特 兰皮特 ;41;NS;General Staffer;Very High;M510052;x
510044;Head of Government;亚历山大 冯 法肯豪森 ;40;NS;Silent Workhorse;Very High;M510086;x
510045;Head of Government;奥古斯特 勃姆斯 博士 ;36;FA;Silent Workhorse;Very High;M510025;x
510046;Head of Government;舒尔茨 博士 ;40;NS;Flamboyant Tough Guy;Very High;M510070;x
510047;Head of Government;弗兰斯 蒂尔斯 ;38;FA;Flamboyant Tough Guy;Very High;M510035;x
510048;Head of Government;戈特洛勃 伯格尔 ;40;NS;Old General;Very High;M510027;x
510049;Head of Government;亨德里克 J. 伊莱亚斯 ;42;FA;Political Protege;NA;M15039;x
510050;Head of Government;杰弗 范 德 维尔 ;40;NS;Backroom Backstabber;NA;M15011;x
510051;Head of Government;杰卢姆 鲁尔丹 ;37;NS;Ambitious Union Boss;Very High;M510058;x
510052;Head of Government;卢辛 里杰科波尔 ;41;NS;Happy Amateur;Very High;M510065;x
510053;Head of Government;佩特 维津达尔 ;37;FA;Naive Optimist;Very High;M510091;x
