FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
2001;Head of State;阿尔贝 勒布伦 ;36;SL;Insignificant Layman;High;M2001;x
2237;Head of State;国王陛下 约翰三世;36;SC;Bourbon Restorer;Medium;kaiserreich_jeanIII;x
2238;Head of State;皇帝陛下 路易·拿破仑四世;36;SC;Emperor Of The French;Medium;M582001;x
2239;Head of State;国王陛下 亨利四世;36;SC;King Of France;Medium;kaiserreich_henriVI;x
2002;Head of Government;阿尔贝特 萨罗 ;36;SL;Happy Amateur;High;M2002;x
2003;Foreign Minister;皮埃尔-埃蒂安·弗朗丹;36;SL;Flandin;Low;M2003;x
2004;Minister of Armament;朱尔-樊尚·奥里奥尔 ;36;SL;Supporter of Devaluation;High;M2004;x
2005;Minister of Security;马克思 多尔穆瓦 ;36;SL;Opposer of the Far Right;Medium;M2005;x
2006;Head of Military Intelligence;约瑟夫 帕加农 ;36;SL;Political Specialist;Medium;M2006;x
2007;Chief of Staff;莫里斯·居斯塔夫·甘末林;36;SL;Fortifications Supporter;Very High;Gamelin;x
2008;Chief of Army;莫里斯·居斯塔夫·甘末林;36;SL;Static Defense Supporter;Very High;Gamelin;x
2009;Chief of Navy;弗朗科伊斯 达尔朗 ;36;SL;Open Seas Doctrine;High;M2009;x
2010;Chief of Air Force;维克托 德南 ;36;SL;Carpet Bombing Doctrine;Medium;M2010;x
2022;Head of State;文森特 奥里奥尔 ;47;SL;Autocratic Charmer;High;M2004;x
2023;Head of State;丹尼尔 迈耶 ;44;SD;Weary Stiffneck;High;M2023;x
2030;Head of State;莫里斯 多列士 ;36;ST;Powerhungry Demagogue;High;M2011;x
2240;Head of State;亨利 菲利普 贝当 ;36;PA;Hero Of Verdun;High;M57001;x
2031;Head of State;夏尔 戴高乐 ;40;SC;De Gaulle;High;M2027;x
2032;Head of State;让 德 波旁 ;38;PA;Benevolent Gentleman;High;M2032;x
2033;Head of Government;莱昂 布鲁姆 ;36;SD;Blum;High;M2033;x
2034;Head of Government;费利克斯 古昂 ;40;SD;Smiling Oilman;High;M2034;x
2035;Head of Government;保罗 拉马迪埃 ;47;SD;Ambitious Union Boss;High;M2035;x
2051;Head of Government;卡米耶 肖当 ;37;SL;Silent Workhorse;High;M2036;x
2037;Head of Government;爱德华 达拉第 ;38;SD;Daladier;High;M2037;x
2038;Head of Government;保罗 雷诺 ;40;SL;Political Protege;High;M2038;x
2039;Head of Government;乔治 皮杜尔 ;46;ML;Old General;High;M2039;x
2040;Head of Government;皮埃尔 赖伐尔 ;36;SC;Flamboyant Tough Guy;High;M2040;x
