GEO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
519001;Head of State;坎迪特 查科维尼 ;36;ST;Barking Buffoon;High;M519001;x
519002;Head of Government;拉夫伦蒂 贝里亚 ;36;ST;Flamboyant Tough Guy;High;M519002;x
519003;Foreign Minister;布杜 穆德瓦尼 ;36;ST;The Cloak N Dagger Schemer;High;M519003;x
519004;Minister of Armament;乔治 艾里亚维 ;36;ST;Theoretical Scientist;Medium;M519004;x
519005;Minister of Security;塞吉奥 奥德宗尼卡基 ;36;ST;Prince of Terror;Medium;M519005;x
519006;Head of Military Intelligence;尼古拉 纳卡什基 ;36;ST;Industrial Specialist;Medium;M519006;x
519007;Chief of Staff;拉夫伦蒂 贝里亚 ;36;ST;School of Psychology;Medium;M519007;x
519008;Chief of Army;伊格 D. 查尼卡霍夫斯基 ;36;ST;Elastic Defence Doctrine;Medium;M519008;x
519009;Chief of Navy;阿利克斯 布鲁西洛夫 ;36;ST;Open Seas Doctrine;Medium;M519009;x
519010;Chief of Air Force;马米亚 奥拉赫拉什维利 ;36;ST;Naval Aviation Doctrine;Medium;M519010;x
519011;Head of State;拉斐尔 伊万尼斯基-英基洛 ;36;SD;Pig-headed Isolationist;High;M519011;x
519012;Head of State;H.R.H. 玛格丽萨一世 阿布哈西亚 ;36;SL;Popular Figurehead;High;M519012;x
519013;Head of State;H.R.H. 伊莱克利四世 巴格拉雄 德 莫卡尼 ;36;SC;Autocratic Charmer;High;M519013;x
519014;Head of State;H.R.H. 安德烈二世 奇瓦德杰 ;36;NS;Stern Imperialist;High;M519014;x
519015;Head of Government;米哈伊尔 加瓦克什维利 ;36;SD;Naive Optimist;High;M519015;x
519016;Head of Government;伊万尼 蒂斯特什维利 博士 ;36;SL;Backroom Backstabber;High;M519016;x
519017;Head of Government;伊万尼 加瓦克什维利 ;36;SC;Silent Workhorse;High;M519017;x
519018;Head of Government;米哈伊尔 冯 瑟雷泰利 ;36;NS;Happy Amateur;High;M519018;x
519019;Foreign Minister;穆克兰 尼尼阿齐 ;36;ST;Iron Fisted Brute;High;M519019;x
