GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1;Head of State;阿道夫 希特勒 ;36;NS;Paranoid Megalomaniac;High;M1;x
2;Head of Government;鲁道夫 赫斯;36;NS;Deputy Fuhrer ;High;M2;x
3;Foreign Minister;康斯坦丁 冯 牛赖特 ;36;FA;Respectable Compromiser;High;M3;x
4;Minister of Armament;维尔纳.爱德华.弗里茨.冯.勃洛姆堡;36;NS;Infantry Proponent;High;M4;x
5;Minister of Security;威廉 弗里克 ;36;NS;Ruthless Organizer;High;M5;x
6;Head of Military Intelligence;威廉 卡纳里斯 ;36;FA;Brilliant Spymaster;Medium;M6;x
7;Chief of Staff;路德维希 贝克 ;36;FA;School of Manoeuvre;High;M7;x
8;Chief of Army;沃纳 冯 弗立契 ;36;PA;Generalfeldmarschall;High;M8;x
9;Chief of Navy;埃里希 雷德尔 ;36;NS;The Political Admiral;High;M9;x
10;Chief of Air Force;赫尔曼 戈林 ;36;NS;The Iron Knight;Very High;M10;x
245;Head of State;赫尔曼 戈林 ;36;NS;Barking Buffoon;Very High;M10;x
246;Head of State;约瑟夫 戈培尔 ;42;NS;Powerhungry Demagogue;Very High;M56;x
32;Head of State;卡尔 邓尼茨 ;45;NS;Resigned Generalissimo;High;M32;x
33;Head of Government;奥斯卡 冯 兴登堡 ;36;PA;Political Protege;High;M33;x
34;Head of State;路德维希 贝克 ;39;PA;Resigned Generalissimo;High;M7;x
259;Head of Government;路德维希 贝克 ;39;SC;Old General;High;M7;x
36;Head of State;德皇陛下 威廉二世 ;36;PA;Weltkrieg Emperor;High;Wilhelm2;x
37;Head of State;德皇陛下 威廉三世 ;42;PA;Moderate Kaiser;High;Wilhelm3;x
38;Head of State;特奥多尔 胡斯 ;46;SC;Die-hard Reformer;High;M38;x
39;Head of State;路德维格 雷恩 ;36;ST;Insignificant Layman;High;M21;x
213;Head of Government;赫尔曼 戈林 ;38;NS;The Militarist Gangsterhog;High;M10;x
41;Head of Government;阿道夫 希特勒 ;36;NS;Deutsches Reich Government;High;M1;x
42;Head of Government;马丁 鲍曼 ;41;NS;The Brown Eminence;High;M42;x
43;Head of Government;阿尔伯特 施佩尔 ;41;NS;Corporate Suit;High;M43;x
44;Head of Government;奥斯卡 梅斯纳尔 ;36;PA;Naive Optimist;High;M44;x
45;Head of Government;路德维格 富尔达 ;36;PA;Happy Amateur;High;M45;x
46;Head of Government;阿尔伯特 杜富-费隆瑟 ;38;PA;Flamboyant Tough Guy;High;M46;x
47;Head of Government;弗朗兹 冯 巴本 ;39;PA;Happy Amateur;High;M47;x
48;Head of Government;卡尔 弗雷德里希 戈台勒 ;42;PA;Happy Amateur;High;M12;x
49;Head of Government;约翰 施未林 冯 高斯克 ;44;PA;Silent Workhorse;High;M49;x
50;Head of Government;康拉德 阿登纳 ;46;SC;Silent Workhorse;High;M50;x
51;Head of Government;恩斯特 台尔曼 ;36;ST;Backroom Backstabber;High;M22;x
52;Head of Government;恩斯特 托勒 ;39;ST;Ambitious Union Boss;High;M25;x
53;Head of Government;沃尔特 乌布利希 ;46;ST;Backroom Backstabber;High;M53;x
55;Foreign Minister;约阿希姆·冯·里宾特洛甫;36;NS;Salesman of Deception;High;M55;x
56;Foreign Minister;约瑟夫 戈培尔 ;42;NS;The Cloak N Dagger Schemer;Very High;M56;x
57;Foreign Minister;阿尔弗雷德 罗森堡 ;43;NS;Ideological Crusader;Very High;M57;x
58;Foreign Minister;阿瑟 塞斯-英夸特 ;45;NS;Iron Fisted Brute;Very High;M58;x
59;Foreign Minister;约翰 施未林 冯 高斯克 ;45;NS;Apologetic Clerk;Very High;M49;x
60;Foreign Minister;路德维格 卡斯特尔 ;36;PA;Biased Intellectual;High;M60;x
61;Foreign Minister;康斯坦丁 冯 牛赖特 ;39;PA;Respectable Compromiser;High;M3;x
62;Foreign Minister;奥斯卡 梅斯纳尔 ;42;PA;The Cloak N Dagger Schemer;Low;M44;x
63;Foreign Minister;约翰 施未林 冯 高斯克 ;45;PA;Apologetic Clerk;High;M49;x
64;Foreign Minister;托马斯 曼恩 ;36;PA;General Staffer;Medium;M64;x
65;Foreign Minister;阿尔伯特 杜富-费隆瑟 ;38;PA;Great Compromiser;Medium;M46;x
66;Foreign Minister;威廉 韦措尔特 ;38;PA;Apologetic Clerk;Medium;M66;x
67;Foreign Minister;弗朗兹 冯 巴本 ;40;PA;Great Compromiser;Very High;M67;x
68;Foreign Minister;弗雷德里希-沃纳 冯 德尔 舒伦堡 ;42;PA;Ideological Crusader;Medium;M68;x
69;Foreign Minister;乌尔里希 冯 哈塞尔 ;43;PA;The Cloak N Dagger Schemer;Medium;M13;x
70;Foreign Minister;卡尔 梅尔基奥 ;45;PA;Ideological Crusader;Medium;M70;x
71;Foreign Minister;特奥多尔 胡斯 ;46;SC;Apologetic Clerk;Very High;M38;x
72;Foreign Minister;康拉德 阿登纳 ;47;SC;Great Compromiser;Very High;M50;x
73;Foreign Minister;沃尔特 乌布利希 ;36;ST;The Cloak N Dagger Schemer;High;M53;x
74;Foreign Minister;赫尔姆特 赫尔茨费尔德 ;40;ST;Ideological Crusader;High;M23;x
76;Minister of Armament;鲁道夫 赫斯 ;36;NS;Strategic Air Proponent;High;M40;x
77;Minister of Armament;雅尔玛 沙赫特 ;36;NS;Administrative Genius;Medium;M14;x
78;Minister of Armament;弗雷德里希 弗里克 ;38;NS;Laissez-Faire Capitalist;Medium;M78;x
79;Minister of Armament;赫尔曼 戈林 ;38;NS;Air to Ground Proponent;Very High;M10;x
80;Minister of Armament;沃尔特 芬克 ;39;NS;Resource Industrialist;Very High;M80;x
81;Minister of Armament;沃尔特 达雷 ;39;NS;Military Entrepreneur;Very High;M81;x
82;Minister of Armament;库尔特 达吕格 ;40;NS;Infantry Proponent;Very High;M82;x
83;Minister of Armament;马克斯 阿曼 ;41;NS;Battle Fleet Proponent;Very High;M83;x
84;Minister of Armament;弗兰茨 泽维尔-施瓦兹 ;36;NS;Resource Industrialist;Very High;M84;x
85;Minister of Armament;约翰 施未林 冯 高斯克 ;36;NS;Resource Industrialist;Very High;M49;x
86;Minister of Armament;阿尔伯特 斯佩尔;42;NS;Administrative Genius;Medium;M43;x
87;Minister of Armament;奥斯瓦尔德 波勒 ;43;NS;Military Entrepreneur;High;M87;x
88;Minister of Armament;罗伯特 莱伊 ;36;NS;Corrupt Kleptocrat;High;M88;x
89;Minister of Armament;卡尔 奥托 绍尔 ;45;NS;Planned Economy Proponent;High;M89;x
90;Minister of Armament;弗立茨 蒂森 ;36;FA;Laissez-Faire Capitalist;Medium;M90;x
91;Minister of Armament;弗立兹 托特 ;38;FA;Organization 'Todt';High;M91;x
92;Minister of Armament;雅尔玛 沙赫特 ;39;PA;Administrative Genius;High;M14;x
93;Minister of Armament;汉斯-佐尔格 冯 弗里德堡 ;42;NS;Submarine Proponent;Very High;M93;x
94;Minister of Armament;弗立茨 托尔诺 ;44;FA;Military Entrepreneur;Medium;M94;x
95;Minister of Armament;朱利乌斯 库尔提乌斯 ;36;PA;Resource Industrialist;Medium;M95;x
96;Minister of Armament;保罗 狄利克雷-杨 ;38;PA;Tank Proponent;Medium;M96;x
97;Minister of Armament;阿尔弗雷德 克虏伯 ;39;FA;Steel Magnate;Medium;M97;x
98;Minister of Armament;佐尔格 托马斯 ;40;PA;Theoretical Scientist;Low;M98;x
99;Minister of Armament;卡尔 弗雷德里希 戈台勒 ;40;PA;Military Entrepreneur;High;M12;x
100;Minister of Armament;阿尔伯特 施佩尔 ;42;PA;Genius Organizer;Medium;M43;x
101;Minister of Armament;约翰内斯 波比茨 ;43;PA;Resource Industrialist;Very High;M101;x
102;Minister of Armament;克劳斯 冯 斯陶芬贝格 ;44;PA;Infantry Proponent;High;M102;x
103;Minister of Armament;弗立茨 斯恰菲尔 ;46;SC;Resource Industrialist;Very High;M103;x
104;Minister of Armament;路德维格 艾尔哈德 ;47;SC;Administrative Genius;Very High;M104;x
105;Minister of Armament;阿尔伯特 昆茨 ;36;ST;Resource Industrialist;High;M105;x
106;Minister of Armament;威利 马森堡 ;42;ST;Administrative Genius;High;M24;x
108;Minister of Security;海因里希 希姆莱 ;36;NS;SS Reichsfuhrer;Very High;M108;x
109;Minister of Security;维克托 吕策 ;39;NS;Compassionate Gentleman;Very High;M109;x
110;Minister of Security;约瑟夫 戈培尔 ;42;NS;Master of Propaganda;Very High;M56;x
111;Minister of Security;海因里希 穆勒 ;43;NS;Secret Police Chief;Very Low;M26;x
112;Minister of Security;阿瑟 塞斯-英夸特 ;43;NS;Silent Lawyer;Very High;M58;x
113;Minister of Security;卡尔 汉克 ;44;NS;Back Stabber;Very Low;M113;x
114;Minister of Security;奥托 佐尔格 特耶拉克 ;42;NS;Crime Fighter;Very High;M114;x
115;Minister of Security;弗朗兹 冯 巴本 ;46;NS;Compassionate Gentleman;Very High;M47;x
116;Minister of Security;恩斯特 特伦德伦堡 ;36;PA;Compassionate Gentleman;Medium;M116;x
117;Minister of Security;阿尔弗雷德 胡根堡 ;36;PA;Compassionate Gentleman;Medium;M117;x
118;Minister of Security;海因里希 穆勒 ;39;PA;Secret Police Chief;Very Low;M26;x
119;Minister of Security;阿瑟 勒贝 ;42;FA;Crime Fighter;Low;M119;x
120;Minister of Security;阿瑟 亚克斯曼 ;45;FA;Man of the People;Low;M120;x
121;Minister of Security;约翰 冯 贝恩斯托夫 ;36;PA;Back Stabber;Medium;M121;x
122;Minister of Security;卡尔 萨克 ;36;PA;Silent Lawyer;Medium;M122;x
123;Minister of Security;威廉 冯 盖尔 ;38;PA;Prince of Terror;High;M15;x
124;Minister of Security;沃尔特 施伦伯格 ;39;PA;Efficient Sociopath;Low;M124;x
125;Minister of Security;约瑟夫 维尔梅 ;42;PA;Man of the People;Medium;M125;x
126;Minister of Security;弗立茨 冯 舒伦堡 ;42;PA;Compassionate Gentleman;Very High;M126;x
127;Minister of Security;亨宁 冯 特雷斯考 ;44;PA;Crime Fighter;Low;M127;x
128;Minister of Security;弗朗兹 冯 巴本 ;36;PA;Compassionate Gentleman;Very High;M47;x
129;Minister of Security;卡尔 阿诺德 ;46;SC;Crime Fighter;High;M129;x
130;Minister of Security;古斯塔夫 海涅曼 ;47;SC;Man of the People;High;M130;x
131;Minister of Security;恩斯特 托勒 ;36;ST;Man of the People;Low;M25;x
132;Minister of Security;路德维格 雷恩 ;39;ST;Efficient Sociopath;Very High;M21;x
133;Minister of Security;朱利乌斯 雷伯 ;42;ST;Compassionate Gentleman;High;M133;x
134;Minister of Security;沃尔特 乌布利希 ;44;ST;Prince of Terror;High;M53;x
136;Head of Military Intelligence;汉斯-佐尔格 冯 弗里德堡 ;42;NS;Naval Intelligence Specialist;Medium;M93;x
137;Head of Military Intelligence;威廉 弗里克 ;44;NS;Technical Specialist;High;M5;x
138;Head of Military Intelligence;恩斯特 卡尔登布隆纳 ;44;NS;Logistics Specialist;High;M138;x
139;Head of Military Intelligence;马丁 鲍曼 ;36;NS;Political Specialist;High;M42;x
140;Head of Military Intelligence;雅尔玛 沙赫特 ;45;NS;Industrial Specialist;Medium;M14;x
141;Head of Military Intelligence;奥斯卡 冯 兴登堡 ;36;PA;Political Specialist;Medium;M33;x
142;Head of Military Intelligence;沃尔特 施伦伯格 ;40;FA;Dismal Enigma;Low;M124;x
143;Head of Military Intelligence;巴尔杜尔 冯 希拉赫 ;44;FA;Logistics Specialist;Low;M143;x
144;Head of Military Intelligence;卡尔 冯 舒伯特 ;36;PA;Logistics Specialist;High;M144;x
145;Head of Military Intelligence;奥托 斯特拉瑟 ;38;PA;Political Specialist;High;M145;x
146;Head of Military Intelligence;汉斯 奥斯特 ;39;PA;Industrial Specialist;High;M146;x
147;Head of Military Intelligence;佐尔格 汉森 ;40;PA;Technical Specialist;Medium;M147;x
148;Head of Military Intelligence;威廉 卡纳里斯 ;44;PA;Dismal Enigma;High;M6;x
149;Head of Military Intelligence;汉斯 艾哈尔德 ;46;SC;Political Specialist;High;M149;x
150;Head of Military Intelligence;莱因哈德 格伦 ;47;SC;Dismal Enigma;High;M150;x
256;Head of Military Intelligence;莱因哈德 海德里希;39;NS;The Hangman;High;Heydrich;x
151;Head of Military Intelligence;恩斯特 台尔曼 ;36;ST;Industrial Specialist;High;M22;x
152;Head of Military Intelligence;埃里希 魏内尔特 ;38;ST;Logistics Specialist;High;M152;x
153;Head of Military Intelligence;海因里希 穆勒 ;43;ST;Political Specialist;Very High;M26;x
155;Chief of Staff;弗兰茨 哈尔德 ;36;NS;School of Fire Support;Medium;M155;x
156;Chief of Staff;阿尔弗雷德 约德尔 ;39;NS;School of Psychology;High;M156;x
157;Chief of Staff;海因茨 古德里安 ;44;PA;School of Manoeuvre;Medium;M157;x
158;Chief of Staff;汉斯 克莱勃斯 ;45;NS;School of Defence;Medium;M158;x
159;Chief of Staff;弗里茨 拜尔莱因 ;36;PA;School of Psychology;High;M159;x
160;Chief of Staff;埃里希 赫普纳 ;37;FA;School of Fire Support;Medium;M18;x
162;Chief of Staff;埃尔温 冯 维茨勒本 ;41;PA;School of Fire Support;High;M17;x
163;Chief of Staff;库尔特 蔡茨勒 ;42;NS;School of Manoeuvre;High;M163;x
165;Chief of Army;埃尔温 隆美尔 ;43;PA;Doctrine of Autonomy;High;M165;x
166;Chief of Staff;威廉 格鲁纳 ;36;PA;School of Defence;Medium;M166;x
168;Chief of Staff;阿道夫 郝辛格 ;42;PA;School of Mass Combat;Low;M168;x
169;Chief of Staff;朱利乌斯 林格尔 ;44;PA;School of Manoeuvre;Medium;M169;x
258;Chief of Staff;弗里德里希 冯 霍夫曼;36;FA;School of Psychology;High;Hoffman;x
260;Chief of Staff;路德维希 冯 赫斯曼;36;FA;Man Of Genius;High;Hirschmann;x
170;Chief of Staff;汉斯 斯派德尔 ;46;SC;School of Mass Combat;High;M170;x
171;Chief of Staff;恩斯特 沃尔韦伯 ;36;ST;School of Mass Combat;Very High;M27;x
172;Chief of Staff;埃里希 魏内尔特 ;44;ST;School of Psychology;High;M152;x
174;Chief of Army;瓦尔特 冯 勃劳希契 ;36;NS;Armoured Spearhead Doctrine;High;M174;x
175;Chief of Army;库尔特 冯 哈默斯坦-埃科德 ;39;FA;Guns and Butter Doctrine;High;M175;x
176;Chief of Army;威廉 凯特尔 ;40;NS;Armoured Spearhead Doctrine;Very High;M176;x
