GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
18001;Head of State;乔治二世 ;36;PA;Insignificant Layman;High;M18001;x
18002;Head of Government;康斯坦丁 迪莫茨 ;36;PA;Naive Optimist;NA;M18002;x
18003;Foreign Minister;康斯坦丁 迪莫茨 ;36;PA;Biased Intellectual;Very High;M18002;x
18004;Minister of Armament;乔治 曼扎维诺斯 ;36;PA;Military Entrepreneur;Medium;M18004;x
18005;Minister of Security;乔治 勒古特提 ;36;PA;Crime Fighter;Medium;M18005;x
18006;Head of Military Intelligence;乔治 勒古特提 ;36;PA;Dismal Enigma;Medium;M18005;x
18007;Chief of Staff;特奥多尔 潘加洛斯 ;36;PA;School of Defence;Low;M18007;x
18008;Chief of Army;亚历山大 帕普哥斯 ;36;PA;Elastic Defence Doctrine;Low;M18008;x
18009;Chief of Navy;阿纳斯塔西奥 萨凯拉里欧 ;36;PA;Open Seas Doctrine;Medium;M18009;x
18010;Chief of Air Force;艾莱夫希里奥斯 维尼泽洛斯 ;36;PA;Army Aviation Doctrine;Medium;M18010;x
18031;Head of State;乔治二世 ;36;SL;Insignificant Layman;High;M18001;x
18032;Head of State;达马斯基诺斯 大主教 ;41;SL;Barking Buffoon;High;M18032;x
18033;Head of State;帕夫洛斯一世 ;47;SL;Die-hard Reformer;High;M18033;x
18034;Head of State;乔治二世 ;36;SC;Insignificant Layman;High;M18001;x
18035;Head of State;达马斯基诺斯 大主教 ;41;SC;Barking Buffoon;High;M18032;x
18036;Head of State;帕夫洛斯一世 ;47;SC;Die-hard Reformer;High;M18033;x
18037;Head of State;乔治二世 ;36;FA;Insignificant Layman;High;M18001;x
18039;Head of State;达马斯基诺斯 大主教 ;41;PA;Barking Buffoon;High;M18032;x
18040;Head of State;格里高利 莫诺夫 ;41;NS;Weary Stiffneck;High;M18040;x
18041;Head of State;马里奥 维塞里诺 ;42;NS;Resigned Generalissimo;High;M18041;x
18042;Head of State;赖因哈德 阿登堡 ;43;NS;Autocratic Charmer;High;M18042;x
18043;Head of State;帕夫洛斯一世 ;47;PA;Die-hard Reformer;High;M18033;x
18044;Head of State;吉奥吉斯 先托斯 ;36;ST;Popular Figurehead;High;M18021;x
18045;Head of State;尼科斯 扎哈里亚迪斯 ;44;ST;Autocratic Charmer;High;M18022;x
18046;Head of Government;地米斯托克利 索夫卢斯 ;36;SL;Flamboyant Tough Guy;High;M18014;x
18047;Head of Government;乔治 帕潘德里欧 ;44;SL;Silent Workhorse;High;M18015;x
18048;Head of Government;帕纳吉奥里斯 波利萨斯 ;46;SL;Smiling Oilman;High;M18048;x
18049;Head of Government;艾欧尼斯 迈塔克瑟斯 ;36;SC;Old General;High;M18049;x
18050;Head of Government;亚历山大 科里希斯 ;41;SC;Political Protege;High;M18050;x
18051;Head of Government;以马利 特索德洛斯 ;41;SC;Happy Amateur;High;M18051;x
18052;Head of Government;索法克里斯 文兹洛斯 ;44;SC;Naive Optimist;High;M18012;x
18053;Head of Government;康斯坦丁 查達里斯 ;46;SC;Old General;High;M18053;x
18054;Head of Government;迪米特里奥斯 马克西莫斯 ;47;SC;Political Protege;High;M18054;x
18055;Head of Government;帕纳吉斯 查达里斯 ;36;FA;Flamboyant Tough Guy;High;M18055;x
18056;Head of Government;乔治 特索拉古洛 ;41;NS;Old General;High;M18056;x
18057;Head of Government;康斯坦丁 罗格拉瑟托普洛斯 ;42;NS;Corporate Suit;High;M18057;x
18058;Head of Government;艾欧尼斯 洛里斯 ;43;NS;Naive Optimist;High;M18058;x
18059;Head of Government;达马斯基诺斯 大主教 ;45;PA;Flamboyant Tough Guy;High;M18032;x
18060;Head of Government;尼古拉斯 普拉斯提拉斯 ;45;PA;Old General;High;M18060;x
18061;Head of Government;佩特罗斯 沃尔加里斯 ;45;PA;Naive Optimist;High;M18061;x
18062;Head of Government;帕纳吉奥提斯 卡纳洛普洛斯 ;45;PA;Smiling Oilman;High;M18062;x
18063;Head of Government;米利提达斯 波凡拉金斯 ;36;ST;Ambitious Union Boss;High;M18029;x
18064;Head of Government;尼科斯 扎哈里亚迪斯 ;41;ST;Smiling Oilman;High;M18022;x
18065;Head of Government;厄里皮蒂斯 巴吉尔奎斯 ;44;ST;Happy Amateur;High;M18065;x
18066;Head of Government;马科斯 瓦普哈蒂斯 ;46;ST;Backroom Backstabber;High;M18066;x
18067;Foreign Minister;乔治 帕潘德里欧 ;44;SL;Biased Intellectual;Very High;M18015;x
18068;Foreign Minister;艾欧尼斯 萨芬诺普洛斯 ;45;SL;Great Compromiser;Medium;M18068;x
18069;Foreign Minister;康斯坦丁 伦提斯 ;46;SL;Apologetic Clerk;Medium;M18069;x
18070;Foreign Minister;艾欧尼斯 迈塔克瑟斯 ;36;SC;General Staffer;Very High;M18049;x
18071;Foreign Minister;亚历山大 科里希斯 ;41;SC;Great Compromiser;Medium;M18050;x
18072;Foreign Minister;以马利 特索德洛斯 ;41;SC;Apologetic Clerk;Medium;M18051;x
18073;Foreign Minister;索法克里斯 文兹洛斯 ;44;SC;Great Compromiser;Very High;M18012;x
18074;Foreign Minister;康斯坦丁 查達里斯 ;46;ML;The Cloak N Dagger Schemer;Very High;M18053;x
18075;Foreign Minister;德摩斯梯尼 尼古拉斯 ;36;FA;Ideological Crusader;Very High;M18075;x
18076;Foreign Minister;乔治 特索拉古洛 ;41;NS;General Staffer;Very High;M18056;x
18077;Foreign Minister;康斯坦丁 罗格拉瑟托普洛斯 ;42;NS;Biased Intellectual;High;M18057;x
18078;Foreign Minister;艾欧尼斯 洛里斯 ;43;NS;The Cloak N Dagger Schemer;Very High;M18058;x
18079;Foreign Minister;乔治 帕潘德里欧 ;45;PA;Biased Intellectual;Very High;M18015;x
18080;Foreign Minister;艾欧尼斯 苏格拉底 普里茨 ;45;PA;Apologetic Clerk;Very High;M18080;x
18081;Foreign Minister;帕纳吉奥提斯 卡纳洛普洛斯 ;45;PA;Great Compromiser;Medium;M18062;x
18082;Foreign Minister;帕纳吉奥提奥斯 塔麦斯提查斯 ;46;PA;General Staffer;Very High;M18082;x
18083;Foreign Minister;尼科斯 扎哈里亚迪斯 ;36;ST;Ideological Crusader;Very High;M18022;x
18084;Foreign Minister;米利提达斯 波凡拉金斯 ;46;ST;General Staffer;Very High;M18029;x
18085;Foreign Minister;佩特罗斯 卢梭斯 ;47;ST;Biased Intellectual;Very High;M18085;x
18086;Minister of Armament;马科斯 阿甘诺梭斯 ;36;SL;Corrupt Kleptocrat;Medium;M18086;x
18087;Minister of Armament;特奥多罗斯 马萨尔 ;37;SL;Resource Industrialist;Medium;M18087;x
18088;Minister of Armament;地米斯托克利 索夫卢斯 ;41;SL;Administrative Genius;High;M18014;x
18089;Minister of Armament;亚历山大 索沃罗斯 ;44;SL;Resource Industrialist;High;M18089;x
18090;Minister of Armament;塔麦乔斯 高西斯 ;45;SL;Battle Fleet Proponent;High;M18090;x
18091;Minister of Armament;阿莱西奥 塔萨莫托斯 ;36;SC;Submarine Proponent;High;M18091;x
18092;Minister of Armament;安托万 弗兰古里斯 ;38;SC;Air Superiority Proponent;Medium;M18092;x
18093;Minister of Armament;萨纳梭斯 艾科斯哈里斯 ;39;SC;laissez-faire capitalist;Medium;M18093;x
18094;Minister of Armament;塔基斯 皮潘内里斯 ;40;SC;Theoretical Scientist;Medium;M18094;x
18095;Minister of Armament;艾莱夫希里奥斯 维尼泽洛斯 ;41;SC;Air to Ground Proponent;Medium;M18010;x
18096;Minister of Armament;加西亚 基纳多斯 ;42;SC;Strategic Air Proponent;Medium;M18096;x
18097;Minister of Armament;阿纳斯塔西奥斯 巴迪维利亚斯 ;43;SC;Air to Sea Proponent;Medium;M18097;x
18098;Minister of Armament;阿纳塔西奥斯 卡纳洛普洛斯 ;44;SC;Administrative Genius;Very High;M18098;x
18099;Minister of Armament;吉奥吉奥斯 拉乌达斯 ;45;SC;Tank Proponent;Very High;M18099;x
18100;Minister of Armament;阿奇比亚德斯 史蒂芬诺普洛斯 ;46;SC;laissez-faire capitalist;Medium;M18100;x
18102;Minister of Armament;帕纳吉斯 查达里斯 ;38;FA;Air to Sea Proponent;High;M18055;x
18103;Minister of Armament;帕沃斯 梅尔奇蒂斯 ;41;NS;Resource Industrialist;Medium;M18103;x
18104;Minister of Armament;克里斯托斯 辛加特斯 ;42;NS;Resource Industrialist;Medium;M18104;x
18105;Minister of Armament;尼古拉斯 沃特西纳里斯 ;43;NS;Theoretical Scientist;High;M18105;x
18106;Minister of Armament;艾欧尼斯 维尼泽洛斯 ;44;PA;Military Entrepreneur;Medium;M18106;x
