HOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyality;Picture Name;x
;Replacements;;;;;;;x
8001;Head of State;荷兰女王陛下 威廉明娜 ;36;SC;Stern Imperialist;High;M8001;x
8002;Head of Government;亨德利库斯 科莱恩 ;36;ML;Silent Workhorse;High;M8002;x
8003;Foreign Minister;弗朗斯 B. 范 贝拉斯 ;36;SC;Ideological Crusader;Low;M8003;x
8004;Minister of Armament;彼德 欧德 ;36;ML;Submarine Proponent;Medium;M8004;x
8005;Minister of Security;约瑟夫 H.H. 范 海克 ;36;ML;Silent Lawyer;High;M8005;x
8006;Head of Military Intelligence;约汉 W. 范 奥尔斯霍特 ;36;SC;Dismal Enigma;Very High;M8006;x
8007;Chief of Staff;阿德瑞安 迪希霍恩 ;36;SC;School of Defence;Very High;M8007;x
8008;Chief of Army;伊扎克 雷恩代尔 ;36;SC;Static Defence Doctrine;Very High;M8008;x
8009;Chief of Navy;约翰内斯 弗尔斯特纳 ;36;ML;Indirect Approach Doctrine;High;M8009;x
8010;Chief of Air Force;马里尤斯 莱美克斯 ;36;ML;Air Superiority Doctrine;High;M8010;x
8037;Head of State;威廉明娜 ;45;PA;Stern Imperialist;High;M8001;x
8038;Head of State;安东 马瑟特 ;37;NS;Barking Buffoon;High;M8011;x
8040;Head of State;本加明 布尔斯 ;37;ST;Insignificant Layman;High;M8040;x
8041;Head of State;简 迪特尔斯 ;40;ST;Autocratic Charmer;High;M8041;x
8042;Head of State;索尔 德 格罗特 ;43;ST;Ruthless Powermonger;High;M8021;x
8043;Head of Government;约翰 阿尔巴拉达 ;39;SD;Happy Amateur;High;M8043;x
8044;Head of Government;刘易斯 贝尔 ;46;ML;Smiling Oilman;High;M8044;x
8046;Head of Government;彼德 海布兰迪 ;39;ML;Flamboyant Tough Guy;High;M8046;x
8047;Head of Government;威廉 舍默尔霍恩 ;45;ML;Naive Optimist;High;M8047;x
8048;Head of Government;安德瑞斯 德克 德 格拉夫 ;37;SC;Happy Amateur;High;M8048;x
8049;Head of Government;迪瑞克 扬 德 海尔 ;39;SC;Political Protege;High;M8049;x
8050;Head of Government;扬 德 奎 ;40;SC;Happy Amateur;High;M8050;x
8051;Head of Government;梅诺托 范 托尼根 ;37;NS;Backroom Backstabber;High;M8012;x
8052;Head of Government;安东 马瑟特 ;40;NS;Ambitious Union Boss;High;M8011;x
8053;Head of Government;格拉夫 德 马恰特 德安森姆博格 ;40;PA;Flamboyant Tough Guy;High;M8013;x
8054;Head of Government;尼古拉斯 贝泽马克 ;37;ST;Happy Amateur;High;M8054;x
8055;Head of Government;戴维 怀恩科普 ;43;ST;Naive Optimist;High;M8022;x
8056;Head of Government;丹尼尔 格罗泽 ;45;ST;Smiling Oilman;High;M8025;x
8057;Foreign Minister;塞尔瓦蒂 巴特 ;37;SD;Great Compromiser;Medium;M8057;x
8058;Foreign Minister;阿德里亚努斯 皮尔特 ;38;SD;Apologetic Clerk;Medium;M8058;x
8059;Foreign Minister;乔治 范 登 博格 ;43;SD;Iron Fisted Brute;Medium;M8059;x
8060;Foreign Minister;简 范 罗伊 ;46;SD;Biased Intellectual;Low;M8060;x
8061;Foreign Minister;皮姆 范 贝特泽拉尔 ;46;ML;General Staffer;Medium;M8061;x
8062;Foreign Minister;查尔斯 吉列姆 克雷默 ;47;SD;The Cloak N Dagger Schemer;Very High;M8062;x
8063;Foreign Minister;亨德利库斯 科莱恩 ;37;ML;Ideological Crusader;Medium;M8002;x
8064;Foreign Minister;雅可比 帕泰恩 ;37;ML;Apologetic Clerk;Medium;M8064;x
8066;Foreign Minister;安德瑞斯 德克 德 格拉夫 ;36;SC;Great Compromiser;High;M8048;x
8067;Foreign Minister;埃尔科 范 克莱芬斯 ;39;SC;Great Compromiser;Medium;M8065;x
8068;Foreign Minister;雅可比 帕泰恩 ;40;PA;Apologetic Clerk;Medium;M8064;x
8069;Foreign Minister;格拉夫 德 马恰特 德安森姆博格 ;37;FA;Ideological Crusader;Very Low;M8013;x
8070;Foreign Minister;安东 马瑟特 ;43;FA;The Cloak N Dagger Schemer;Low;M8011;x
8071;Foreign Minister;梅诺托 范 托尼根 ;43;NS;Iron Fisted Brute;Medium;M8012;x
