HUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
21001;Head of State;摄政王 霍尔蒂.米克洛什 ;36;FA;Horthy;High;M21001;x
21002;Head of Government;格姆伯什 久洛 ;36;FA;Flamboyant Tough Guy;High;M21002;x
21192;Head of Government;库尔特 舒施尼格 ;36;FA;Political Protege;High;M23002;x
21003;Foreign Minister;卡尼亚 卡尔曼 ;36;FA;Great Compromiser;Medium;M21003;x
21004;Minister of Armament;法比尼 蒂罕默尔 ;36;FA;Military Entrepreneur;Medium;M21004;x
21005;Minister of Security;科兹马 米克洛什 ;36;FA;Prince of Terror;Medium;M21005;x
21006;Head of Military Intelligence;格姆伯什 久洛 ;36;FA;Political Specialist;High;M21002;x
21007;Chief of Staff;亨尼伊 古斯塔夫 ;36;FA;School of Mass Combat;High;M21007;x
21008;Chief of Army;舍佛伊 伊斯特万 ;36;FA;Commando Doctrine Army;Medium;M21008;x
21009;Chief of Navy;霍尔蒂.米克洛什 ;36;FA;Decisive Naval Battle Doctrine;Medium;M21001;x
21010;Chief of Air Force;托马尔 拉什洛 ;36;FA;Air Superiority Doctrine;Medium;M21010;x
21041;Head of State;萨洛希 费伦茨 ;44;NS;Powerhungry Demagogue;High;M21021;x
21042;Head of Government;摄政王 霍尔蒂.米克洛什 ;38;PA;Horthy Goverment;High;M21001;x
21044;Head of State;奥皇陛下 奥托一世·冯·哈布斯堡;36;PA;Young Kaiser;High;M21044;x
21191;Head of State;奥皇陛下 玛丽亚二世·冯·罗曼诺夫;36;PA;Russian Aristocrat;High;kaiserreich mariaII;x
21190;Head of State;路易三世·萨克逊-科堡-哥达-科哈里;36;PA;German Aristocrat;High;HUN_lajos;x
21045;Head of State;佩耶 卡罗伊 ;45;SD;Insignificant Layman;High;M21045;x
21046;Head of State;蒂尔迪 佐尔坦 ;45;SC;Autocratic Charmer;High;M21011;x
21047;Head of State;蒂尔迪 佐尔坦 ;47;ST;Autocratic Charmer;High;M21011;x
21048;Head of State;兹谢德尼 贝洛 ;36;ST;Stern Imperialist;High;M21031;x
