ICL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
581001;Head of State;比达 奥索 ;36;SL;Stern Imperialist;High;M581001;x
581002;Head of Government;瓦斯克 维哈尔 ;36;SL;Smiling Oilman;High;M581002;x
581003;Foreign Minister;菲尼克斯 奥拉维尔 ;36;ML;Ideological Crusader;High;M581003;x
581004;Minister of Armament;拉尔杰尔迪 奥古斯 ;36;SL;Infantry Proponent;Medium;M581004;x
581005;Minister of Security;克鲁德 奥索达 ;36;SL;Crime Fighter;Medium;M581005;x
581006;Head of Military Intelligence;阿布 佛洛伊德 ;36;SL;Political Specialist;Medium;M581006;x
581007;Chief of Staff;汉斯·克里斯腾森 ;36;SL;School of Defence;Medium;M581007;x
581008;Chief of Army;马礼逊 约科布 ;36;SL;Guns and Butter Doctrine;Medium;M581008;x
581009;Chief of Navy;卡迪拉克 洛伊姆松 ;36;SL;Indirect Approach Doctrine;Medium;M581009;x
581010;Chief of Air Force;约科布·缪勒 ;36;SL;Air Superiority Doctrine;Medium;M581010;x
581011;Foreign Minister;阿布 佛洛伊德 ;42;SD;Great Compromiser;High;M581006;x
581012;Minister of Armament;卡迪拉克 布朗 ;42;ML;Submarine Proponent;Medium;M581009;x
581013;Minister of Security;约科布·缪勒 ;42;SL;Man of the People;Medium;M581010;x
581014;Head of Military Intelligence;约科布·缪勒 ;42;SL;Naval Intelligence Specialist;Medium;M581014;x
581015;Chief of Staff;约翰·奥古斯特 ;42;SL;School of Mass Combat;Medium;M581015;x
581016;Chief of Army;贺瑞凯 约科布;42;SL;Decisive Battle Doctrine;Medium;M581016;x
581017;Chief of Navy;保罗·布朗 ;42;SL;Open Seas Doctrine;Medium;M581017;x
581018;Chief of Air Force;平佛洛伊德 奥拉维尔;42;SL;Naval Aviation Doctrine;Medium;M581018;x
581019;Head of State;平佛洛伊德 奥拉维尔;52;SL;Pig-headed Isolationist;High;M581019;x
581020;Head of Government;奥拉维尔·格里姆松 ;42;ML;Flamboyant Tough Guy;High;M581003;x
581021;Foreign Minister;维哈尔莫·维哈尔姆森 ;42;SL;Apologetic Clerk;High;M581021;x
581022;Head of Government;阿布 维哈尔莫 ;44;SD;Ambitious Union Boss;High;M581006;x
581023;Minister of Armament;菲尼克斯 约科布 ;44;ML;Submarine Proponent;Medium;M581023;x
581024;Minister of Security;卡迪 海德鲁 ;44;ML;Back Stabber;Medium;M581024;x
581025;Head of Military Intelligence;卡迪拉克 约科布 ;44;SL;Naval Intelligence Specialist;Medium;M581009;x
581026;Foreign Minister;艾曼森 瓦斯克 ;47;SD;Great Compromiser;High;M581026;x
581027;Minister of Armament;海茨曼 洛伊姆松 ;47;SD;Military Entrepreneur;Medium;M581027;x
581028;Minister of Security;艾曼森 瓦斯克 ;47;SD;Compassionate Gentleman;Medium;M581026;x
581029;Minister of Armament;艾曼森 瓦斯克 ;49;ML;Battle Fleet Proponent;Medium;M581029;x
581030;Head of Military Intelligence;斯腾格里姆·西格夫松 ;49;SD;Industrial Specialist;Medium;M581030;x
581031;Head of Government;斯腾格里姆·西格夫松 ;50;SD;Silent Workhorse;High;M581030;x
581032;Minister of Armament;艾厄沙 海德鲁 ;50;SD;Administrative Genius;Medium;M581032;x
581033;Foreign Minister;奥斯陆 西格夫松 ;53;ML;The Cloak N Dagger Schemer;High;M581033;x
581034;Minister of Security;海德鲁 西格夫松 ;53;ML;Crime Fighter;Medium;M581034;x
