INO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
577001;Head of State;威廉明娜 ;36;SC;Popular Figurehead;Very High;M8001;x
577002;Head of Government;特加达 范 斯塔博格斯-萨奇维尔 ;36;SC;Flamboyant Tough Guy;Very High;M577002;x
577003;Foreign Minister;赫本图斯 范 穆克 ;36;SC;Biased Intellectual;High;M577003;x
577004;Minister of Armament;默罕穆德三世 ;36;SC;Air Superiority Proponent;Medium;M577004;x
577005;Minister of Security;费德 苏克 ;36;SC;Crime Fighter;High;M8113;x
577006;Head of Military Intelligence;雷蒙德 威斯特林 ;36;SC;Naval Intelligence Specialist;Medium;M577006;x
577007;Chief of Staff;穆克 博斯塔 ;36;SC;School of Manoeuvre;Very High;L7802;x
577008;Chief of Army;杰拉德斯 ;36;SC;Static Defence Doctrine;Very High;L7801;x
577009;Chief of Navy;科兰 赫尔弗奇 ;36;SC;Base Control Doctrine;Very High;L7839;x
577010;Chief of Air Force;鲁道夫 范 欧耶 ;36;SC;Army Aviation Doctrine;Very High;L7859;x
577011;Head of State;苏加诺 ;36;PA;Weary Stiffneck;Very High;M577011;x
577012;Head of State;费迪南德 ;36;SD;Autocratic Charmer;Very High;M577012;x
577013;Head of State;卡万 穆索 ;36;LE;Powerhungry Demagogue;Very High;M577013;x
577014;Head of Government;默哈莫 哈达 ;36;PA;Political Protege;Very High;M577014;x
577015;Head of Government;默哈莫 塔林 ;36;SD;Smiling Oilman;Very High;M577015;x
577016;Head of Government;萨里富丁 ;36;LE;Naive Optimist;Medium;M577016;x
577017;Foreign Minister;艾哈迈德 苏班德里约 ;36;PA;Ideological Crusader;Medium;M577017;x
577018;Foreign Minister;日惹苏丹九世 ;43;PA;The Cloak N Dagger Schemer;Medium;M577018;x
577019;Foreign Minister;萨里尔 ;36;SD;Apologetic Clerk;Low;M577019;x
577020;Foreign Minister;苏卡尤 ;44;SD;Great Compromiser;Low;M577020;x
577021;Foreign Minister;苏立诺 ;36;LE;Iron Fisted Brute;High;M577021;x
577022;Minister of Armament;斯加瑞弗汀 ;36;PA;Air to Sea Proponent;Low;M577022;x
577023;Minister of Armament;德居纳达 ;44;PA;Tank Proponent;Low;M577023;x
577024;Minister of Armament;哈吉 奥古斯 萨里姆 ;45;PA;Administrative Genius;Low;M577024;x
577025;Minister of Armament;阿曼乌八世 ;43;SC;Air Superiority Proponent;Medium;M577025;x
