IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
25001;Head of State;敦尔 巴克利 ;36;ML;Insignificant Layman;High;M25001;x
25002;Head of Government;艾门 德 瓦勒拉 ;36;ML;Flamboyant Tough Guy;High;M25002;x
25003;Foreign Minister;艾门 德 瓦勒拉 ;36;ML;Ideological Crusader;Undying;M25002;x
25004;Minister of Armament;肖恩 麦肯蒂 ;36;ML;laissez-faire capitalist;High;M25004;x
25005;Minister of Security;帕特里克 J. 拉特利奇 ;36;ML;Silent Lawyer;High;M25005;x
25006;Head of Military Intelligence;杰拉德 博兰 ;36;ML;Political Specialist;High;M25006;x
25007;Chief of Staff;M.J. 卡斯特罗 ;36;ML;School of Defence;High;M25007;x
25008;Chief of Army;敦尔 巴克利 ;36;ML;Elastic Defence Doctrine;High;M25001;x
25009;Chief of Navy;H.T. 格林 ;36;ML;Base Control Doctrine;High;M25009;x
25010;Chief of Air Force;P.A. 莫克利 ;36;ML;Air Superiority Doctrine;High;M25010;x
25032;Head of State;阿拉斯戴尔 麦卡贝 ;36;SD;Benevolent Gentleman;High;M25032;x
25033;Head of State;肖恩 勒玛斯 ;45;SD;Pig-headed Isolationist;High;M25033;x
25034;Head of State;弗兰克 法赫伊 ;36;ML;Insignificant Layman;High;M25031;x
25035;Head of State;道格拉斯 赫伊德 ;37;ML;Popular Figurehead;High;M25035;x
25036;Head of State;肖恩 T. 奥康娜 ;44;ML;Autocratic Charmer;High;M25036;x
25037;Head of State;弗兰克 法赫伊 ;36;SC;Insignificant Layman;High;M25031;x
25038;Head of State;爱俄 麦克尼尔 ;37;SC;Stern Imperialist;High;M25038;x
25039;Head of State;理察 穆格希 ;44;SC;Barking Buffoon;High;M25039;x
25040;Head of State;奥利弗 J. 弗拉纳根 ;36;PA;Weary Stiffneck;High;M25011;x
25041;Head of State;吉姆 拉金 ;36;LWR;Barking Buffoon;High;M25021;x
25042;Head of Government;托玛斯 约汉森 ;36;SD;Ambitious Union Boss;High;M25042;x
25043;Head of Government;肖恩 勒玛斯 ;41;SD;Smiling Oilman;High;M25033;x
25044;Head of Government;威廉 诺顿 ;44;SD;Happy Amateur;High;M25044;x
