ISR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
559001;Head of State;查姆 魏滋曼 ;36;SL;Benevolent Gentleman;High;M559001;x
559002;Head of Government;戴维 本 古瑞恩 ;36;SL;Ambitious Union Boss;High;M559002;x
559003;Foreign Minister;莫希 萨瑞特 ;36;SL;Biased Intellectual;High;M559003;x
559004;Minister of Armament;勒维 艾希科勒 ;36;SL;Resource Industrialist;Medium;M559004;x
559005;Minister of Security;格兰达 梅瑞 ;36;SL;Man of the People;Medium;M559005;x
559006;Head of Military Intelligence;伊加勒 亚隆 ;36;SL;Logistics Specialist;Medium;M559006;x
559007;Chief of Staff;伊加艾尔 亚丁 ;36;SL;School of Fire Support;Medium;M559007;x
559008;Chief of Army;伊加勒 亚隆 ;36;SL;Guns and Butter Doctrine;Medium;M559008;x
559009;Chief of Navy;耶迪迪亚 亚阿瑞 ;36;SL;Decisive Naval Battle Doctrine;Medium;M559009;x
559010;Chief of Air Force;海姆 拉斯科夫 ;36;SL;Army Aviation Doctrine;Medium;M559010;x
559011;Head of State;玛瑟 萨伊皮亚 ;36;PA;Stern Imperialist;High;M559011;x
559012;Head of State;查姆 阿洛索罗夫 ;36;LE;Barking Buffoon;High;M559012;x
559013;Head of Government;丹尼尔 奥斯特 ;36;PA;Backroom Backstabber;High;M559013;x
559014;Head of Government;Dr. 亚伯拉罕 海瑟尔 ;36;LE;Naive Optimist;High;M559014;x
559015;Foreign Minister;泽拉奇 瓦纳弗汀 ;36;PA;Ideological Crusader;High;M559015;x
559016;Foreign Minister;皮恩哈斯 勒冯 ;43;SL;Great Compromiser;High;M559016;x
559017;Foreign Minister;伊特扎克 本 兹维 ;36;LE;Iron Fisted Brute;High;M559017;x
559018;Foreign Minister;伊特扎克 塔本金 ;39;LE;The Cloak N Dagger Schemer;High;M559018;x
559019;Minister of Armament;瓦迪亚 约瑟夫 ;36;PA;Infantry Proponent;Medium;M559019;x
559020;Minister of Armament;曼彻海姆 尤西金 ;37;PA;Strategic Air Proponent;Medium;M559020;x
559021;Minister of Armament;瓦查加 梅托尼安 ;40;PA;laissez-faire capitalist;Medium;M559021;x
559022;Minister of Armament;卡迪西 鲁兹 ;40;SL;Battle Fleet Proponent;Medium;M559022;x
559023;Minister of Armament;约瑟夫 斯普林扎克 ;42;SL;Air Superiority Proponent;Medium;M559023;x
559024;Minister of Armament;艾里泽 卡普兰 ;45;SL;Military Entrepreneur;Medium;M559024;x
559025;Minister of Armament;帕沃罗斯 勒万 ;36;LE;Tank Proponent;Medium;M559025;x
559026;Minister of Security;纳赫姆 尼尔-拉法勒克斯 ;36;PA;Back Stabber;Medium;M559026;x
559027;Minister of Security;曼彻海姆 巴斯汀 ;39;PA;Compassionate Gentleman;Medium;M559027;x
559028;Minister of Security;曼彻海姆 本金 ;40;PA;Efficient Sociopath;Medium;M559028;x
559029;Minister of Security;穆瑟 海姆 萨皮瑞亚 ;49;SL;Silent Lawyer;Medium;M559029;x
559030;Minister of Security;伊斯拉尔 罗卡西 ;52;SD;Crime Fighter;Medium;M559030;x
559031;Minister of Security;穆瑟 卡特泽森 ;41;LE;Prince of Terror;Medium;M559031;x
559032;Head of Military Intelligence;伊司拉尔 巴尔-耶胡达 ;36;PA;Political Specialist;Medium;M559032;x
559033;Head of Military Intelligence;麦纳西姆 门德尔 利普斯特兹 ;37;PA;Dismal Enigma;Medium;M559033;x
559034;Head of Military Intelligence;皮恩哈斯 萨皮瑞 ;42;SL;Technical Specialist;Medium;M559034;x
559035;Head of Military Intelligence;伊特扎克 格鲁恩巴姆 ;44;SL;Dismal Enigma;Medium;M559035;x
559036;Head of Military Intelligence;瑞尔 卡特兹尼森 ;36;LE;Industrial Specialist;Medium;M559036;x
559037;Head of Military Intelligence;梅纳彻姆 彻尼森 ;37;LE;Naval Intelligence Specialist;Medium;M559037;x
559038;Chief of Staff;罗曼 扎克哈瑞 ;36;PA;School of Defence;Medium;M559038;x
559039;Chief of Staff;吉罗萨哈弗特 哈瑞卡比 ;42;PA;School of Psychology;Medium;M559039;x
559040;Chief of Staff;里查德 斯利文森 ;36;LE;School of Mass Combat;Medium;M559040;x
559041;Chief of Army;皮恩查斯 罗森加藤 ;36;PA;Elastic Defence Doctrine;Medium;M559041;x
559042;Chief of Army;穆瑟 达扬 ;44;SL;Armoured Spearhead Doctrine;Medium;M559042;x
559043;Chief of Army;阿莫斯 佐瑞夫 ;36;LE;Decisive Battle Doctrine;Medium;M559043;x
559044;Chief of Navy;查姆 古瓦德 ;36;PA;Base Control Doctrine;Medium;M559044;x
559045;Chief of Navy;莫瑟 科里兹 ;36;LE;Indirect Approach Doctrine;Medium;M559045;x
559046;Chief of Air Force;瑟里斯 马格恩 ;36;PA;Army Aviation Doctrine;Medium;M559046;x
559047;Chief of Air Force;鲁恩 沃夫 ;36;LE;Air Superiority Doctrine;Medium;M559047;x
559048;Head of State;伊特扎克 本 兹维 ;52;SL;Ruthless Powermonger;High;M559017;x
559049;Minister of Security;伊特扎克 格鲁恩巴姆 ;48;SL;Prince of Terror;Medium;M559035;x
559050;Head of Military Intelligence;约瑟夫 斯普林扎克 ;48;SL;Industrial Specialist;Medium;M559023;x
559051;Chief of Army;戴维 本 古瑞恩 ;48;SL;Decisive Battle Doctrine;Medium;M559002;x
