JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
5001;Head of State;昭和天皇陛下 裕仁 ;36;PA;Puppet Emperor;High;M5001;x
5238;Head of State;道格拉斯·麦克阿瑟;36;SL;Weary Stiffneck;High;L60250;x
5002;Head of Government;冈田启介 ;36;PA;Okada;High;M5002;x
5003;Foreign Minister;広田弘毅 ;36;PA;Kokifm;High;M5003;x
5004;Minister of Armament;町田忠治 ;36;SC;Laissez-Faire Capitalist;High;M5004;x
5005;Minister of Security;后藤文夫 ;36;SC;Silent Lawyer;High;M5005;x
5006;Head of Military Intelligence;冈村寧次 ;36;PA;Political Specialist;Very Low;M5006;x
5007;Chief of Staff;閑院宮載仁親王 ;36;PA;Kotohitocos;Very Low;M5007;x
5008;Chief of Army;閑院宮載仁親王 ;36;PA;Static Defence Doctrine;Very Low;M5007;x
5009;Chief of Navy;伏见宫博恭王 ;36;FA;Fushiminomiya;Very High;M5009;x
5010;Chief of Air Force;山本五十六 ;36;FA;Yamamoto;Very High;yamamoto_isoro;x
5011;Head of State;横山知朝 ;36;PA;Ruthless Powermonger;Very High;M5207;x
5025;Head of State;野坂参三 ;36;SD;Barking Buffoon;High;M5011;x
5033;Head of Government;林铣十郎 ;36;PA;Senjuro;High;M5033;x
5034;Head of Government;近卫文麿 ;37;PA;Fuminarohog;High;M5034;x
5035;Head of Government;阿部信行 ;38;PA;Nobuyukihog;High;M5035;x
5036;Head of Government;米内光政 ;40;PA;Yamamotominainoue Goverment;High;M5036;x
5037;Head of Government;铃木贯太郎 ;45;PA;Corporate Suit;High;M5037;x
5038;Head of Government;东久迩宫稔彦王 ;45;PA;Political Protege;High;M5038;x
5039;Head of Government;寺内寿一 ;46;PA;Naive Optimist;High;M5039;x
5040;Head of Government;広田弘毅 ;36;FA;Naive Optimist;High;M5003;x
5041;Head of Government;平沼騏一郎 ;39;FA;Hiranumahog;High;M5041;x
5042;Head of Government;东条英机 ;41;FA;Razor;High;M5042;x
5043;Head of Government;小磯国昭 ;44;FA;Corporate Suit;High;M5043;x
5026;Head of Government;后藤文夫 ;37;SD;Naive Optimist;High;M5005;x
5027;Head of Government;片山哲 ;45;SD;Political Protege;High;M5027;x
5028;Head of Government;宇垣一成 ;36;SC;Silent Workhorse;High;M5028;x
5029;Head of Government;铃木喜三郎 ;41;SC;Happy Amateur;High;M5029;x
5030;Head of Government;币原喜重郎 ;45;SC;Naive Optimist;High;M5030;x
5031;Head of Government;吉田茂 ;46;SC;Backroom Backstabber;High;M5031;x
5032;Head of Government;鳩山一郎 ;54;SC;Political Protege;High;M5032;x
5044;Head of Government;宫本贤治 ;36;LE;Smiling Oilman;High;M5012;x
5045;Foreign Minister;野坂参三 ;37;SD;The Cloak N Dagger Schemer;Low;M5011;x
5046;Foreign Minister;芦田均 ;45;SL;Apologetic Clerk;High;M5046;x
5047;Foreign Minister;芳沢谦吉 ;36;SC;Ideological Crusader;High;M5047;x
5048;Foreign Minister;冈田启介 ;36;SC;Iron Fisted Brute;High;M5002;x
5049;Foreign Minister;铃木喜三郎 ;39;SC;The Cloak N Dagger Schemer;Medium;M5029;x
5050;Foreign Minister;重光葵 ;51;SC;Shigemitsu;Medium;M5050;x
5052;Foreign Minister;吉田茂 ;45;SC;Apologetic Clerk;Medium;M5031;x
5053;Foreign Minister;佐藤尚武 ;37;PA;The Cloak N Dagger Schemer;Medium;M5053;x
5055;Foreign Minister;宇垣一成 ;38;PA;Biased Intellectual;Medium;M5028;x
5056;Foreign Minister;近卫文麿 ;38;PA;Apologetic Clerk;Medium;M5034;x
5057;Foreign Minister;有田八郎 ;36;FA;Ideological Crusader;Medium;M5057;x
5058;Foreign Minister;阿部信行 ;39;FA;Iron Fisted Brute;Medium;M5035;x
5059;Foreign Minister;野村吉三郎 ;39;PA;General Staffer;Medium;M5059;x
5060;Foreign Minister;松冈洋右 ;40;PA;Ideological Crusader;Medium;M5060;x
5061;Foreign Minister;丰田贞次郎 ;41;PA;Iron Fisted Brute;Medium;M5061;x
5063;Foreign Minister;林铣十郎 ;37;PA;General Staffer;Medium;M5033;x
5065;Foreign Minister;东郷茂徳 ;41;FA;Biased Intellectual;Medium;M5065;x
5066;Foreign Minister;谷正之 ;42;FA;Apologetic Clerk;Medium;M5066;x
5067;Foreign Minister;重光葵 ;43;FA;Shigemitsu;Medium;M5050;x
