LBY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
576001;Head of State;古力莫 纳希 ;36;FA;Ruthless Powermonger;High;L6108;x
576002;Head of Government;埃塔洛 加利波第 ;36;FA;Old General;High;L6077;x
576003;Foreign Minister;埃托尔 巴斯蒂科 ;36;FA;General Staffer;High;L6021;x
576004;Minister of Armament;加科莫 亚瑟波 ;36;FA;Military Entrepreneur;High;M3073;x
576005;Minister of Security;恩伯托 利奇 ;36;FA;Silent Lawyer;High;M3015;x
576006;Head of Military Intelligence;乔万尼 迈希 ;36;PA;Logistics Specialist;Medium;L6102;x
576007;Chief of Staff;乔万尼 迈希 ;36;PA;School of Psychology;Medium;L6102;x
576008;Chief of Army;洛伦佐 达马佐 ;36;PA;Decisive Battle Doctrine;Medium;L6052;x
576009;Chief of Navy;斯蒂法诺 德 劳伦提斯 ;36;PA;Base Control Doctrine;Medium;L6166;x
576010;Chief of Air Force;阿洛多 索弗里提 ;36;PA;Air Superiority Doctrine;Medium;L6235;x
576011;Head of State;H.M. 埃德里斯 萨木斯 ;39;ML;Popular Figurehead;High;M576011;x
576012;Head of Government;杜肯 C. 肯明 ;39;ML;Corporate Suit;High;M576012;x
576013;Foreign Minister;莱昂纳德 F. 梅赫德 ;39;ML;Apologetic Clerk;High;M576013;x
576014;Foreign Minister;埃瑞克 弗里 德 坎多尔 ;42;ML;Great Compromiser;High;M576014;x
576015;Foreign Minister;穆罕默德 阿尔-蒙塔瑟 ;46;ML;Ideological Crusader;High;M576015;x
576016;Minister of Armament;詹姆斯 W.N. 豪 ;39;ML;Resource Industrialist;High;M576016;x
576017;Minister of Armament;奥马尔 曼瑟 契卡 ;44;ML;Air Superiority Proponent;High;M576017;x
576018;Minister of Security;埃哈迈德 al-哈里克维 ;39;ML;Crooked Kleptocrat;High;M576018;x
576019;Minister of Security;彼得 B.E. 亚克兰 ;43;ML;Efficient Sociopath;High;M576019;x
576020;Minister of Security;穆斯塔法 本 哈里姆 ;46;ML;Compassionate Gentleman;High;M576020;x
576021;Head of Military Intelligence;C.A. 莫里斯 ;39;ML;Dismal Enigma;Medium;M576021;x
576022;Head of Military Intelligence;阿卜杜 库巴 ;45;ML;Technical Specialist;Medium;M576022;x
576023;Chief of Staff;乔治 迪龙 ;39;ML;School of Manoeuvre;Medium;L1339;x
576024;Chief of Staff;穆罕默德 萨奇兹利 ;45;ML;School of Fire Support;Medium;M576024;x
576025;Chief of Army;G.B.T. 索罗大人 ;39;ML;Guns and Butter Doctrine;Medium;M576025;x
576026;Chief of Army;穆罕默德 希迪克 ;46;ML;Elastic Defence Doctrine;Medium;M576026;x
576027;Chief of Navy;B.C.S. 马丁 ;39;ML;Indirect Approach Doctrine;Medium;L1370;x
576028;Chief of Navy;H.R.H. 塔赫 克拉尼 ;45;ML;Open Seas Doctrine;Medium;M576028;x
576029;Chief of Air Force;理查 皮尔斯 ;39;ML;Army Aviation Doctrine;Medium;L1468;x
576030;Chief of Air Force;阿里 阿尔-乌兰 ;45;ML;Carpet Bombing Doctrine;Medium;M576030;x
