LIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
69001;Head of State;爱德温 简.巴特力斯 ;36;SC;Barking Buffoon;High;M69001;x
69002;Head of Government;爱德温 简. 巴特力斯 ;36;SC;Happy Amateur;High;M69001;x
69003;Foreign Minister;克历瓦斯 李. 西普桑 ;36;SC;Ideological Crusader;Medium;M69003;x
69004;Minister of Armament;佛雷德 凯. 聂耳里斯特 ;36;SC;Infantry Proponent;Medium;M69004;x
69005;Minister of Security;亨利 阿. 格兰姆斯 ;36;SC;Crooked Kleptocrat;Medium;M69005;x
69006;Head of Military Intelligence;亨利 穆. 鲁宾孙 ;36;SC;Industrial Specialist;Medium;M69006;x
69007;Chief of Staff;宾斯门 欧. 戴维斯 ;36;SC;School of Mass Combat;Medium;M69007;x
69008;Chief of Army;爱乌 佛锦 ;36;SC;Guns and Butter Doctrine;Medium;M69008;x
69009;Chief of Navy;雷金纳德 布兰登 ;36;SC;Open Seas Doctrine;Medium;M69009;x
69010;Chief of Air Force;王楼陈 ;36;SC;Air Superiority Doctrine;Medium;M69010;x
69032;Head of State;威廉 斯. 特布曼 ;44;SC;Ruthless Powermonger;High;M69032;x
69033;Head of State;爱波特 图波特 ;36;SL;Benevolent Gentleman;High;M69033;x
69034;Head of State;亚瑟 斯维特斯 ;44;SL;Insignificant Layman;High;M69034;x
69036;Head of Government;威廉 斯. 特布曼 ;44;SC;Silent Workhorse;High;M69032;x
69037;Head of Government;爱波特 图波特 ;36;SL;Ambitious Union Boss;High;M69033;x
69038;Head of Government;亚瑟 斯维特斯 ;44;SL;Corporate Suit;High;M69034;x
69040;Foreign Minister;加百列 李. 邓尼斯 ;44;SC;Iron Fisted Brute;Medium;M69040;x
69041;Foreign Minister;爱波特 图波特 ;36;SL;Great Compromiser;Medium;M69033;x
69042;Foreign Minister;马克 迪斯维特 ;44;SL;General Staffer;Medium;M69042;x
69043;Foreign Minister;亨利 阿. 格兰姆斯 ;46;SL;Biased Intellectual;Medium;M69005;x
69045;Minister of Armament;威廉 斯. 特布曼 ;40;SC;Corrupt Kleptocrat;Medium;M69032;x
69046;Minister of Armament;科洛因 凡 欧由克拉斯普 ;42;SC;Administrative Genius;Medium;M69046;x
69047;Minister of Armament;玛母罗 迪湖特 ;44;SC;laissez-faire capitalist;Medium;M69047;x
69048;Minister of Armament;马克 迪斯维特 ;36;SL;Corrupt Kleptocrat;Medium;M69042;x
69049;Minister of Armament;亚瑟 斯维特斯 ;40;SL;Tank Proponent;Medium;M69034;x
69050;Minister of Armament;亨利 穆. 鲁宾孙 ;44;SL;Air to Sea Proponent;Medium;M69006;x
69052;Minister of Security;佛拉塔斯 阿非肯 鲁瑟勒 ;37;SC;Efficient Sociopath;Medium;M69052;x
69053;Minister of Security;肯 皮特曼 ;38;SC;Silent Lawyer;Medium;M69053;x
69054;Minister of Security;宾斯门 毕. 沃尔乐 ;40;SC;Man of the People;Medium;M69054;x
69055;Minister of Security;爱德温 简.巴特力斯 ;41;SC;Back Stabber;Medium;M69001;x
69056;Minister of Security;拉佛 王. 莫里桑 ;44;SC;Crime Fighter;Medium;M69056;x
69057;Minister of Security;科洛因 凡 欧由克拉斯普 ;46;SC;Compassionate Gentleman;Medium;M69046;x
69058;Minister of Security;肯 皮特曼 ;36;SL;Silent Lawyer;Medium;M69053;x
69059;Minister of Security;伊里亚得 图斯德桑 ;40;SL;Man of the People;Medium;M69059;x
69060;Minister of Security;佛拉塔斯 阿非肯 鲁瑟勒 ;44;SL;Efficient Sociopath;Medium;M69052;x
69062;Head of Military Intelligence;伊里亚得 图斯德桑 ;40;SC;Political Specialist;Medium;M69059;x
69063;Head of Military Intelligence;宾斯门 欧. 戴维斯 ;42;SC;Logistics Specialist;Medium;M69007;x
69064;Head of Military Intelligence;威廉 图波斯 ;46;SC;Technical Specialist;Medium;M69064;x
69065;Head of Military Intelligence;科洛因 凡 欧由克拉斯普 ;36;SL;Dismal Enigma;Medium;M69046;x
69066;Head of Military Intelligence;宾斯门 欧. 戴维斯 ;42;SL;Logistics Specialist;Medium;M69007;x
69067;Head of Military Intelligence;佛雷德 伊. 穆瑟 ;46;SL;Technical Specialist;Medium;M69067;x
69071;Chief of Army;宾斯门 欧. 戴维斯 ;42;SC;Armoured Spearhead Doctrine;Medium;M69007;x
69072;Chief of Army;约翰 阿. 法克斯 ;36;SL;Elastic Defence Doctrine;Medium;M69072;x
