MAD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
538001;Head of State;里昂 克拉 ;36;SC;Resigned Generalissimo;High;M538001;x
538002;Head of Government;里昂 克拉 ;36;SC;Old General;High;M538001;x
538003;Foreign Minister;皮尔 吉尔 赫平尔 ;36;SC;Apologetic Clerk;High;M538003;x
538004;Minister of Armament;佛兰斯 德 曼森 ;36;SC;Resource Industrialist;Medium;M538004;x
538005;Minister of Security;海瑞 曼格特 ;36;SC;Crime Fighter;Medium;M538005;x
538006;Head of Military Intelligence;阿蒙德 恩内特 ;36;SC;Industrial Specialist;Medium;M538006;x
538007;Chief of Staff;海瑞 阿密尔 ;36;SC;School of Manoeuvre;Medium;M538007;x
538008;Chief of Army;海瑞 阿密尔 ;36;SC;Armoured Spearhead Doctrine;Medium;M538007;x
538009;Chief of Navy;吉尔吉斯 德 布尔艾吉伊 ;36;SC;Base Control Doctrine;Medium;M538009;x
538010;Chief of Air Force;马克 甘斯 ;36;SC;Naval Aviation Doctrine;Medium;M538010;x
538011;Head of State;A阿蒙德 恩内特 ;39;SL;Barking Buffoon;High;M538006;x
538012;Head of State;普尔 雷 琴特尔蒙 ;40;SC;Pig-headed Isolationist;High;L24108;x
538013;Head of State;皮叶尔 德 赛-马特 ;43;SL;Die-hard Reformer;High;M535007;x
538014;Head of State;马赛尔 德 卡波特 ;46;SL;Popular Figurehead;High;M538014;x
538015;Head of State;赛尔伊维特 赛尔玫能 ;36;PA;Insignificant Layman;High;M538015;x
538016;Head of Government;阿蒙德 恩内特 ;39;SL;Political Protege;High;M538006;x
538017;Head of Government;普尔 雷 琴特尔蒙 ;40;SC;Flamboyant Tough Guy;High;L24108;x
538018;Head of Government;皮叶尔 德 赛-马特 ;43;SL;Smiling Oilman;High;M535007;x
538019;Head of Government;马赛尔 德 卡波特 ;46;SL;Backroom Backstabber;High;M538014;x
538020;Head of Government;赛尔伊维特 赛尔玫能 ;36;PA;Naive Optimist;High;M538015;x
538021;Foreign Minister;雷尔 凌摩尔 ;42;SL;Great Compromiser;High;M538021;x
538022;Foreign Minister;吉尔 吉尔斯 雷吉桑吉克德 ;36;PA;Biased Intellectual;High;M538022;x
538023;Minister of Armament;普尔 赛波特 ;41;SL;Submarine Proponent;Medium;M538023;x
538024;Minister of Armament;雷米儿森 雷吉赛安蒙特塞乐 ;36;PA;Tank Proponent;Medium;M538024;x
538025;Minister of Armament;维佛 雷埃尔森 ;43;PA;laissez-faire capitalist;Medium;M538025;x
538026;Minister of Security;吉庚 皮埃尔 凯格瑞尔 ;43;SL;Efficient Sociopath;Medium;M538026;x
538027;Minister of Security;尤吉 雷克康吉尔玛丽 ;36;PA;Silent Lawyer;Medium;M538027;x
538028;Head of Military Intelligence;马赛尔 德 卡波特 ;43;SL;Logistics Specialist;Medium;M538014;x
538029;Head of Military Intelligence;欧马特 李. 吉姆斯 ;36;PA;Dismal Enigma;Medium;M538029;x
538030;Chief of Staff;普尔 雷 琴特尔蒙 ;40;SC;School of Mass Combat;Medium;L24108;x
538031;Chief of Staff;切尔瑟斯 雷卡特阮切尔 ;36;PA;School of Fire Support;Medium;M538031;x
538032;Chief of Army;皮叶尔 德 赛-马特 ;42;SL;Decisive Battle Doctrine;Medium;M535007;x
538033;Chief of Army;雷费呐 范吉佛 ;36;PA;Armoured Spearhead Doctrine;Medium;M538033;x
538034;Chief of Navy;吉姆-穆力 库鸾尤 ;42;SL;Open Seas Doctrine;Medium;M538034;x
538035;Chief of Navy;奥斯伊尔 雷切伊雷切伊尔 ;36;PA;Decisive Naval Battle Doctrine;Medium;M538035;x
538036;Chief of Air Force;马克 安布劳德 ;44;SL;Carpet Bombing Doctrine;Medium;M538036;x
538037;Chief of Air Force;绍罗门 挛克娄曼克 ;36;PA;Vertical Envelopment Doctrine;Medium;M538037;x
