MLY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
565001;Head of State;瑟尔 斯坦特 托马斯 ;36;ML;Weary Stiffneck;High;M565001;x
565002;Head of Government;瑟尔 吉罗尔 W.R. 坦布兰尔 ;36;ML;Old General;High;M565002;x
565003;Foreign Minister;瑟尔 韩瑞尔 苟斯沃菲 忽叶尔 ;36;ML;General Staffer;High;M565003;x
565004;Minister of Armament;瑟尔 忽尔 斯戴尔 福雷塞 ;36;ML;Tank Proponent;Medium;M565004;x
565005;Minister of Security;查尔斯 海克斯 ;36;ML;Back Stabber;Medium;M565005;x
565006;Head of Military Intelligence;瑟尔 吉罗尔 E.J. 吉特 ;36;ML;Technical Specialist;Medium;M565006;x
565007;Chief of Staff;瑟尔 威廉 达比尔 ;36;ML;School of Psychology;Medium;M565007;x
565008;Chief of Army;阿瑟尔 普斯茅 ;36;ML;Static Defence Doctrine;Medium;M565008;x
565009;Chief of Navy;约翰 阿切丽尔 ;36;ML;Decisive Naval Battle Doctrine;Medium;M565009;x
565010;Chief of Air Force;吉.特. 吉蒙 ;36;ML;Air Superiority Doctrine;Medium;M565010;x
565011;Head of State;唐特尤 埃德尔 罗门 ;36;SD;Popular Figurehead;High;M565011;x
565012;Head of State;H.R.H. 伊斯坎德尔 ;36;PA;Pig-headed Isolationist;High;M565012;x
565013;Head of Government;戴维德 斯. 马西欧 ;36;SD;Corporate Suit;High;M565013;x
565014;Head of Government;H.H. 伊布拉西五世 ;36;PA;Backroom Backstabber;High;M565014;x
565015;Foreign Minister;特尔 陈 拉克 ;36;SD;Great Compromiser;High;M565015;x
565016;Foreign Minister;韩瑟尔 欧-雷尔 ;36;PA;The Cloak N Dagger Schemer;High;M565016;x
565017;Minister of Armament;埃德 罗门 夏尔 ;36;SD;Military Entrepreneur;Medium;M565017;x
565018;Minister of Armament;托马斯 海德 阿西腾 ;41;ML;Resource Industrialist;Medium;M565018;x
565019;Minister of Armament;H.R.H. 亚叶 欧-南尔 ;36;PA;laissez-faire capitalist;Medium;M565019;x
565020;Minister of Security;李尔 尤 哈克 ;36;SD;Prince of Terror;Medium;M565020;x
565021;Minister of Security;阿瑟 伊.杨 ;42;ML;Crime Fighter;Medium;M565021;x
565022;Minister of Security;图兰特尤 南格瑞 珊布棱 米马特 ;36;PA;Efficient Sociopath;Medium;M565022;x
565023;Minister of Security;爱德尔 海波特 阿莫德 ;42;PA;Silent Lawyer;Medium;M565023;x
565024;Head of Military Intelligence;米行特 严 毕赛尔 ;36;SD;Dismal Enigma;Medium;M565024;x
565025;Head of Military Intelligence;李尔 克棱 尤 ;43;SD;Industrial Specialist;Medium;M565025;x
565026;Head of Military Intelligence;瑟尔 吉罗尔 W.R. 坦布勒尔 ;43;ML;Logistics Specialist;Medium;M565026;x
565027;Head of Military Intelligence;爱德尔 玛内普 宾 塔勒克 ;36;PA;Political Specialist;Medium;M565027;x
565028;Head of Military Intelligence;伊德勒斯 宾 坦昆 图尔克 ;41;PA;Naval Intelligence Specialist;Medium;M565028;x
565029;Chief of Staff;爱德尔 海莫特 夏尔 ;36;SD;School of Defence;Medium;M565029;x
565030;Chief of Staff;腾尔 爱德尔 罗门 ;44;SD;School of Manoeuvre;Medium;M565030;x
565031;Chief of Staff;伊卓尔亨 埃尔-马赛尔 ;36;PA;School of Mass Combat;Medium;M565031;x
565032;Chief of Army;莫费特 赛腾 百特维谢尔 ;36;SD;Guns and Butter Doctrine;Medium;M565032;x
565033;Chief of Army;罗伯特 布卢克-帕腾 ;42;ML;Elastic Defence Doctrine;Medium;L1051;x
565034;Chief of Army;瑟尔 吉罗尔 W.R. 坦布兰尔 ;45;ML;Decisive Battle Doctrine;Medium;M565034;x
565035;Chief of Army;海尔 布鲁斯 皮特勒 ;36;PA;Armoured Spearhead Doctrine;Medium;M565035;x
565036;Chief of Navy;玛穆德 罗门 阿里 ;36;SD;Base Control Doctrine;Medium;M565036;x
565037;Chief of Navy;塞伊尔 布娄瑟 欧-李尔 ;36;PA;Open Seas Doctrine;Medium;M565037;x
565038;Chief of Air Force;宛尔 苏立蒙 ;36;SD;Carpet Bombing Doctrine;Medium;M565038;x
565039;Chief of Air Force;海恩斯二世 ;36;PA;Naval Aviation Doctrine;Medium;M565039;x
