MOZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
569001;Head of State;吉尔斯浦瑞尔勒 卡格勒 ;36;PA;Resigned Generalissimo;High;M569001;x
569002;Head of Government;吉尔斯内斯 德 阿尔菲勒 ;36;PA;old airmarshal;High;M569002;x
569003;Foreign Minister;鲁尔斯 德 苏瑟 范斯肯斯塞尔勒斯 ;36;PA;General Staffer;High;M569003;x
569004;Minister of Armament;阿亚斯德 奴尔斯 迪尔兹 ;36;PA;Military Entrepreneur;Medium;M569004;x
569005;Minister of Security;乔维尔 图斯内尔 德 波天诺特 ;36;PA;Prince of Terror;Medium;M569005;x
569006;Head of Military Intelligence;安特尼尔 康兹尼尔 尼尔斯 ;36;PA;Naval Intelligence Specialist;Medium;M569006;x
569007;Chief of Staff;鲁尔斯 德 苏瑟 范斯肯斯塞尔勒斯 ;36;PA;School of Psychology;Medium;M569003;x
569008;Chief of Army;乔维尔 马丁斯 德 卡吉尔罗 ;36;PA;Guns and Butter Doctrine;Medium;M569008;x
569009;Chief of Navy;托马斯 卡希尔 罗萨德 ;36;PA;Power Projection Doctrine;Medium;M569009;x
569010;Chief of Air Force;吉尔斯德 斯恩拉格 ;36;PA;Air Superiority Doctrine;Medium;M569010;x
569011;Head of State;亨瑞克 呐恩斯 格拉希尔 ;36;SL;Benevolent Gentleman;High;M569011;x
569012;Head of State;斯卡斯西内尔 堪格瑞尔 范瑟勒 ;36;LWR;Powerhungry Demagogue;High;M569012;x
569013;Head of Government;吉尔斯兹勒尔 纳恩斯 ;36;SL;Political Protege;High;M569013;x
569014;Head of Government;吉尔斯布拉勒 拉吉莱茵 ;36;LWR;Naive Optimist;High;M569014;x
569015;Foreign Minister;乔维尔 瑞斯 坎特 ;36;SL;Ideological Crusader;High;M569015;x
569016;Foreign Minister;穆瑞尔 伊斯塔勒 德 布坦特沃特 ;36;LWR;Biased Intellectual;High;M569016;x
569017;Minister of Armament;恩达拉夫 卡门瑞克伦坦克 ;36;SL;laissez-faire capitalist;Medium;M569017;x
569018;Minister of Armament;普罗 英纳吉伊尔 ;36;LWR;Infantry Proponent;Medium;M569018;x
569019;Minister of Security;鲁尔斯 普瑞勒 格蒙斯 ;36;SL;Compassionate Gentleman;Medium;M569019;x
569020;Minister of Security;瑞尔纳德 珊特尔斯 斯玫尔 ;36;LWR;Crime Fighter;Medium;M569020;x
569021;Head of Military Intelligence;乔维尔 卡尔泽 德 阿洛亚哥 ;44;PA;Logistics Specialist;Medium;M569021;x
569022;Head of Military Intelligence;乔维尔 苏佛尔 纳恩斯 ;36;SL;Technical Specialist;Medium;M569022;x
569023;Head of Military Intelligence;卡勒斯 道斯 珊特斯 ;36;LWR;Industrial Specialist;Medium;M569023;x
569024;Chief of Staff;阿切尔 埃芬兹 菲尔勒斯 ;42;PA;School of Mass Combat;Medium;M569024;x
569025;Chief of Staff;欧兹尔 罗帕特 格尔勒 ;36;SL;School of Fire Support;Medium;M569025;x
569026;Chief of Staff;法德瑞克 达 卡斯特 罗普斯 达 苏佛尔 ;36;LWR;School of Manoeuvre;Medium;M569026;x
569027;Chief of Army;欧兹尔 德 帕尔勒斯 罗吉莱格斯 ;42;PA;Elastic Defence Doctrine;Medium;M569027;x
569028;Chief of Army;安特尼尔 图菲尔 普瑞勒 ;36;SL;Armoured Spearhead Doctrine;Medium;M569028;x
569029;Chief of Army;普垂切尼尔 纳恩斯 格蒙斯 ;36;LWR;Decisive Battle Doctrine;Medium;M569029;x
569030;Chief of Navy;安特尼尔 罗吉莱格斯 罗皮尔 ;36;SL;Indirect Approach Doctrine;Medium;M569030;x
569031;Chief of Navy;赛瑟尔 庞吉尔 ;36;LWR;Open Seas Doctrine;Medium;M569031;x
569032;Chief of Air Force;安特尼尔 凡尔-科尔福 ;36;SL;Naval Aviation Doctrine;Medium;M569032;x
569033;Chief of Air Force;欧瑞福 奴纳尔 托马斯 ;36;LWR;Vertical Envelopment Doctrine;Medium;M569033;x
