MTN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
544001;Head of State;珊提尔勒 乔伊兹尔克 ;36;FA;Autocratic Charmer;High;M544001;x
544002;Head of Government;布拉泽 迪坎兹克 ;36;FA;Ambitious Union Boss;High;M544002;x
544003;Foreign Minister;玖凡恩 斯. 普安蒙喃克 ;36;FA;Iron Fisted Brute;High;M544003;x
544004;Minister of Armament;尤金 范恩 埃尔布立 ;36;FA;Corrupt Kleptocrat;Medium;M544004;x
544005;Minister of Security;鲁寇 佛克兹克 ;36;FA;Silent Lawyer;Medium;M544005;x
544006;Head of Military Intelligence;穆力坦 巴吉克 ;36;FA;Political Specialist;Medium;M544006;x
544007;Chief of Staff;鲁坎 古安纳 ;36;FA;School of Psychology;Medium;M544007;x
544008;Chief of Army;安特尔 卡斯单克佛克 ;36;FA;Armoured Spearhead Doctrine;Medium;M544008;x
544009;Chief of Navy;麦特尔 马特安纳维克 ;36;FA;Open Seas Doctrine;Medium;M544009;x
544010;Chief of Air Force;布尔勒 图兹尔内克 ;36;FA;Naval Aviation Doctrine;Medium;M544010;x
544011;Head of State;H.R.H. 戴里乐 佩奇瓦-恩吉戈斯 ;36;SC;Popular Figurehead;High;M544011;x
544012;Head of State;埃芬 莱巴尔 ;36;LWR;Pig-headed Isolationist;High;M20093;x
544013;Head of Government;沙佛尔 希尔瑞克 ;36;SC;Political Protege;High;M544013;x
544014;Head of Government;培佛 吉尔兹维克 ;36;LWR;Old General;High;M544014;x
544015;Foreign Minister;麦特尔 马特安娜兹克 ;36;FA;General Staffer;High;M544009;x
544016;Foreign Minister;马里坦 福斯乃克 ;36;SC;Apologetic Clerk;High;M544016;x
544017;Foreign Minister;乔福安 杜兹克 ;36;LWR;The Cloak N Dagger Schemer;High;M544017;x
544018;Minister of Armament;卡司提 吉尔兹维克 ;42;FA;Tank Proponent;Medium;M544018;x
544019;Minister of Armament;杜汉恩 菲吉维熙 ;36;SC;Air to Sea Proponent;Medium;M544019;x
544020;Minister of Armament;苟斯 寇塞斯剋 ;36;LWR;Infantry Proponent;Medium;M544020;x
544021;Minister of Security;卡拉尔 沃夫 ;42;FA;Efficient Sociopath;Medium;M544021;x
544022;Minister of Security;米特斯芬 坂恩 ;36;SC;Back Stabber;Medium;M544022;x
544023;Minister of Security;埃芬 逊卡斯基 ;36;LWR;Prince of Terror;Medium;M544023;x
544024;Head of Military Intelligence;穆科勒尔 托克兹克 ;36;SC;Dismal Enigma;Medium;M544024;x
544025;Head of Military Intelligence;克勒尔 福勒普兹克 ;36;LWR;Industrial Specialist;Medium;M544025;x
544026;Chief of Staff;鲍图兹尔 尤亚力兹克 ;36;SC;School of Mass Combat;Medium;M544026;x
544027;Chief of Staff;培福尔 吉尔兹维克 ;36;LWR;School of Defence;Medium;M544014;x
544028;Chief of Army;维汉尔 培伦特 ;42;FA;Static Defence Doctrine;Medium;M544028;x
544029;Chief of Army;巴兹内尔 吉安兹吉克 ;36;SC;Guns and Butter Doctrine;Medium;M544029;x
544030;Chief of Army;穆兰 切尔瑞克 ;36;LWR;Elastic Defence Doctrine;Medium;M544030;x
544031;Chief of Navy;安福吉尼科 坡普兹克 ;36;SC;Decisive Naval Battle Doctrine;Medium;M544031;x
544032;Chief of Navy;玖尔吉 尼科勒尔斯 ;36;LWR;Indirect Approach Doctrine;Medium;M544032;x
544033;Chief of Air Force;布兰科 帕吉雷克 ;36;SC;Air Superiority Doctrine;Medium;M544033;x
544034;Chief of Air Force;斯拉普冷 玖范纳克 ;36;LWR;Vertical Envelopment Doctrine;Medium;M544034;x
