NAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
570001;Head of State;戴维德 吉.康国瑞 ;36;ML;Autocratic Charmer;High;M570001;x
570002;Head of Government;派吉罗斯 埃. 忽吉浩特 ;36;ML;Ambitious Union Boss;High;M570002;x
570003;Foreign Minister;提尔蒙 简. 德 佛要斯 卢斯 ;36;ML;The Cloak N Dagger Schemer;High;M570003;x
570004;Minister of Armament;康纽夭斯 布鲁尔斯 ;36;ML;laissez-faire capitalist;Medium;M570004;x
570005;Minister of Security;尼科拉丝 简. 德 维特 ;36;ML;Man of the People;Medium;M570005;x
570006;Head of Military Intelligence;派伊尔 鲁尔佛 ;36;ML;Industrial Specialist;Medium;M570006;x
570007;Chief of Staff;约翰 伊.简.王斯德 ;36;ML;School of Manoeuvre;Medium;M570007;x
570008;Chief of Army;雷克尔德 范恩 德佛尔斯 ;36;ML;Static Defence Doctrine;Medium;M570008;x
570009;Chief of Navy;雷玛尔德 德 比尔思 ;36;ML;Decisive Naval Battle Doctrine;Medium;M570009;x
570010;Chief of Air Force;佛兰瑟斯 道腾 ;36;ML;Vertical Envelopment Doctrine;Medium;M570010;x
570011;Head of State;卓来佛. 派伊尔 吉尔 ;36;PA;Powerhungry Demagogue;High;M570011;x
570012;Head of Government;西.简. 雷切如冯 ;36;PA;Silent Workhorse;High;M570012;x
570013;Foreign Minister;贝提 康国瑞 ;36;PA;Iron Fisted Brute;High;M570013;x
570014;Minister of Armament;克瑞斯吉昂 范恩 邓 黑福 ;36;PA;Military Entrepreneur;Medium;M570014;x
570015;Minister of Security;亨吉雷克 德 塔肯布夭 ;36;PA;Back Stabber;Medium;M570015;x
570016;Head of Military Intelligence;恩拽恩 吉尔腾 ;36;PA;Political Specialist;Medium;M570016;x
570017;Chief of Staff;尼尔斯 拿提尔 ;36;PA;School of Fire Support;Medium;M570017;x
570018;Chief of Army;亨吉雷克 范恩 伊曼 ;36;PA;Decisive Battle Doctrine;Medium;M570018;x
570019;Chief of Navy;亨吉雷克 布鲁尔斯 ;36;PA;Base Control Doctrine;Medium;M570019;x
570020;Chief of Air Force;米歇尔 德 布卢克 ;36;PA;Naval Aviation Doctrine;Medium;M570020;x
