NIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
48001;Head of State;胡安 波踢斯他 色卡斯 ;36;SC;Benevolent Gentleman;High;M48001;x
48002;Head of Government;玖联 爱瑞斯 那维咯 ;36;SC;Happy Amateur;High;M48002;x
48003;Foreign Minister;帑昂惰 阿规罗 瓦格斯 ;36;SC;Iron Fisted Brute;High;M48003;x
48004;Minister of Armament;安娜特西奥 G. 思摸鹧 ;36;SC;Corrupt Kleptocrat;Very High;M48004;x
48005;Minister of Security;阿卡索 催尓斯 猛多扎 ;36;ML;Crooked Kleptocrat;Very High;M48005;x
48006;Head of Military Intelligence;帑昂惰 阿规罗 瓦格斯 ;36;SC;Technical Specialist;Medium;M48003;x
48007;Chief of Staff;安娜特西奥 G. 思摸鹧 ;36;SC;School of Defence;Very High;M48004;x
48008;Chief of Army;奥格斯特 克维尔 安东尼奥 ;36;SC;Elastic Defence Doctrine;Medium;M48008;x
48009;Chief of Navy;哥斯特福 福瑞斯 蒙迪塔 ;36;SC;Base Control Doctrine;Very High;M48009;x
48010;Chief of Air Force;哥尓摩 R. 管德 ;36;SC;Naval Aviation Doctrine;Medium;M48010;x
48031;Head of State;玖联 爱瑞斯 那维咯 ;36;SC;Insignificant Layman;High;M48002;x
48032;Head of State;卡洛斯 夯斯 杰雯 ;36;PA;Autocratic Charmer;High;M48032;x
48033;Head of State;安娜特西奥 G. 思摸鹧 ;37;SC;Resigned Generalissimo;High;M48004;x
48034;Head of State;本林 拉卡优 色卡斯 ;47;SC;Popular Figurehead;High;M48034;x
48035;Head of State;维克托 罗马 瓦 瑞斯 ;47;PA;Pig-headed ISOLATIONIST;High;M48035;x
48036;Head of Government;里昂 卡布瑞斯 ;36;SC;Happy Amateur;High;M48011;x
48037;Head of Government;安娜特西奥 G. 思摸鹧 ;36;PA;Flamboyant Tough Guy;High;M48004;x
48038;Head of Government;外森特 默朗 ;37;SC;Naive Optimist;High;M48038;x
48039;Head of Government;卡洛斯 A. 维兰艾瓦 ;39;SC;Political Protege;High;M48039;x
48040;Head of Government;阿卡索 催尓斯 猛多扎 ;41;SC;Corporate Suit;High;M48005;x
48041;Head of Government;卡洛斯 夯斯 杰雯 ;44;SC;Silent Workhorse;High;M48032;x
48042;Head of Government;哥尓摩 管德 ;47;SC;Ambitious Union Boss;High;M48012;x
48043;Foreign Minister;达里奥 达里奥 瓦 迪贝尔 ;36;SC;General Staffer;High;M48043;x
48044;Foreign Minister;曼纽尓 卡尔德 瑞斯 ;37;SC;Great Compromiser;High;M48044;x
48045;Foreign Minister;玛丽亚那 阿规罗 瓦格斯 ;39;SC;Biased Intellectual;High;M48044;x
48046;Foreign Minister;维克托 罗马 瓦 瑞斯 ;44;PA;General Staffer;Very High;M48035;x
48047;Foreign Minister;瑟尓维奥 阿规罗 科登那尓 ;47;SC;Great Compromiser;Very High;M48047;x
48048;Foreign Minister;安娜特西奥 G. 思摸鹧 ;47;PA;The Cloak N Dagger Schemer;High;M48004;x
