OMN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
92001;Head of State;塞得 艾博 忲莫 ;36;PA;Ruthless Powermonger;High;M92001;x
92002;Head of Government;塞得 艾博 忲莫 ;36;PA;Backroom Backstabber;High;M92001;x
92003;Foreign Minister;塞得 艾博 忲莫 ;36;PA;General Staffer;High;M92001;x
92004;Minister of Armament;简牍 E. 简蒙德 ;36;SC;Resource Industrialist;Medium;M92004;x
92005;Minister of Security;亨利 L.W.L. 夯姆 ;36;SC;Compassionate Gentleman;Medium;M92005;x
92006;Head of Military Intelligence;杰弗里 丹尼斯 ;36;SC;Technical Specialist;Medium;M92006;x
92007;Chief of Staff;塞得 艾博 忲莫 ;36;PA;School of Defence;High;M92001;x
92008;Chief of Army;塞得 艾博 忲莫 ;36;PA;Static Defence Doctrine;High;M92001;x
92009;Chief of Navy;杰弗里 克莱多 ;36;SC;Open Seas Doctrine;Medium;M92009;x
92010;Chief of Air Force;爱德拉 艾博 忲莫 ;36;PA;Air Superiority Doctrine;Medium;M92010;x
92011;Foreign Minister;赫伯特 A. 劳伦斯-费希尔 ;39;SC;Great Compromiser;High;M92011;x
92012;Foreign Minister;英不列文 艾博 忲莫 ;44;PA;Iron Fisted Brute;High;M92012;x
92013;Minister of Armament;亚瑟 亨德森 ;41;SC;Infantry Proponent;Medium;M92013;x
92014;Minister of Armament;简牍 H. 托马斯 ;43;SC;laissez-faire capitalist;Medium;M92014;x
92015;Minister of Armament;阿里 艾博 忲莫 ;45;SC;Corrupt Kleptocrat;Medium;M92015;x
92016;Minister of Security;罗伯特 夯娜维 芬莱 ;40;SC;Silent Lawyer;Medium;M92016;x
92017;Minister of Security;塞得 艾博 忲莫 ;45;PA;Efficient Sociopath;Medium;M92001;x
92018;Head of Military Intelligence;侯德 布瑞福-巴特勒 ;42;SC;Industrial Specialist;Medium;M92018;x
92019;Chief of Staff;P.A. 曼恩 ;38;SC;School of Fire Support;High;M92019;x
92020;Chief of Staff;安古斯 道格拉斯-汉密尔顿 ;41;SC;School of Mass Combat;High;M92020;x
92021;Chief of Staff;简 艾博 忲莫 ;45;PA;School of Manoeuvre;High;M92021;x
92022;Chief of Army;埃里克 莱特 ;38;SC;Guns and Butter Doctrine;High;M92022;x
92023;Chief of Army;安古斯 道格拉斯-汉密尔顿 ;41;SC;Decisive Battle Doctrine;High;M92020;x
92024;Chief of Army;扎赫 艾博 忲莫 ;45;PA;Elastic Defence Doctrine;High;M92024;x
92025;Chief of Navy;德里克  丽芙 ;43;SC;Indirect Approach Doctrine;Medium;M92025;x
92026;Chief of Air Force;德里克 丽芙 ;40;SC;Naval Aviation Doctrine;Medium;M92025;x
92027;Chief of Air Force;R.E. 马丁 ;41;SC;Army Aviation Doctrine;Medium;M92027;x
92028;Chief of Air Force;法兹 艾博 忲莫 ;45;PA;Carpet Bombing Doctrine;Medium;M92028;x
